relative_path,source_path,file_role,file_size_bytes,extension,copied_timestamp
00_README\PACKAGING_REPORT.md,generated,packaging_report,2409,.md,2026-07-18T20:23:17
01_FINAL_STAGE_X_FREEZE\FROZEN_combined552_plus_PPO_final_pool_320_analysis_dataset.csv,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_evidence_freeze\frozen_tables\FROZEN_combined552_plus_PPO_final_pool_320_analysis_dataset.csv,stageX_frozen_combined552_plus_ppo,766243,.csv,2026-07-18T20:23:16
01_FINAL_STAGE_X_FREEZE\FROZEN_PPO_final_pool_320_claim_decision_table.csv,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_evidence_freeze\frozen_tables\FROZEN_PPO_final_pool_320_claim_decision_table.csv,stageX_frozen_claim_decision,2446,.csv,2026-07-18T20:23:16
01_FINAL_STAGE_X_FREEZE\FROZEN_PPO_final_pool_320_file_hashes.csv,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_evidence_freeze\hashes\FROZEN_PPO_final_pool_320_file_hashes.csv,stageX_hashes,9977,.csv,2026-07-18T20:23:16
01_FINAL_STAGE_X_FREEZE\FROZEN_PPO_final_pool_320_teacher_metric_ranking_full.csv,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_evidence_freeze\frozen_tables\FROZEN_PPO_final_pool_320_teacher_metric_ranking_full.csv,stageX_frozen_ranking,543632,.csv,2026-07-18T20:23:16
01_FINAL_STAGE_X_FREEZE\FROZEN_PPO_final_pool_320_teacher_metrics.csv,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_evidence_freeze\frozen_tables\FROZEN_PPO_final_pool_320_teacher_metrics.csv,stageX_frozen_final_pool,360034,.csv,2026-07-18T20:23:16
01_FINAL_STAGE_X_FREEZE\PPO_final_pool_320_composition_for_manuscript.csv,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_evidence_freeze\manuscript_tables\PPO_final_pool_320_composition_for_manuscript.csv,stageX_manuscript_composition,302,.csv,2026-07-18T20:23:16
01_FINAL_STAGE_X_FREEZE\PPO_FINAL_POOL_320_EVIDENCE_FREEZE_REPORT.md,E:\Projects\RL-LAM-ScanOpt\docs\stage3_ppo_final_pool_320_evidence_freeze\PPO_FINAL_POOL_320_EVIDENCE_FREEZE_REPORT.md,stageX_freeze_report,4754,.md,2026-07-18T20:23:16
01_FINAL_STAGE_X_FREEZE\PPO_FINAL_POOL_320_EVIDENCE_INDEX.md,E:\Projects\RL-LAM-ScanOpt\docs\stage3_ppo_final_pool_320_evidence_freeze\PPO_FINAL_POOL_320_EVIDENCE_INDEX.md,stageX_evidence_index,4991,.md,2026-07-18T20:23:16
01_FINAL_STAGE_X_FREEZE\PPO_FINAL_POOL_320_FINAL_CLAIM_BOUNDARY.md,E:\Projects\RL-LAM-ScanOpt\docs\stage3_ppo_final_pool_320_evidence_freeze\PPO_FINAL_POOL_320_FINAL_CLAIM_BOUNDARY.md,stageX_final_claim_boundary,1054,.md,2026-07-18T20:23:16
01_FINAL_STAGE_X_FREEZE\PPO_final_pool_320_main_results_for_manuscript.csv,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_evidence_freeze\manuscript_tables\PPO_final_pool_320_main_results_for_manuscript.csv,stageX_manuscript_main_results,1025,.csv,2026-07-18T20:23:16
