trajectory_id,source_type,selection_reason,sequence_file,scan_path_csv,fea_metadata_json,num_tracks,total_deposition_time_s,scan_speed_mm_s,nominal_power_w,valid_export
raster_left_to_right,anchor_baseline,anchor_raster_left_to_right,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\raster_left_to_right.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\raster_left_to_right_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\raster_left_to_right_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
raster_right_to_left,anchor_baseline,anchor_raster_right_to_left,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\raster_right_to_left.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\raster_right_to_left_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\raster_right_to_left_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
center_out,anchor_baseline,anchor_center_out,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\center_out.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\center_out_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\center_out_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
edge_in,anchor_baseline,anchor_edge_in,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\edge_in.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\edge_in_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\edge_in_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
odd_even_interlaced,anchor_baseline,anchor_odd_even_interlaced,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\odd_even_interlaced.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\odd_even_interlaced_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\odd_even_interlaced_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
even_odd_interlaced,anchor_baseline,anchor_even_odd_interlaced,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\even_odd_interlaced.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\even_odd_interlaced_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\even_odd_interlaced_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
random_seed_0,anchor_baseline,anchor_random_seed_0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_0.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_0_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_0_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
random_seed_249,proxy_best,best_proxy_rank_1,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_249.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_249_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_249_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
random_seed_204,proxy_best,best_proxy_rank_2,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_204.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_204_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_204_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
random_seed_14,proxy_best,best_proxy_rank_3,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_14.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_14_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_14_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
random_seed_133,proxy_best,best_proxy_rank_4,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_133.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_133_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_133_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
random_seed_181,proxy_best,best_proxy_rank_5,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_181.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_181_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_181_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
random_seed_222,proxy_best,best_proxy_rank_6,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_222.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_222_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_222_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
random_seed_150,proxy_best,best_proxy_rank_7,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_150.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_150_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_150_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
random_seed_92,proxy_best,best_proxy_rank_8,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_92.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_92_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_92_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
random_seed_171,proxy_best,best_proxy_rank_9,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_171.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_171_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_171_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
random_seed_16,proxy_best,best_proxy_rank_10,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_16.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_16_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_16_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
center_out_local_reversal,proxy_worst,worst_proxy_tail,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\center_out_local_reversal.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\center_out_local_reversal_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\center_out_local_reversal_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
center_out_block_swap,proxy_worst,worst_proxy_tail,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\center_out_block_swap.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\center_out_block_swap_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\center_out_block_swap_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
random_seed_22,proxy_worst,worst_proxy_tail,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_22.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_22_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_22_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
random_seed_48,proxy_worst,worst_proxy_tail,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_48.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_48_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_48_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
random_seed_39,proxy_worst,worst_proxy_tail,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_39.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_39_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_39_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
random_seed_126,random_diverse,random_quantile_low,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_126.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_126_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_126_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
random_seed_144,random_diverse,random_quantile_low,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_144.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_144_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_144_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
random_seed_189,random_diverse,random_quantile_mid,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_189.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_189_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_189_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
random_seed_27,random_diverse,random_quantile_mid,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_27.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_27_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_27_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
random_seed_58,random_diverse,random_quantile_mid,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_58_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_58_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
random_seed_88,random_diverse,random_quantile_mid,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_88.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_88_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_88_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
random_seed_55,random_diverse,random_quantile_high,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_55.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_55_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_55_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
random_seed_233,random_diverse,random_quantile_high,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_233.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_233_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_233_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
random_seed_51,proxy_ambiguous,proxy_ambiguous,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_51.json,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_51_scan_path.csv,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\fea_exports\random_seed_51_fea_metadata.json,32,115.19999999999993,10.0,1000.0,True
