policy,episode_id,phase,adjacency_ratio,concentration_metric,cumulative_reheat,peak_heat,heat_variance,coverage_ratio
ppo_smoke,0,early,0.943609022556391,0.8928571428571429,-43.57534053516744,0.47325897216796875,0.0028144544921815395,0.3
ppo_smoke,0,full,0.9392575928008999,1.0,-149.23135395975066,0.4905253052711487,0.002877107821404934,1.0
ppo_smoke,0,late,0.9285714285714286,0.9285714285714286,-45.06536398239785,0.4905253052711487,0.002877107821404934,1.0
random,0,early,0.09398496240601503,1.0,-7.3419982818373954,0.33589303493499756,0.0010540951043367386,0.3
random,0,full,0.06749156355455568,1.0,-25.802678937963147,0.3042309582233429,0.0010502617806196213,1.0
random,0,late,0.07894736842105263,1.0,-8.55505025482736,0.3042309582233429,0.0010502617806196213,1.0
distance_aware_cool_first,0,early,0.0,1.0,-1.493507167302528,0.2905636727809906,0.0008711531991139054,0.3
distance_aware_cool_first,0,full,0.0,1.0,-9.209663489383175,0.3711099624633789,0.0015433046501129866,1.0
distance_aware_cool_first,0,late,0.0,0.9241071428571429,-4.939461812339722,0.3711099624633789,0.0015433046501129866,1.0
ppo_smoke,1,early,0.943609022556391,0.8928571428571429,-43.57534053516744,0.47325897216796875,0.0028144544921815395,0.3
ppo_smoke,1,full,0.9392575928008999,1.0,-149.23135395975066,0.4905253052711487,0.002877107821404934,1.0
ppo_smoke,1,late,0.9285714285714286,0.9285714285714286,-45.06536398239785,0.4905253052711487,0.002877107821404934,1.0
random,1,early,0.07894736842105263,1.0,-8.239997106438278,0.315255343914032,0.0010893987491726875,0.3
random,1,full,0.0686164229471316,1.0,-27.757000717550287,0.29469454288482666,0.0011827814159914851,1.0
random,1,late,0.09022556390977443,1.0,-8.884464897606517,0.29469454288482666,0.0011827814159914851,1.0
distance_aware_cool_first,1,early,0.0,1.0,-1.493507167302528,0.2905636727809906,0.0008711531991139054,0.3
distance_aware_cool_first,1,full,0.0,1.0,-9.209663489383175,0.3711099624633789,0.0015433046501129866,1.0
distance_aware_cool_first,1,late,0.0,0.9241071428571429,-4.939461812339722,0.3711099624633789,0.0015433046501129866,1.0
ppo_smoke,2,early,0.943609022556391,0.8928571428571429,-43.57534053516744,0.47325897216796875,0.0028144544921815395,0.3
ppo_smoke,2,full,0.9392575928008999,1.0,-149.23135395975066,0.4905253052711487,0.002877107821404934,1.0
ppo_smoke,2,late,0.9285714285714286,0.9285714285714286,-45.06536398239785,0.4905253052711487,0.002877107821404934,1.0
