stripe_index,center_row,center_col,affected_cells,coverage_reward,pre_reheat,post_peak,post_variance,delta_peak,delta_variance,delta_reheat_proxy,delta_peak_to_coverage,delta_variance_to_coverage,delta_reheat_to_coverage
0,22,4,5,1.0,0.0,0.4802491366863251,0.0011196703417226672,0.4802491366863251,0.0011196703417226672,0.31792330741882324,0.4802491366863251,0.0011196703417226672,0.31792330741882324
1,22,5,6,1.0,0.0,0.4802837371826172,0.0014744082000106573,0.4802837371826172,0.0014744082000106573,0.2617727220058441,0.4802837371826172,0.0014744082000106573,0.2617727220058441
2,22,6,6,1.0,0.0,0.4802837371826172,0.0015022956067696214,0.4802837371826172,0.0015022956067696214,0.2617727220058441,0.4802837371826172,0.0015022956067696214,0.2617727220058441
3,22,7,6,1.0,0.0,0.4802837371826172,0.0015022584702819586,0.4802837371826172,0.0015022584702819586,0.2617727220058441,0.4802837371826172,0.0015022584702819586,0.2617727220058441
4,22,8,6,1.0,0.0,0.4802837371826172,0.0015022486913949251,0.4802837371826172,0.0015022486913949251,0.2617727220058441,0.4802837371826172,0.0015022486913949251,0.2617727220058441
5,22,9,6,1.0,0.0,0.4802837371826172,0.0015022112056612968,0.4802837371826172,0.0015022112056612968,0.2617727220058441,0.4802837371826172,0.0015022112056612968,0.2617727220058441
6,22,10,6,1.0,0.0,0.4802837371826172,0.001504186075180769,0.4802837371826172,0.001504186075180769,0.2617727220058441,0.4802837371826172,0.001504186075180769,0.2617727220058441
7,32,11,24,1.0,0.0,0.48028552532196045,0.0026252432726323605,0.48028552532196045,0.0026252432726323605,0.19302873313426971,0.48028552532196045,0.0026252432726323605,0.19302873313426971
8,32,12,24,1.0,0.0,0.48028552532196045,0.0030259587801992893,0.48028552532196045,0.0030259587801992893,0.1755666434764862,0.48028552532196045,0.0030259587801992893,0.1755666434764862
9,32,13,24,1.0,0.0,0.48028552532196045,0.003026976017281413,0.48028552532196045,0.003026976017281413,0.1755666434764862,0.48028552532196045,0.003026976017281413,0.1755666434764862
10,32,14,24,1.0,0.0,0.48028552532196045,0.0030269757844507694,0.48028552532196045,0.0030269757844507694,0.1755666434764862,0.48028552532196045,0.0030269757844507694,0.1755666434764862
11,32,15,24,1.0,0.0,0.48028552532196045,0.003025958314538002,0.48028552532196045,0.003025958314538002,0.1755666434764862,0.48028552532196045,0.003025958314538002,0.1755666434764862
12,32,16,24,1.0,0.0,0.48028552532196045,0.002625243039801717,0.48028552532196045,0.002625243039801717,0.19302873313426971,0.48028552532196045,0.002625243039801717,0.19302873313426971
13,22,17,6,1.0,0.0,0.4802837371826172,0.001504186075180769,0.4802837371826172,0.001504186075180769,0.2617727220058441,0.4802837371826172,0.001504186075180769,0.2617727220058441
14,22,18,6,1.0,0.0,0.4802837371826172,0.0015022112056612968,0.4802837371826172,0.0015022112056612968,0.2617727220058441,0.4802837371826172,0.0015022112056612968,0.2617727220058441
15,22,19,6,1.0,0.0,0.4802837371826172,0.0015022482257336378,0.4802837371826172,0.0015022482257336378,0.2617727220058441,0.4802837371826172,0.0015022482257336378,0.2617727220058441
16,22,20,6,1.0,0.0,0.4802837371826172,0.0015022505540400743,0.4802837371826172,0.0015022505540400743,0.2617727220058441,0.4802837371826172,0.0015022505540400743,0.2617727220058441
17,22,21,6,1.0,0.0,0.4802837371826172,0.0015022482257336378,0.4802837371826172,0.0015022482257336378,0.2617727220058441,0.4802837371826172,0.0015022482257336378,0.2617727220058441
