environment,metric,value
local_primitive,action_catalog_size,1769.0
local_primitive,affected_cells_mean,1.9197286602600339
local_primitive,affected_cells_std,0.27171281117444024
local_primitive,affected_cells_min,1.0
local_primitive,affected_cells_max,2.0
directional_primitive,action_catalog_size,1780.0
directional_primitive,affected_cells_mean,1.9140449438202247
directional_primitive,affected_cells_std,0.28029767122990334
directional_primitive,affected_cells_min,1.0
directional_primitive,affected_cells_max,2.0
local_primitive,coverage_completion_share,0.700374042207718
local_primitive,thermal_share,0.22679633361038817
local_primitive,jump_share,0.07282962418188121
directional_primitive,coverage_completion_share,0.700088538306285
directional_primitive,thermal_share,0.2270378971182614
directional_primitive,jump_share,0.07287356457544245
local_primitive_random,early_adjacency_ratio,0.031446540880503145
local_primitive_random,cumulative_early_reheat,-3.8134937988872935
local_primitive_random,early_peak_heat,0.4049326293170452
local_primitive_random,early_heat_variance,0.0018000291489443042
local_primitive_distance_aware_cool_first,early_adjacency_ratio,0.12422360248447205
local_primitive_distance_aware_cool_first,cumulative_early_reheat,-2.4729268458708384
local_primitive_distance_aware_cool_first,early_peak_heat,0.39285251093499457
local_primitive_distance_aware_cool_first,early_heat_variance,0.00180548434770942
local_primitive_cool_first,early_adjacency_ratio,0.006329113924050633
local_primitive_cool_first,cumulative_early_reheat,-0.6699944733477015
local_primitive_cool_first,early_peak_heat,0.3898265723537349
local_primitive_cool_first,early_heat_variance,0.0014667463526949755
directional_primitive_random,early_adjacency_ratio,0.031446540880503145
directional_primitive_random,cumulative_early_reheat,-3.8134937988872935
directional_primitive_random,early_peak_heat,0.4049326293170452
directional_primitive_random,early_heat_variance,0.0018000291489443042
directional_primitive_distance_aware_cool_first,early_adjacency_ratio,0.12422360248447205
directional_primitive_distance_aware_cool_first,cumulative_early_reheat,-2.4729268458708384
directional_primitive_distance_aware_cool_first,early_peak_heat,0.39285251093499457
directional_primitive_distance_aware_cool_first,early_heat_variance,0.00180548434770942
directional_primitive_cool_first,early_adjacency_ratio,0.006329113924050633
directional_primitive_cool_first,cumulative_early_reheat,-0.6699944733477015
directional_primitive_cool_first,early_peak_heat,0.3898265723537349
directional_primitive_cool_first,early_heat_variance,0.0014667463526949755
