environment,metric,value
segment6,action_catalog_size,336.0
segment6,affected_cells_mean,2.6726726726726726
segment6,affected_cells_std,1.226975726490692
segment6,affected_cells_min,1.0
segment6,affected_cells_max,4.0
local_window,action_catalog_size,1780.0
local_window,affected_cells_mean,2.8280898876404494
local_window,affected_cells_std,0.37730230005670157
local_window,affected_cells_min,2.0
local_window,affected_cells_max,3.0
segment6,coverage_completion_share,0.668257953411502
segment6,thermal_share,0.2612325262047511
segment6,jump_share,0.07050952038375242
local_window,coverage_completion_share,0.6887605630044897
local_window,thermal_share,0.23973055672112714
local_window,jump_share,0.07150888027438111
segment6_random,early_adjacency_ratio,0.06060606060606061
segment6_random,cumulative_early_reheat,-2.3360950808443204
segment6_random,early_peak_heat,0.4754903331398964
segment6_random,early_heat_variance,0.0023901007894892245
segment6_distance_aware_cool_first,early_adjacency_ratio,0.010101010101010102
segment6_distance_aware_cool_first,cumulative_early_reheat,-1.8244205260399378
segment6_distance_aware_cool_first,early_peak_heat,0.4602269870042801
segment6_distance_aware_cool_first,early_heat_variance,0.0025353056217136327
segment6_cool_first,early_adjacency_ratio,0.0
segment6_cool_first,cumulative_early_reheat,-0.38057606215492
segment6_cool_first,early_peak_heat,0.45795936226844786
segment6_cool_first,early_heat_variance,0.0020141586738463956
local_window_random,early_adjacency_ratio,0.017699115044247787
local_window_random,cumulative_early_reheat,-2.6646057983045037
local_window_random,early_peak_heat,0.47371149141537516
local_window_random,early_heat_variance,0.0022128145624025677
local_window_distance_aware_cool_first,early_adjacency_ratio,0.02654867256637168
local_window_distance_aware_cool_first,cumulative_early_reheat,-2.656371815777625
local_window_distance_aware_cool_first,early_peak_heat,0.46671261076341597
local_window_distance_aware_cool_first,early_heat_variance,0.002495262535440066
local_window_cool_first,early_adjacency_ratio,0.0
local_window_cool_first,cumulative_early_reheat,-0.45103369446539127
local_window_cool_first,early_peak_heat,0.4463008073243228
local_window_cool_first,early_heat_variance,0.0018195986968064912
