N_label,scope,strategy_id,U2,PEEQ,SurfaceT,Mises,include_in_u2_panel,include_in_peeq_panel,include_in_surfacet_panel,include_in_mises_panel,stress_semantics_note
N12,native_stage3_combined552,N12_A01_raster_left_to_right,0.0001314298706347,0.172713503241539,585.930688,579.938304,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,N12_A02_odd_even_interlaced,4.044348497700412e-05,0.1485100835561752,585.297728,579.939584,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,N12_A03_greedy_maximin_distance,8.175894481610158e-05,0.160981610417366,585.035712,579.939584,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,N12_A04_method_c_u2_first_engineering,4.411622103361879e-05,0.1464761346578598,581.743296,579.939584,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,N12_A05_center_out,0.0001583552163992,0.1603216230869293,580.9728,579.938048,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,N12_A06_edge_in_alternating,0.0001012890104448,0.175326257944107,580.798976,579.937984,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,N12_A07_regular_jump_coprime,6.379491514962865e-05,0.1535141170024871,581.880128,579.938432,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,N12_A08_block_interleaved_quarters,3.682645638036775e-05,0.1432445049285888,582.462656,579.939584,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,N12_A09_center_edge_alternating,0.0001080845922842,0.1680927276611328,580.752832,579.938304,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,5.570924804487731e-05,0.1565174758434295,583.11456,579.938304,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,N12_A11_graph_pointer_policy_diverse_01,7.328880428758566e-05,0.1638757288455963,582.071168,579.939392,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,N12_A12_graph_pointer_policy_diverse_02,0.0001395468352711,0.1633458584547042,581.337984,579.938048,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,N12_A13_graph_pointer_policy_anti_odd_even_novelty,7.77201084929402e-05,0.1403219699859619,581.967424,579.939328,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,N12_A14_graph_pointer_policy_u2first_proxy,0.0001010998803394,0.1588887572288513,581.829312,579.938368,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,9.216308080794988e-05,0.1593673974275589,581.069312,579.93824,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3B20_N12_B01_surrogate_top,3.767202088056365e-05,0.1479470580816269,585.915072,579.939584,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3B20_N12_B02_diversity_top,2.3353248252533376e-05,0.1469611227512359,582.776448,579.93952,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3B20_N12_B03_method_c_inspired,7.903753157734172e-05,0.1574792563915252,581.229056,579.938368,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3B20_N12_B04_surrogate_top,3.2932137401076034e-05,0.1426714956760406,582.234944,579.939584,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3B20_N12_B05_surrogate_top,3.931116134481272e-05,0.1496229320764541,585.543936,579.939584,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R19B28_N12_B01_surrogate_top,3.746341781152296e-05,0.1469832807779312,581.02144,579.938496,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R19B28_N12_B02_u2_primary_top,4.209233884466812e-05,0.1484188884496688,582.993408,579.93952,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R19B28_N12_B03_geometry_signal_top,8.043792149692308e-05,0.1424328386783599,581.134528,579.939328,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R19B28_N12_B04_method_c_inspired,2.9964902523715864e-05,0.1453216075897216,582.802304,579.939584,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R24L64_N12_B01_top_region,3.981756117354962e-05,0.147611990571022,581.054144,579.93856,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R24L64_N12_B02_top_region,4.743445606436581e-05,0.1485111713409423,583.104,579.939584,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R24L64_N12_B03_model_disagreement,4.803386900675832e-05,0.148449420928955,581.267264,579.939776,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R24L64_N12_B04_uncertainty_calibration,4.548148990579648e-05,0.1537710577249527,581.128832,579.93952,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R24L64_N12_B05_diversity_coverage,3.9774539800419006e-05,0.1521858870983123,583.00064,579.939584,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R24L64_N12_B06_tradeoff_probe,0.0001155623961039,0.1631104797124862,582.663488,579.938304,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R24L64_N12_B07_sentinel_control,8.973477179097245e-05,0.1636441349983215,582.725376,579.938304,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R24L64_N12_B08_exploitation_reference,4.415783655531413e-05,0.1451154500246048,581.017728,579.939456,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R34N32INF_N12_B01_graph_pointer,5.744353620684706e-05,0.1684480607509613,582.666752,579.939584,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R34N32INF_N12_B02_surrogate_top,3.5468697433316265e-05,0.1539434939622879,581.848896,579.93856,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R34N32INF_N12_B03_hybrid_agree,5.269739813229535e-05,0.1545384377241134,581.436224,579.93952,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R34N32INF_N12_B04_hybrid_disagree,5.994689445287804e-05,0.1500022262334823,581.437888,579.938432,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R64VNR_N12_B01_n12_diversity,6.379491514962865e-05,0.1535141170024871,581.880128,579.938432,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R64VNR_N12_B02_n12_penalty,4.408235781738768e-05,0.1478625386953354,581.030976,579.93856,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R64VNR_N12_B03_n12_anchor_local,3.5103737900499254e-05,0.1520085632801056,583.759616,579.93856,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R64VNR_N12_B04_n12_anchor_local,4.209233884466812e-05,0.1484188884496688,582.993408,579.93952,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R64VNR_N12_B05_n12_anchor_local,3.254793091400643e-05,0.1469618827104568,581.04512,579.93952,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R64VNR_N12_B06_n12_anchor_top,2.3353248252533376e-05,0.1469611227512359,582.776448,579.93952,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R64VNR_N12_B07_n12_anchor_top,4.7157466724456754e-05,0.1438055485486984,581.349824,579.939648,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R64VNR_N12_B08_n12_anchor_top,3.971927708334988e-05,0.1505984514951706,582.831104,579.93952,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R64VNR_N12_B09_n12_anchor_top,3.798802094934217e-05,0.1497074365615844,582.938496,579.939776,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R64VNR_N12_B10_n12_u2_safe,4.140971304877894e-05,0.1501847505569458,581.70816,579.93952,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R64VNR_N12_B11_n12_u2_safe,4.911627866022173e-05,0.1459944397211074,580.95712,579.93952,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R64VNR_N12_B12_n12_uncertainty,3.746341781152296e-05,0.1469832807779312,581.02144,579.938496,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R69SNR_N12_B01_n12_run66_local,2.7269628844806e-05,0.1481368690729141,583.111104,579.93952,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R69SNR_N12_B02_n12_run66_local,3.780453721446975e-05,0.1452908664941787,581.116416,579.93952,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R69SNR_N12_B03_n12_run66_local,2.8717314307868943e-05,0.1526945084333419,580.993088,579.939776,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R69SNR_N12_B04_n12_diversity,2.8240926894795848e-05,0.1448713839054107,580.975168,579.939584,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R69SNR_N12_B05_n12_penalty,3.951015060010832e-05,0.1438886523246765,581.077632,579.939584,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R69SNR_N12_B06_n12_penalty,3.3854955745482584e-05,0.1467602103948593,581.397376,579.939584,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R69SNR_N12_B07_n12_reward_bal,3.42248022207059e-05,0.1485162526369094,581.308096,579.93952,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R69SNR_N12_B08_n12_reward_bal,4.585568694892572e-05,0.1547912508249282,581.781312,579.939712,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R69SNR_N12_B09_n12_recovery_top,3.0538531063939445e-05,0.1553616970777511,581.836736,579.939712,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R69SNR_N12_B10_n12_recovery_top,3.37775782099925e-05,0.1460967510938644,581.126592,579.939584,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R69SNR_N12_B11_n12_recovery_top,3.338143415021477e-05,0.1538974791765213,580.981824,579.93984,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R69SNR_N12_B12_n12_recovery_top,3.4878033147833776e-05,0.147205114364624,580.948992,579.93952,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R69SNR_N12_B13_n12_u2_safe,5.511432618732215e-05,0.1478563249111175,580.840256,579.939712,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R69SNR_N12_B14_n12_u2_safe,3.27797893078241e-05,0.1477580964565277,581.153088,579.93952,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R69SNR_N12_B15_n12_u2_safe,4.401078331284225e-05,0.1430467814207077,580.873152,579.939456,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R69SNR_N12_B16_n12_uncertainty,2.20100214392005e-05,0.1474265903234481,580.977664,579.93952,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R74FSD_N12_B01_n12_penalty,2.7831204988615355e-05,0.1452231556177139,580.966464,579.93952,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R74FSD_N12_B02_n12_penalty,2.502332336007385e-05,0.1451048254966735,580.95648,579.939584,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R74FSD_N12_B03_n12_reward_bal,3.3495862226118334e-05,0.1519414186477661,580.952448,579.93984,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R74FSD_N12_B04_n12_reward_bal,2.704449070733972e-05,0.1459793299436569,581.01856,579.939584,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R74FSD_N12_B05_n12_final_top,2.811319745887885e-05,0.1472236961126327,580.991104,579.939584,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R74FSD_N12_B06_n12_final_top,2.8934185138496105e-05,0.1512420028448104,581.187008,579.939776,true,true,true,true,native Stage 3 MPa-scale stress definitions
