N_label,scope,strategy_id,U2,PEEQ,SurfaceT,Mises,include_in_u2_panel,include_in_peeq_panel,include_in_surfacet_panel,include_in_mises_panel,stress_semantics_note,U2_within_N_minmax_cost,PEEQ_within_N_minmax_cost,SurfaceT_within_N_minmax_cost,Mises_within_N_minmax_cost
N12,native_stage3_combined552,N12_A01_raster_left_to_right,0.0001314298706347,0.172713503241539,585.930688,579.938304,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.8025207579013016,0.9253590101392124,1.0,0.1724137930992239
N12,native_stage3_combined552,N12_A02_odd_even_interlaced,4.044348497700412e-05,0.1485100835561752,585.297728,579.939584,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.1351970162440383,0.2339174440572511,0.8777563532087368,0.8620689654961194
N12,native_stage3_combined552,N12_A03_greedy_maximin_distance,8.175894481610158e-05,0.160981610417366,585.035712,579.939584,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.43821803470544024,0.590203133287756,0.8271531691881661,0.8620689654961194
N12,native_stage3_combined552,N12_A04_method_c_u2_first_engineering,4.411622103361879e-05,0.1464761346578598,581.743296,579.939584,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.16213405687603247,0.1758117371007945,0.19128844062097725,0.8620689654961194
N12,native_stage3_combined552,N12_A05_center_out,0.0001583552163992,0.1603216230869293,580.9728,579.938048,True,True,True,True,native Stage 3 MPa-scale stress definitions,1.0,0.5713486623376296,0.0424824483338265,0.034482758595343305
N12,native_stage3_combined552,N12_A06_edge_in_alternating,0.0001012890104448,0.175326257944107,580.798976,579.937984,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.581457887304779,1.0,0.008911796697325386,0.0
N12,native_stage3_combined552,N12_A07_regular_jump_coprime,6.379491514962865e-05,0.1535141170024871,581.880128,579.938432,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.30646399913606687,0.3768723143947153,0.21771482250568513,0.24137931035116417
N12,native_stage3_combined552,N12_A08_block_interleaved_quarters,3.682645638036775e-05,0.1432445049285888,582.462656,579.939584,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.10866855223987944,0.08349076964860483,0.3302185306041766,0.8620689654961194
N12,native_stage3_combined552,N12_A09_center_edge_alternating,0.0001080845922842,0.1680927276611328,580.752832,579.938304,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.6312988944733386,0.7933530231603805,0.0,0.1724137930992239
N12,native_stage3_combined552,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,5.570924804487731e-05,0.1565174758434295,583.11456,579.938304,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.24716108708901244,0.46267205540168993,0.4561208345693588,0.1724137930992239
N12,native_stage3_combined552,N12_A11_graph_pointer_policy_diverse_01,7.328880428758566e-05,0.1638757288455963,582.071168,579.939392,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.37609526953574834,0.6728821019812724,0.25461040245227484,0.7586206896488358
N12,native_stage3_combined552,N12_A12_graph_pointer_policy_diverse_02,0.0001395468352711,0.1633458584547042,581.337984,579.938048,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.8620532162235865,0.6577448024731184,0.11301048155838854,0.034482758595343305
N12,native_stage3_combined552,N12_A13_graph_pointer_policy_anti_odd_even_novelty,7.77201084929402e-05,0.1403219699859619,581.967424,579.939328,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.40859589566089033,0.0,0.234574310293688,0.7241379310534926
N12,native_stage3_combined552,N12_A14_graph_pointer_policy_u2first_proxy,0.0001010998803394,0.1588887572288513,581.829312,579.938368,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.5800707456056858,0.5304146527731074,0.20790072184316108,0.2068965516945672
N12,native_stage3_combined552,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,9.216308080794988e-05,0.1593673974275589,581.069312,579.93824,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.5145253515485504,0.5440884118074268,0.06112182339562064,0.1379310344426269
N12,native_stage3_combined552,S3B20_N12_B01_surrogate_top,3.767202088056365e-05,0.1479470580816269,585.915072,579.939584,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.11487019726626975,0.21783297248561034,0.9969840798971576,0.8620689654961194
N12,native_stage3_combined552,S3B20_N12_B02_diversity_top,2.3353248252533376e-05,0.1469611227512359,582.776448,579.93952,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.009851662273297916,0.18966684233693037,0.39082122021159715,0.8275862069007761
N12,native_stage3_combined552,S3B20_N12_B03_method_c_inspired,7.903753157734172e-05,0.1574792563915252,581.229056,579.938368,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.41825830499469946,0.49014813345377634,0.09197320280826662,0.2068965516945672
