record_type,source_file,column_name,row_count,native_non_null_count,n32_non_null_count,native_min,native_median,native_max,n32_min,n32_median,n32_max,inferred_unit_or_semantic_scale,compatibility_class,surface_semantic,mises_semantic,includes_n32_or_full32,relevant_columns,usable_for_native_scale_conversion,recommendation_reason
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,order_compact,884,444,0,,,,,,,metadata_or_derived,unknown,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,keyword match but not a physical stress column
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,surface_t_proxy,884,552,332,580752832,582285312,598535360,0.0010144115886554,0.0070103019324473503,0.0542577414436596,native:Pa; N32:legacy_raw_proxy,mixed_native_compatible_and_n32_legacy_proxy,,,YES_FROZEN_PLUS_N32,,NO,native rows use Stage 3 definitions; N32 rows are stage2 legacy/proxy per semantic memo and metric_semantic_warning
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,surface_t_proxy_mpa,884,552,332,580.75283200000001,582.28531199999998,598.53535999999997,1.0144115886554e-09,7.0103019324473505e-09,5.4257741443659601e-08,MPa_if_physical_column,mixed_native_compatible_and_n32_legacy_proxy,,,YES_FROZEN_PLUS_N32,,NO,native rows use Stage 3 definitions; N32 rows are stage2 legacy/proxy per semantic memo and metric_semantic_warning
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,mises_max,884,552,332,579924032,579939712,579948672,1.9332757333333328,1.9332789546666664,1.933567361933568,native:Pa; N32:legacy_raw_proxy,mixed_native_compatible_and_n32_legacy_proxy,,,YES_FROZEN_PLUS_N32,,NO,native rows use Stage 3 definitions; N32 rows are stage2 legacy/proxy per semantic memo and metric_semantic_warning
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,patched_after_cool_initialInc_failure,884,520,0,0,0,1,,,,source_numeric_scale,unknown,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,keyword match but not a physical stress column
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,surfaceT_rank_combined172_within_n,884,172,0,1,22,54,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,target_surfaceT_score_combined172_rank,884,172,0,0,0.5,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,surfaceT_cost_minmax_combined172_within_n,884,172,0,0,0.22996362032851947,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,mises_rank_combined172_within_n,884,172,0,1,22.5,54,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,target_mises_score_combined172_rank,884,172,0,0,0.5,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
