dataset_scope,source_stage,N,metric,value,display_value,display_unit,claim_role
native_stage3,Stage3_native,N12,U2,0.00013142987063470001,0.00013142987063470001,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,PEEQ,0.172713503241539,0.172713503241539,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,SurfaceT,585930688,585.93068800000003,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,Mises,579938304,579.93830400000002,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,U2,4.0443484977004118e-05,4.0443484977004118e-05,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,PEEQ,0.1485100835561752,0.1485100835561752,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,SurfaceT,585297728,585.29772800000001,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,Mises,579939584,579.93958399999997,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,U2,8.1758944816101575e-05,8.1758944816101575e-05,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,PEEQ,0.160981610417366,0.160981610417366,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,SurfaceT,585035712,585.03571199999999,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,Mises,579939584,579.93958399999997,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,U2,4.4116221033618792e-05,4.4116221033618792e-05,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,PEEQ,0.1464761346578598,0.1464761346578598,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,SurfaceT,581743296,581.74329599999999,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,Mises,579939584,579.93958399999997,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,U2,0.00015835521639919999,0.00015835521639919999,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,PEEQ,0.16032162308692929,0.16032162308692929,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,SurfaceT,580972800,580.97280000000001,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,Mises,579938048,579.93804799999998,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,U2,0.0001012890104448,0.0001012890104448,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,PEEQ,0.175326257944107,0.175326257944107,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,SurfaceT,580798976,580.79897600000004,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,Mises,579937984,579.93798400000003,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,U2,6.379491514962865e-05,6.379491514962865e-05,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,PEEQ,0.1535141170024871,0.1535141170024871,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,SurfaceT,581880128,581.88012800000001,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,Mises,579938432,579.93843200000003,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,U2,3.6826456380367751e-05,3.6826456380367751e-05,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,PEEQ,0.14324450492858881,0.14324450492858881,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,SurfaceT,582462656,582.46265600000004,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,Mises,579939584,579.93958399999997,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,U2,0.0001080845922842,0.0001080845922842,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,PEEQ,0.16809272766113281,0.16809272766113281,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,SurfaceT,580752832,580.75283200000001,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,Mises,579938304,579.93830400000002,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,U2,5.5709248044877313e-05,5.5709248044877313e-05,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,PEEQ,0.15651747584342951,0.15651747584342951,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,SurfaceT,583114560,583.11455999999998,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,Mises,579938304,579.93830400000002,MPa,native_multi_N_claim_scope
