step,i,j,s_new,rank_i,rank_j
1,28,28,0.999999,0,0
2,28,29,0.984002195903,0,1
3,29,28,0.984002195903,1,0
4,28,12,0.968278483519,0,2
5,12,28,0.968278483519,2,0
6,29,29,0.967741,1,1
7,28,13,0.952841382557,0,3
8,13,28,0.952841382557,3,0
9,29,12,0.951748676482,1,2
10,12,29,0.951748676482,2,1
11,28,20,0.937705048267,0,4
12,20,28,0.937705048267,4,0
13,29,13,0.936039006587,1,3
14,13,29,0.936039006587,3,1
15,12,12,0.935483,2,2
16,28,21,0.922884279496,0,5
17,21,28,0.922884279496,5,0
18,29,20,0.920626460126,1,4
19,20,29,0.920626460126,4,1
20,12,13,0.919495471417,2,3
21,13,12,0.919495471417,3,2
22,28,24,0.908394522056,0,6
23,24,28,0.908394522056,6,0
24,29,21,0.905526208832,1,5
25,21,29,0.905526208832,5,1
26,12,20,0.903800851509,2,4
27,20,12,0.903800851509,4,2
28,13,13,0.903225,3,3
29,28,25,0.894251866436,0,7
30,25,28,0.894251866436,7,0
31,29,24,0.890754135124,1,6
32,24,29,0.890754135124,6,1
33,12,21,0.888414663873,2,5
34,21,12,0.888414663873,5,2
35,13,20,0.887242614992,3,4
36,20,13,0.887242614992,4,3
37,28,16,0.880473038834,0,8
38,16,28,0.880473038834,8,0
39,29,25,0.876326835242,1,7
40,25,29,0.876326835242,7,1
41,12,24,0.873353209959,2,6
42,24,12,0.873353209959,6,2
43,13,21,0.871564164966,3,5
44,21,13,0.871564164966,5,3
45,20,20,0.870967,4,4
46,28,17,0.867075384361,0,9
47,17,28,0.867075384361,9,0
48,29,16,0.862261615551,1,8
49,16,29,0.862261615551,8,1
50,12,25,0.858633578582,2,7
51,25,12,0.858633578582,7,2
52,13,24,0.856206346632,3,6
53,24,13,0.856206346632,6,3
54,20,21,0.85499014666,4,5
55,21,20,0.85499014666,5,4
56,28,8,0.854076841263,0,10
57,8,28,0.854076841263,10,0
58,29,17,0.848576480764,1,9
59,17,29,0.848576480764,9,1
60,12,16,0.844273648622,2,8
61,16,12,0.844273648622,8,2
62,28,9,0.841495904899,0,11
63,9,28,0.841495904899,11,0
64,13,25,0.841186721803,3,7
65,25,13,0.841186721803,7,3
66,20,24,0.839329116167,4,6
67,24,20,0.839329116167,6,4
68,21,21,0.838709,5,5
69,29,8,0.835290112668,1,10
70,8,29,0.835290112668,10,1
71,12,17,0.830292083431,2,9
72,17,12,0.830292083431,9,2
73,28,4,0.829351580275,0,12
74,4,28,0.829351580275,12,0
75,13,16,0.826523727684,3,8
76,16,13,0.826523727684,8,3
77,20,25,0.824001916362,4,7
78,25,20,0.824001916362,7,4
79,21,24,0.822738112063,5,6
80,24,21,0.822738112063,6,5
81,29,9,0.822421837928,1,11
82,9,29,0.822421837928,11,1
83,28,5,0.81766332192,0,13
84,5,28,0.81766332192,13,0
85,12,8,0.816708315389,2,10
86,8,12,0.816708315389,10,2
87,13,17,0.812236678855,3,9
88,17,13,0.812236678855,9,3
89,29,4,0.809991583441,1,12
90,4,29,0.809991583441,12,1
91,20,16,0.809027520952,4,8
92,16,20,0.809027520952,8,4
93,21,25,0.807095901343,5,7
94,25,21,0.807095901343,7,5
95,24,24,0.806451,6,6
96,28,0,0.80645096,0,14
97,0,28,0.80645096,14,0
98,12,9,0.803542518853,2,11
99,9,12,0.803542518853,11,2
100,13,8,0.798345759113,3,10
101,8,13,0.798345759113,10,3
102,29,5,0.79801981777,1,13
103,5,29,0.79801981777,13,1
104,28,1,0.79573461174,0,15
105,1,28,0.79573461174,15,0
106,20,17,0.794425880563,4,9
107,17,20,0.794425880563,9,4
108,21,16,0.791801847341,5,8
109,16,21,0.791801847341,8,5
110,12,4,0.790815569744,2,12
111,4,12,0.790815569744,12,2
112,24,25,0.790486564291,6,7
113,25,24,0.790486564291,7,6
114,29,0,0.786527477222,1,14
115,0,29,0.786527477222,14,1
116,28,2,0.785534577419,0,16
117,2,28,0.785534577419,16,0
118,13,9,0.784872001203,3,11
119,9,13,0.784872001203,11,3
120,20,8,0.780217923612,4,10
121,8,20,0.780217923612,10,4
122,12,5,0.778548989889,2,13
123,5,12,0.778548989889,13,2
124,21,17,0.776876512391,5,9
125,17,21,0.776876512391,9,5
126,28,3,0.775871220555,0,17
127,3,28,0.775871220555,17,0
128,29,1,0.775535875289,1,15
129,1,29,0.775535875289,15,1
130,24,16,0.774864749368,6,8
131,16,24,0.774864749368,8,6
132,25,25,0.774193,7,7
133,13,4,0.771837252286,3,12
134,4,13,0.771837252286,12,3
135,12,0,0.766764874345,2,14
136,0,12,0.766764874345,14,2
137,28,6,0.766764832275,0,18
138,6,28,0.766764832275,18,0
139,20,9,0.766425544658,4,11
140,9,20,0.766425544658,11,4
141,29,2,0.765066594396,1,16
142,2,29,0.765066594396,16,1
143,21,8,0.762341553453,5,10
144,8,21,0.762341553453,10,5
145,24,17,0.759606694194,6,9
146,17,24,0.759606694194,9,6
147,13,5,0.759264122901,3,13
148,5,13,0.759264122901,13,3
149,25,16,0.758235565466,7,8
150,16,25,0.758235565466,8,7
151,28,7,0.758235480379,0,19
152,7,28,0.758235480379,19,0
153,12,1,0.755485799976,2,15
154,1,12,0.755485799976,15,2
155,29,3,0.755141359233,1,17
156,3,29,0.755141359233,17,1
157,20,4,0.753071577773,4,12
158,4,20,0.753071577773,12,4
159,28,10,0.750302844164,0,20
160,10,28,0.750302844164,20,0
161,21,9,0.748219721272,5,11
162,9,21,0.748219721272,11,5
163,13,0,0.747175917169,3,14
164,0,13,0.747175917169,14,3
165,29,6,0.745781891409,1,18
166,6,29,0.745781891409,18,1
167,24,8,0.744734757132,6,10
168,8,24,0.744734757132,10,6
169,12,2,0.744734713818,2,16
170,2,12,0.744734713818,16,2
171,28,11,0.742986036734,0,21
172,11,28,0.742986036734,21,0
173,25,17,0.74263592883,7,9
174,17,25,0.74263592883,9,7
175,16,16,0.741935,8,8
176,20,5,0.740179752193,4,13
177,5,20,0.740179752193,13,4
178,29,7,0.737009745692,1,19
179,7,29,0.737009745692,19,1
180,28,14,0.73630341719,0,22
181,14,28,0.73630341719,22,0
182,13,1,0.735596542021,3,15
183,1,13,0.735596542021,15,3
184,21,4,0.734534843997,5,12
185,4,21,0.734534843997,12,5
186,12,3,0.73453480008,2,17
187,3,12,0.73453480008,17,2
188,24,9,0.730272528349,6,11
189,9,24,0.730272528349,11,6
190,28,15,0.730272395831,0,23
191,15,28,0.730272395831,23,0
192,29,10,0.728846128823,1,20
193,10,29,0.728846128823,20,1
194,20,0,0.727774627497,4,14
195,0,20,0.727774627497,14,4
196,25,8,0.727417109645,7,10
197,8,25,0.727417109645,10,7
198,16,17,0.725985188745,8,9
199,17,16,0.725985188745,9,8
200,12,6,0.724909325128,2,18
201,6,12,0.724909325128,18,2
202,28,18,0.724909236129,0,24
203,18,28,0.724909236129,24,0
204,13,2,0.724550393439,3,16
205,2,13,0.724550393439,16,3
206,21,5,0.721311792052,5,13
207,5,21,0.721311792052,13,5
208,29,11,0.721311702609,1,21
209,11,29,0.721311702609,21,1
210,28,19,0.720228857865,0,25
211,19,28,0.720228857865,25,0
212,24,4,0.716244826442,6,12
213,4,24,0.716244826442,12,6
214,28,22,0.716244646291,0,26
215,22,28,0.716244646291,26,0
216,20,1,0.715881505464,4,15
217,1,20,0.715881505464,15,4
218,12,7,0.715881460403,2,19
219,7,12,0.715881460403,19,2
220,29,14,0.714426373887,1,22
221,14,29,0.714426373887,22,1
222,13,3,0.714062218015,3,17
223,3,13,0.714062218015,17,3
224,28,23,0.712968272467,0,27
225,23,28,0.712968272467,27,0
226,25,9,0.712603507278,7,11
227,9,25,0.712603507278,11,7
228,16,8,0.710409757037,8,10
229,8,16,0.710409757037,10,8
230,28,26,0.710409529999,0,28
231,26,28,0.710409529999,28,0
232,17,17,0.709677,9,9
233,21,0,0.708576420879,5,14
234,0,21,0.708576420879,14,5
235,28,27,0.708576193253,0,29
236,27,28,0.708576193253,29,0
237,29,15,0.708209074817,1,23
238,15,29,0.708209074817,23,1
239,12,10,0.707474084052,2,20
240,10,12,0.707474084052,20,2
241,28,30,0.707473901668,0,30
242,30,28,0.707473901668,30,0
243,28,31,0.70710607408,0,31
244,31,28,0.70710607408,31,0
245,20,2,0.704526315949,4,16
246,2,20,0.704526315949,16,4
247,13,6,0.704156948645,3,18
248,6,13,0.704156948645,18,3
249,24,5,0.702677675548,6,13
250,5,24,0.702677675548,13,6
251,29,18,0.702677537826,1,24
252,18,29,0.702677537826,24,1
253,12,11,0.699709562908,2,21
254,11,12,0.699709562908,21,2
255,25,4,0.698220913701,7,12
256,4,25,0.698220913701,12,7
257,29,19,0.697848070314,1,25
258,19,29,0.697848070314,25,1
259,21,1,0.696355487995,5,15
260,1,21,0.696355487995,15,5
261,16,9,0.695233867179,8,11
262,9,16,0.695233867179,11,8
263,13,7,0.694859513871,3,19
264,7,13,0.694859513871,19,3
265,17,8,0.69373552089,9,10
266,8,17,0.69373552089,10,9
267,20,3,0.693735474391,4,17
268,3,20,0.693735474391,17,4
269,29,22,0.693735334894,1,26
270,22,29,0.693735334894,26,1
271,12,14,0.692609517556,2,22
272,14,12,0.692609517556,22,2
273,29,23,0.690352141363,1,27
274,23,29,0.690352141363,27,1
275,24,0,0.689598258833,6,14
276,0,24,0.689598258833,14,6
277,29,26,0.687709256774,1,28
278,26,29,0.687709256774,28,1
279,13,10,0.68619462128,3,20
280,10,13,0.68619462128,20,3
281,12,15,0.68619457427,2,23
282,15,12,0.68619457427,23,2
283,29,27,0.685815239831,1,29
284,27,29,0.685815239831,29,1
285,21,2,0.684676540902,5,16
286,2,21,0.684676540902,16,5
287,29,30,0.68467630533,1,30
288,30,29,0.68467630533,30,1
289,25,5,0.684296506375,7,13
290,5,25,0.684296506375,13,7
291,29,31,0.684296223533,1,31
292,31,29,0.684296223533,31,1
293,20,6,0.683535709058,4,18
294,6,20,0.683535709058,18,4
