n,strategy_name,inp_path,exists,size_bytes,node_section_exists,element_section_exists,node_entry_count,element_entry_count,step_final_cooling_exists,final_cooling_controls_visible,final_cooling_control_evidence,scan_sequence_complete,cool_sequence_complete,heat_flux_entries_exist,verdict,notes
16,N16_A01_raster_left_to_right,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A01_raster_left_to_right\J2D_N16_N16_A01_raster_left_to_right.inp,True,58877,True,True,511,432,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
16,N16_A02_odd_even_interlaced,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A02_odd_even_interlaced\J2D_N16_N16_A02_odd_even_interlaced.inp,True,58876,True,True,511,432,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
16,N16_A03_greedy_maximin_distance,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A03_greedy_maximin_distance\J2D_N16_N16_A03_greedy_maximin_distance.inp,True,58880,True,True,511,432,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
16,N16_A04_method_c_u2_first_engineering,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A04_method_c_u2_first_engineering\J2D_N16_N16_A04_method_c_u2_first_engineering.inp,True,58886,True,True,511,432,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
16,N16_A05_center_out,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A05_center_out\J2D_N16_N16_A05_center_out.inp,True,58867,True,True,511,432,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
16,N16_A06_edge_in_alternating,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A06_edge_in_alternating\J2D_N16_N16_A06_edge_in_alternating.inp,True,58876,True,True,511,432,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
16,N16_A07_regular_jump_coprime,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A07_regular_jump_coprime\J2D_N16_N16_A07_regular_jump_coprime.inp,True,58877,True,True,511,432,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
16,N16_A08_block_interleaved_quarters,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A08_block_interleaved_quarters\J2D_N16_N16_A08_block_interleaved_quarters.inp,True,58883,True,True,511,432,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
16,N16_A09_center_edge_alternating,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A09_center_edge_alternating\J2D_N16_N16_A09_center_edge_alternating.inp,True,58880,True,True,511,432,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
16,N16_A10_graph_pointer_policy_zero_shot_or_proxy_best,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A10_graph_pointer_policy_zero_shot_or_proxy_best\J2D_N16_N16_A10_graph_pointer_policy_zero_shot_or_proxy_best.inp,True,58901,True,True,511,432,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
