n,case,status,count_odb,count_sim,count_sta,count_dat,count_msg,count_lck,completed_text,problem_text,path
N12,N12_A01_raster_left_to_right,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A01_raster_left_to_right
N12,N12_A02_odd_even_interlaced,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A02_odd_even_interlaced
N12,N12_A03_greedy_maximin_distance,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A03_greedy_maximin_distance
N12,N12_A04_method_c_u2_first_engineering,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A04_method_c_u2_first_engineering
N12,N12_A05_center_out,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A05_center_out
N12,N12_A06_edge_in_alternating,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A06_edge_in_alternating
N12,N12_A07_regular_jump_coprime,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A07_regular_jump_coprime
N12,N12_A08_block_interleaved_quarters,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A08_block_interleaved_quarters
N12,N12_A09_center_edge_alternating,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A09_center_edge_alternating
N12,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A10_graph_pointer_policy_zero_shot_or_proxy_best
N12,N12_A11_graph_pointer_policy_diverse_01,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A11_graph_pointer_policy_diverse_01
N12,N12_A12_graph_pointer_policy_diverse_02,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A12_graph_pointer_policy_diverse_02
N12,N12_A13_graph_pointer_policy_anti_odd_even_novelty,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A13_graph_pointer_policy_anti_odd_even_novelty
N12,N12_A14_graph_pointer_policy_u2first_proxy,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A14_graph_pointer_policy_u2first_proxy
N12,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A15_graph_pointer_policy_balanced_dispersion_proxy
N16,N16_A01_raster_left_to_right,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A01_raster_left_to_right
N16,N16_A02_odd_even_interlaced,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A02_odd_even_interlaced
N16,N16_A03_greedy_maximin_distance,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A03_greedy_maximin_distance
N16,N16_A04_method_c_u2_first_engineering,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A04_method_c_u2_first_engineering
N16,N16_A05_center_out,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A05_center_out
N16,N16_A06_edge_in_alternating,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A06_edge_in_alternating
N16,N16_A07_regular_jump_coprime,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A07_regular_jump_coprime
N16,N16_A08_block_interleaved_quarters,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A08_block_interleaved_quarters
N16,N16_A09_center_edge_alternating,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A09_center_edge_alternating
N16,N16_A10_graph_pointer_policy_zero_shot_or_proxy_best,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A10_graph_pointer_policy_zero_shot_or_proxy_best
N16,N16_A11_graph_pointer_policy_diverse_01,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A11_graph_pointer_policy_diverse_01
N16,N16_A12_graph_pointer_policy_diverse_02,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A12_graph_pointer_policy_diverse_02
N16,N16_A13_graph_pointer_policy_anti_odd_even_novelty,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A13_graph_pointer_policy_anti_odd_even_novelty
N16,N16_A14_graph_pointer_policy_u2first_proxy,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A14_graph_pointer_policy_u2first_proxy
N16,N16_A15_graph_pointer_policy_balanced_dispersion_proxy,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A15_graph_pointer_policy_balanced_dispersion_proxy
N24,N24_A01_raster_left_to_right,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A01_raster_left_to_right
N24,N24_A02_odd_even_interlaced,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A02_odd_even_interlaced
N24,N24_A03_greedy_maximin_distance,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A03_greedy_maximin_distance
N24,N24_A04_method_c_u2_first_engineering,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A04_method_c_u2_first_engineering
N24,N24_A05_center_out,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A05_center_out
N24,N24_A06_edge_in_alternating,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A06_edge_in_alternating
N24,N24_A07_regular_jump_coprime,LOCK_PRESENT_POSSIBLY_RUNNING_OR_STALE,1,1,1,1,1,1,False,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A07_regular_jump_coprime
