category,path,source_root,suffix,size_bytes,modified_utc,matched_terms,match_location,notes
active_learning_surrogate_selection,docs\stage3\manuscript_rl_role_clarification_v01\CURRENT_PAPER_RL_POSITION_DECISION_MEMO.md,docs\stage3,.md,2645,2026-06-23T09:23:56.355309+00:00,active learning; active-learning; surrogate-guided,text_sample,text sample capped; no ODB/CAE/INP/JNL content opened
active_learning_surrogate_selection,docs\stage3\manuscript_rl_role_clarification_v01\MANUSCRIPT_SAFE_RL_WORDING_BANK.md,docs\stage3,.md,3288,2026-06-23T09:23:56.355309+00:00,active-learning; surrogate-guided,text_sample,text sample capped; no ODB/CAE/INP/JNL content opened
active_learning_surrogate_selection,docs\stage3\manuscript_rl_role_clarification_v01\METHODS_2_2_RL_FORMULATION_AND_POLICY_DIAGNOSTICS_NOTE.md,docs\stage3,.md,5351,2026-06-23T09:23:56.353276+00:00,active learning; surrogate-guided,text_sample,text sample capped; no ODB/CAE/INP/JNL content opened
active_learning_surrogate_selection,docs\stage3\manuscript_rl_role_clarification_v01\RL_ROLE_SEPARATION_TABLE.md,docs\stage3,.md,7257,2026-06-23T09:22:50.796950+00:00,active learning; active-learning; surrogate-guided,text_sample,text sample capped; no ODB/CAE/INP/JNL content opened
active_learning_surrogate_selection,docs\stage3\manuscript_rl_role_clarification_v01\STAGE3_MANUSCRIPT_RL_ROLE_CLARIFICATION_REPORT.md,docs\stage3,.md,5333,2026-06-23T09:24:40.782452+00:00,active learning; active-learning; surrogate-guided,text_sample,text sample capped; no ODB/CAE/INP/JNL content opened
active_learning_surrogate_selection,docs\stage3\manuscript_rl_role_clarification_v01\TABLE_2_3_POLICY_COMPONENTS_DRAFT.md,docs\stage3,.md,4158,2026-06-23T09:23:56.354289+00:00,active-learning; surrogate-guided,text_sample,text sample capped; no ODB/CAE/INP/JNL content opened
active_learning_surrogate_selection,docs\stage3\runs\run_13_batch20_surrogate_screened_teacher_handoff\RUN_13_BATCH20_SURROGATE_SCREENED_TEACHER_HANDOFF_REPORT.md,docs\stage3,.md,7404,2026-06-12T01:08:45.461778+00:00,active-learning,text_sample,text sample capped; no ODB/CAE/INP/JNL content opened
active_learning_surrogate_selection,docs\stage3\runs\run_22_combined108_surrogate_reward_model_validation_update\RUN_22_COMBINED108_SURROGATE_REWARD_MODEL_VALIDATION_UPDATE_REPORT.md,docs\stage3,.md,7102,2026-06-12T13:10:24.386474+00:00,active-learning,text_sample,text sample capped; no ODB/CAE/INP/JNL content opened
active_learning_surrogate_selection,docs\stage3\runs\run_23_combined108_active_learning_coverage_calibration_design\RUN_23_COMBINED108_ACTIVE_LEARNING_COVERAGE_CALIBRATION_DESIGN_REPORT.md,docs\stage3,.md,8683,2026-06-12T13:38:33.675753+00:00,active-learning,text_sample,text sample capped; no ODB/CAE/INP/JNL content opened
active_learning_surrogate_selection,docs\stage3\runs\run_24_run23_shortlist64_active_learning_handoff_package\RUN_24_RUN23_SHORTLIST64_ACTIVE_LEARNING_HANDOFF_PACKAGE_REPORT.md,docs\stage3,.md,15117,2026-06-12T13:53:06.674558+00:00,active-learning,text_sample,text sample capped; no ODB/CAE/INP/JNL content opened
active_learning_surrogate_selection,docs\stage3\runs\run_25_shortlist64_active_learning_cae_inp_generation\RUN_25_SHORTLIST64_ACTIVE_LEARNING_CAE_INP_GENERATION_REPORT.md,docs\stage3,.md,6965,2026-06-13T00:53:25.887391+00:00,active-learning,text_sample,text sample capped; no ODB/CAE/INP/JNL content opened
active_learning_surrogate_selection,docs\stage3\runs\run_26_combined108_gnn_graph_pointer_policy_candidate_generation\RUN_26_COMBINED108_GNN_GRAPH_POINTER_POLICY_CANDIDATE_GENERATION_REPORT.md,docs\stage3,.md,6230,2026-06-13T01:44:46.374433+00:00,active-learning,text_sample,text sample capped; no ODB/CAE/INP/JNL content opened
active_learning_surrogate_selection,docs\stage3\runs\run_28_shortlist64_teacher_metrics_ingestion_and_combined172_ranking\RUN_28_SHORTLIST64_TEACHER_METRICS_INGESTION_AND_COMBINED172_RANKING_REPORT.md,docs\stage3,.md,7555,2026-06-13T02:24:45.461780+00:00,active-learning,text_sample,text sample capped; no ODB/CAE/INP/JNL content opened
active_learning_surrogate_selection,docs\stage3\runs\run_57_calibrated_N24_N40_batch64_teacher_metrics_ingestion_and_combined392_ranking\RUN_57_CALIBRATED_N24_N40_BATCH64_TEACHER_METRICS_INGESTION_AND_COMBINED392_RANKING_REPORT.md,docs\stage3,.md,10582,2026-06-16T09:39:32.887547+00:00,active-learning,text_sample,text sample capped; no ODB/CAE/INP/JNL content opened
active_learning_surrogate_selection,docs\stage3\runs\run_58_combined392_model_update_N24_N40_evidence_freeze_and_N40_focused_candidate_generation\RUN_58_COMBINED392_MODEL_UPDATE_N24_N40_EVIDENCE_FREEZE_AND_N40_FOCUSED_CANDIDATE_GENERATION_REPORT.md,docs\stage3,.md,6421,2026-06-16T10:22:02.093936+00:00,active-learning,text_sample,text sample capped; no ODB/CAE/INP/JNL content opened
active_learning_surrogate_selection,docs\stage3\runs\run_63_combined432_model_update_N24_N40_evidence_freeze_and_N12_N16_recovery_candidate_generation\RUN_63_COMBINED432_MODEL_UPDATE_N24_N40_EVIDENCE_FREEZE_AND_N12_N16_RECOVERY_CANDIDATE_GENERATION_REPORT.md,docs\stage3,.md,7766,2026-06-17T00:33:30.205418+00:00,active-learning,text_sample,text sample capped; no ODB/CAE/INP/JNL content opened
active_learning_surrogate_selection,docs\stage3\STAGE3_RUN_INDEX.md,docs\stage3,.md,21333,2026-06-13T14:28:39.971250+00:00,active-learning,text_sample,text sample capped; no ODB/CAE/INP/JNL content opened
