file_path,relative_path,suffix,size_bytes,keyword_score,filename_keyword_hits,content_keyword_hits_sample
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v01\canonical_full_field_surface_gradient_teacher_labels_v01.csv,rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v01\canonical_full_field_surface_gradient_teacher_labels_v01.csv,.csv,31415,7,teacher;label;labels;canonical;rl;surface;gradient,
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v01\canonical_full_field_surface_gradient_teacher_labels_v01.json,rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v01\canonical_full_field_surface_gradient_teacher_labels_v01.json,.json,69130,7,teacher;label;labels;canonical;rl;surface;gradient,
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v02\canonical_full_field_surface_gradient_teacher_labels_v02.csv,rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v02\canonical_full_field_surface_gradient_teacher_labels_v02.csv,.csv,30775,7,teacher;label;labels;canonical;rl;surface;gradient,
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v02\canonical_full_field_surface_gradient_teacher_labels_v02.json,rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v02\canonical_full_field_surface_gradient_teacher_labels_v02.json,.json,68193,7,teacher;label;labels;canonical;rl;surface;gradient,
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,.csv,329115,7,teacher;label;labels;canonical;rl;surface;gradient,
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.json,rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.json,.json,696355,7,teacher;label;labels;canonical;rl;surface;gradient,
D:\Projects\RL-LAM-ScanOpt\LDED_2D_CAE_Framework\cae_models\post-odb\teacher_module_next8_UPB_v01\outputs\teacher_labels\next8_upb_component_metrics.csv,LDED_2D_CAE_Framework\cae_models\post-odb\teacher_module_next8_UPB_v01\outputs\teacher_labels\next8_upb_component_metrics.csv,.csv,10048,6,teacher;label;labels;metrics;rl;odb,
D:\Projects\RL-LAM-ScanOpt\LDED_2D_CAE_Framework\cae_models\post-odb\teacher_module_rl20_v01\outputs\teacher_labels\rl20_teacher_labels_final_only.csv,LDED_2D_CAE_Framework\cae_models\post-odb\teacher_module_rl20_v01\outputs\teacher_labels\rl20_teacher_labels_final_only.csv,.csv,31606,6,teacher;label;labels;rl;rl20;odb,
D:\Projects\RL-LAM-ScanOpt\LDED_2D_CAE_Framework\cae_models\post-odb\teacher_module_rl20_v01\outputs\teacher_labels\rl20_teacher_labels_final_only.json,LDED_2D_CAE_Framework\cae_models\post-odb\teacher_module_rl20_v01\outputs\teacher_labels\rl20_teacher_labels_final_only.json,.json,70777,6,teacher;label;labels;rl;rl20;odb,
D:\Projects\RL-LAM-ScanOpt\docs\stage2\README.md,docs\stage2\README.md,.md,1329,6,rl,32-track;teacher;label;gnn;graph;rl;odb;surface;surfacet
D:\Projects\RL-LAM-ScanOpt\docs\stage2\STAGE2_CLAIM_BOUNDARY.md,docs\stage2\STAGE2_CLAIM_BOUNDARY.md,.md,2239,6,rl,32-track;teacher;label;gnn;rl;surface;surfacet;gradient
D:\Projects\RL-LAM-ScanOpt\docs\stage2\STAGE2_EVIDENCE_MANIFEST.csv,docs\stage2\STAGE2_EVIDENCE_MANIFEST.csv,.csv,2396,6,rl,full32;teacher;label;labels;canonical;gnn;rl;odb;postprocess;surface;surfacet;gradient
D:\Projects\RL-LAM-ScanOpt\docs\stage2\STAGE2_FINAL_SUMMARY.md,docs\stage2\STAGE2_FINAL_SUMMARY.md,.md,5171,6,rl,32-track;teacher;label;labels;metrics;canonical;gnn;graph;rl;odb;postprocess;postprocessed;surface;surfacet;gradient
D:\Projects\RL-LAM-ScanOpt\docs\stage2\STAGE2_GITHUB_README_DRAFT.md,docs\stage2\STAGE2_GITHUB_README_DRAFT.md,.md,937,6,rl,teacher;gnn;rl;odb;surface;surfacet
D:\Projects\RL-LAM-ScanOpt\docs\stage2\STAGE2_KEY_RESULTS_TABLE.csv,docs\stage2\STAGE2_KEY_RESULTS_TABLE.csv,.csv,3980,6,rl,full32;teacher;label;labels;canonical;gnn;rl;odb;postprocess;postprocessed;surface;surfacet;gradient
D:\Projects\RL-LAM-ScanOpt\docs\stage2\STAGE2_LARGE_FILE_AUDIT.txt,docs\stage2\STAGE2_LARGE_FILE_AUDIT.txt,.txt,69331,6,rl,32track;teacher;gnn;rl;rlu2;rlu2m;rl20;odb
D:\Projects\RL-LAM-ScanOpt\docs\stage2\STAGE2_RUN_INDEX.csv,docs\stage2\STAGE2_RUN_INDEX.csv,.csv,4927,6,rl,full32;teacher;label;labels;metrics;canonical;gnn;rl;odb;postprocess;postprocessed;surface;surfacet;gradient
D:\Projects\RL-LAM-ScanOpt\docs\stage2\STAGE2_RUN_INDEX.md,docs\stage2\STAGE2_RUN_INDEX.md,.md,4971,6,rl,full32;teacher;label;labels;metrics;canonical;gnn;rl;odb;postprocess;postprocessed;surface;surfacet;gradient
D:\Projects\RL-LAM-ScanOpt\docs\stage2\STAGE2_STAGE3_HANDOFF.md,docs\stage2\STAGE2_STAGE3_HANDOFF.md,.md,1072,6,rl,teacher;graph;rl;surface;surfacet
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\README.md,rl-training\v01\README.md,.md,5950,6,rl,32track;teacher;label;labels;metrics;gnn;rl;odb
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\RLU2_conservative20_ODB_teacher_validation_v01\RLU2_conservative20_teacher_labels_v01.csv,rl-training\v01\outputs\RLU2_conservative20_ODB_teacher_validation_v01\RLU2_conservative20_teacher_labels_v01.csv,.csv,24354,6,teacher;label;labels;rl;rlu2;odb,
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\RLU2_medium40_focused_ODB_teacher_validation_v01\RLU2_medium40_focused_teacher_labels_v01.csv,rl-training\v01\outputs\RLU2_medium40_focused_ODB_teacher_validation_v01\RLU2_medium40_focused_teacher_labels_v01.csv,.csv,47608,6,teacher;label;labels;rl;rlu2;odb,
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\RL_component_v2_60_review_for_FEA_handoff_v01\run53_input_validation_summary.csv,rl-training\v01\outputs\RL_component_v2_60_review_for_FEA_handoff_v01\run53_input_validation_summary.csv,.csv,4033,6,rl,32-track;teacher;gnn;rl;rl20;odb;postprocess
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\RL_component_v2_conservative30_FEA_handoff_v01\RL_component_v2_conservative30_strategy_index.csv,rl-training\v01\outputs\RL_component_v2_conservative30_FEA_handoff_v01\RL_component_v2_conservative30_strategy_index.csv,.csv,32373,6,rl,32track;teacher;gnn;rl;rl20
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\RL_component_v2_conservative30_FEA_handoff_v01\RL_component_v2_conservative30_strategy_index.json,rl-training\v01\outputs\RL_component_v2_conservative30_FEA_handoff_v01\RL_component_v2_conservative30_strategy_index.json,.json,59186,6,rl,32track;teacher;gnn;rl;rl20
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\RL_component_v2_conservative30_FEA_handoff_v01\run54_input_validation_summary.csv,rl-training\v01\outputs\RL_component_v2_conservative30_FEA_handoff_v01\run54_input_validation_summary.csv,.csv,4341,6,rl,32track;32-track;teacher;gnn;rl;odb;postprocess
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\RL_component_v2_generate_60_candidates_v01\run52_input_validation_summary.csv,rl-training\v01\outputs\RL_component_v2_generate_60_candidates_v01\run52_input_validation_summary.csv,.csv,3695,6,rl,gnn;rl;rl20;odb;postprocess
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\S_primary_residual_stress_diagnostic40_FEA_handoff_v01\S_primary_diagnostic40_strategy_index.csv,rl-training\v01\outputs\S_primary_residual_stress_diagnostic40_FEA_handoff_v01\S_primary_diagnostic40_strategy_index.csv,.csv,45312,6,rl,32track;full32;teacher;metrics;rl;surface;gradient
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\S_primary_residual_stress_diagnostic40_FEA_handoff_v01\S_primary_diagnostic40_strategy_index.json,rl-training\v01\outputs\S_primary_residual_stress_diagnostic40_FEA_handoff_v01\S_primary_diagnostic40_strategy_index.json,.json,87237,6,rl,32track;full32;teacher;metrics;rl;surface;gradient
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\S_primary_residual_stress_diagnostic40_FEA_handoff_v01\S_primary_residual_stress_diagnostic40_FEA_handoff_v01_report.md,rl-training\v01\outputs\S_primary_residual_stress_diagnostic40_FEA_handoff_v01\S_primary_residual_stress_diagnostic40_FEA_handoff_v01_report.md,.md,2721,6,rl,32-track;teacher;metrics;rl;odb;postprocess;surface;gradient
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\S_primary_residual_stress_diagnostic40_v02\RLS_S_primary_candidate_archive_v02.csv,rl-training\v01\outputs\S_primary_residual_stress_diagnostic40_v02\RLS_S_primary_candidate_archive_v02.csv,.csv,611594,6,rl,full32;gnn;rl;rlu2;rlu2m;rl20;surface;gradient
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\S_primary_residual_stress_diagnostic40_v02\RLS_S_primary_candidate_review_cards_v02.md,rl-training\v01\outputs\S_primary_residual_stress_diagnostic40_v02\RLS_S_primary_candidate_review_cards_v02.md,.md,26012,6,rl,full32;teacher;rl;odb;surface;gradient
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\S_primary_residual_stress_diagnostic40_v02\RLS_S_primary_input_schema_audit_v02.csv,rl-training\v01\outputs\S_primary_residual_stress_diagnostic40_v02\RLS_S_primary_input_schema_audit_v02.csv,.csv,66712,6,rl,teacher;label;labels;metrics;gnn;rl;rlu2;rl20;odb
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\S_primary_residual_stress_diagnostic40_v02\RLS_S_primary_reference_proxy_comparison_v02.csv,rl-training\v01\outputs\S_primary_residual_stress_diagnostic40_v02\RLS_S_primary_reference_proxy_comparison_v02.csv,.csv,853,6,rl,teacher;label;gnn;rl;rlu2;rl20
