n,selected_by_bucket,expected_count,actual_count,within_tolerance
12,quality,11,11,True
12,diversity,8,8,True
12,efficiency,6,6,True
12,novelty,3,3,True
12,baseline_proximity,4,4,True
16,quality,11,11,True
16,diversity,8,8,True
16,efficiency,6,6,True
16,novelty,3,3,True
16,baseline_proximity,4,4,True
24,quality,28,28,True
24,diversity,20,20,True
24,efficiency,16,16,True
24,novelty,8,8,True
24,baseline_proximity,8,8,True
40,quality,28,28,True
40,diversity,20,20,True
40,efficiency,16,16,True
40,novelty,8,8,True
40,baseline_proximity,8,8,True
