strategy_name,n,order_hash,legal,candidate_source_ok,teacher_validated,abaqus_validated
PPOFINAL_N12_B001_quality,12,686c7b277df8777a,True,True,False,False
PPOFINAL_N12_B002_quality,12,cc123ba504b254bf,True,True,False,False
PPOFINAL_N12_B003_quality,12,27e98181a3a86fe0,True,True,False,False
PPOFINAL_N12_B004_quality,12,828a8c6213d9c794,True,True,False,False
PPOFINAL_N12_B005_quality,12,81db742fcb6d72ea,True,True,False,False
PPOFINAL_N12_B006_quality,12,53949277fd9b496e,True,True,False,False
PPOFINAL_N12_B007_quality,12,0640bd5f828e220b,True,True,False,False
PPOFINAL_N12_B008_quality,12,a98151af53853134,True,True,False,False
PPOFINAL_N12_B009_quality,12,4848e2f9defa673a,True,True,False,False
PPOFINAL_N12_B010_quality,12,2552cedaec804bdc,True,True,False,False
PPOFINAL_N12_B011_quality,12,472a17ad0a36f2df,True,True,False,False
PPOFINAL_N12_B012_diversity,12,481320830eebac7d,True,True,False,False
PPOFINAL_N12_B013_diversity,12,005af0c248f4d57d,True,True,False,False
PPOFINAL_N12_B014_diversity,12,9e1157dda1e792d5,True,True,False,False
PPOFINAL_N12_B015_diversity,12,237922b59aa4d7b3,True,True,False,False
PPOFINAL_N12_B016_diversity,12,f6a591afae75c006,True,True,False,False
PPOFINAL_N16_B017_quality,16,939f0390b5bbea6c,True,True,False,False
PPOFINAL_N16_B018_quality,16,68083be28a1aa0cd,True,True,False,False
PPOFINAL_N16_B019_quality,16,77a09d02d881a290,True,True,False,False
PPOFINAL_N16_B020_quality,16,d3f9b9321fe2cf06,True,True,False,False
PPOFINAL_N16_B021_quality,16,0a75862e3605280c,True,True,False,False
PPOFINAL_N16_B022_quality,16,f5ea60be6ba4eb8a,True,True,False,False
PPOFINAL_N16_B023_quality,16,112c7158ed9beae3,True,True,False,False
PPOFINAL_N16_B024_quality,16,33b8727ceadf88f5,True,True,False,False
PPOFINAL_N16_B025_quality,16,ac75b5c13ac7b4df,True,True,False,False
