strategy_name,n,order_hash,duplicate_within_selected,duplicate_vs_combined552_v01_v02K2_v03,order_compact
PPOFINAL_N12_B001_quality,12,686c7b277df8777a,False,False,"11,1,3,5,9,7,0,2,4,6,8,10"
PPOFINAL_N12_B002_quality,12,cc123ba504b254bf,False,False,"11,1,3,7,9,5,0,4,2,6,8,10"
PPOFINAL_N12_B003_quality,12,27e98181a3a86fe0,False,False,"11,1,3,5,7,9,0,2,4,6,8,10"
PPOFINAL_N12_B004_quality,12,828a8c6213d9c794,False,False,"11,3,1,9,7,5,0,4,2,6,8,10"
PPOFINAL_N12_B005_quality,12,81db742fcb6d72ea,False,False,"11,3,1,5,7,9,0,2,4,6,8,10"
PPOFINAL_N12_B006_quality,12,53949277fd9b496e,False,False,"3,11,1,9,7,5,0,2,4,6,8,10"
PPOFINAL_N12_B007_quality,12,0640bd5f828e220b,False,False,"1,11,3,9,7,5,0,2,4,6,8,10"
PPOFINAL_N12_B008_quality,12,a98151af53853134,False,False,"11,1,3,9,7,5,0,2,4,8,6,10"
PPOFINAL_N12_B009_quality,12,4848e2f9defa673a,False,False,"11,3,1,9,7,5,0,2,4,6,10,8"
PPOFINAL_N12_B010_quality,12,2552cedaec804bdc,False,False,"11,1,3,9,7,5,0,2,6,4,8,10"
PPOFINAL_N12_B011_quality,12,472a17ad0a36f2df,False,False,"11,1,3,9,5,7,0,2,4,6,8,10"
PPOFINAL_N12_B012_diversity,12,481320830eebac7d,False,False,"11,1,3,7,9,5,4,0,2,6,8,10"
PPOFINAL_N12_B013_diversity,12,005af0c248f4d57d,False,False,"11,3,1,7,5,9,0,2,4,8,6,10"
PPOFINAL_N12_B014_diversity,12,9e1157dda1e792d5,False,False,"1,11,3,7,9,5,0,2,4,6,8,10"
PPOFINAL_N12_B015_diversity,12,237922b59aa4d7b3,False,False,"11,1,3,7,9,4,0,2,5,6,8,10"
PPOFINAL_N12_B016_diversity,12,f6a591afae75c006,False,False,"11,3,1,9,7,5,4,0,2,6,8,10"
PPOFINAL_N16_B017_quality,16,939f0390b5bbea6c,False,False,"11,1,3,15,13,9,7,5,0,2,4,6,8,12,14,10"
PPOFINAL_N16_B018_quality,16,68083be28a1aa0cd,False,False,"11,1,3,13,15,9,7,5,0,2,4,6,8,10,14,12"
PPOFINAL_N16_B019_quality,16,77a09d02d881a290,False,False,"11,15,3,1,13,9,7,5,0,2,4,6,8,10,12,14"
PPOFINAL_N16_B020_quality,16,d3f9b9321fe2cf06,False,False,"11,1,3,15,13,9,7,5,4,0,2,6,8,10,14,12"
PPOFINAL_N16_B021_quality,16,0a75862e3605280c,False,False,"11,3,1,15,13,9,7,5,0,2,4,6,10,8,12,14"
PPOFINAL_N16_B022_quality,16,f5ea60be6ba4eb8a,False,False,"11,3,1,15,13,9,7,5,0,2,4,6,8,12,10,14"
PPOFINAL_N16_B023_quality,16,112c7158ed9beae3,False,False,"11,3,1,15,13,9,7,5,0,2,4,6,8,10,12,14"
PPOFINAL_N16_B024_quality,16,33b8727ceadf88f5,False,False,"11,1,3,13,15,7,9,5,0,2,4,6,8,10,12,14"
PPOFINAL_N16_B025_quality,16,ac75b5c13ac7b4df,False,False,"11,3,1,13,15,9,7,5,0,2,4,6,8,10,12,14"
PPOFINAL_N16_B026_quality,16,ba1ed7eee00034ea,False,False,"11,1,3,15,13,5,7,9,0,2,4,6,8,10,12,14"
PPOFINAL_N16_B027_quality,16,a1735e9fea830cda,False,False,"11,3,1,15,13,7,9,5,0,2,4,6,8,10,12,14"
PPOFINAL_N16_B028_diversity,16,7b2ba7418d0d9ac8,False,False,"11,1,3,15,13,9,7,5,6,0,2,4,8,10,12,14"
PPOFINAL_N16_B029_diversity,16,cac6c09a30024fea,False,False,"11,3,1,15,13,9,7,5,4,0,2,6,8,10,12,14"
PPOFINAL_N16_B030_diversity,16,d3449887e51567b6,False,False,"11,3,1,15,13,7,5,9,0,2,4,6,8,10,12,14"
PPOFINAL_N16_B031_diversity,16,2e7ec5f10475f5b7,False,False,"11,1,3,15,13,5,9,7,0,2,4,6,8,10,12,14"
PPOFINAL_N16_B032_diversity,16,f785e57b5b7c8171,False,False,"11,15,1,3,9,13,7,5,0,2,4,6,8,10,12,14"
PPOFINAL_N12_B033_diversity,12,3ae31ba5ab2dcb44,False,False,"11,1,3,9,7,5,0,6,2,4,8,10"
PPOFINAL_N12_B034_diversity,12,428e5ef4ec1af069,False,False,"11,1,3,7,9,0,2,4,5,6,10,8"
PPOFINAL_N12_B035_diversity,12,9d16225c8842df9d,False,False,"11,3,1,9,5,7,0,2,4,6,8,10"
PPOFINAL_N12_B036_efficiency,12,f73b4f03f3ad3bc4,False,False,"11,3,1,7,9,4,0,2,5,6,8,10"
PPOFINAL_N12_B037_efficiency,12,b8d668f55850ae91,False,False,"11,3,1,9,7,5,2,0,4,6,8,10"
PPOFINAL_N12_B038_efficiency,12,0281cd940a2fe6d9,False,False,"11,1,3,9,7,5,2,0,4,6,8,10"
PPOFINAL_N12_B039_efficiency,12,caf58a70972ef4f4,False,False,"11,1,3,9,7,6,5,0,2,4,8,10"
PPOFINAL_N12_B040_efficiency,12,60da2971c89ac202,False,False,"11,1,3,9,8,7,5,0,2,4,6,10"
PPOFINAL_N12_B041_efficiency,12,42cd3f72e6aaa2fc,False,False,"11,3,1,9,7,0,2,4,5,6,8,10"
PPOFINAL_N12_B042_novelty,12,5623c97f5dcbd1a3,False,False,"11,3,1,7,9,0,2,4,5,6,8,10"
PPOFINAL_N12_B043_novelty,12,667cc0b2be39f4b7,False,False,"11,1,3,9,7,0,2,4,5,6,8,10"
PPOFINAL_N12_B044_novelty,12,7490c177c3657ed7,False,False,"11,1,3,9,5,0,7,4,2,6,8,10"
PPOFINAL_N12_B045_baseline_proximity,12,d9d48697cbdeabff,False,False,"11,3,1,7,5,9,0,2,4,6,8,10"
PPOFINAL_N12_B046_baseline_proximity,12,5f7d2403c1cdd71e,False,False,"3,11,1,7,9,5,0,2,4,6,8,10"
PPOFINAL_N12_B047_baseline_proximity,12,a78982ae1aba990c,False,False,"11,1,3,9,7,5,0,2,4,10,6,8"
PPOFINAL_N12_B048_baseline_proximity,12,81374eb04629101e,False,False,"11,1,3,7,9,5,0,2,6,4,8,10"
PPOFINAL_N16_B049_diversity,16,073d57ec3eee3249,False,False,"11,3,1,15,9,7,13,5,0,2,4,6,8,10,12,14"
PPOFINAL_N16_B050_diversity,16,58eb1df23533c9da,False,False,"11,3,15,1,9,13,7,5,0,2,4,6,8,10,12,14"
PPOFINAL_N16_B051_diversity,16,aeaf0c90fb86acd2,False,False,"11,3,1,15,7,13,9,5,0,2,4,6,8,10,12,14"
PPOFINAL_N16_B052_efficiency,16,436b3a81f5c90541,False,False,"11,1,3,15,13,9,7,5,4,0,2,6,8,10,12,14"
PPOFINAL_N16_B053_efficiency,16,8515e741ab7b471c,False,False,"11,1,3,15,13,9,7,6,5,0,2,4,8,10,12,14"
PPOFINAL_N16_B054_efficiency,16,6721460107841a59,False,False,"11,1,3,15,13,9,7,0,2,4,5,6,8,10,12,14"
PPOFINAL_N16_B055_efficiency,16,d37150b5de1daa27,False,False,"11,1,3,15,13,9,7,8,5,0,2,4,6,10,12,14"
PPOFINAL_N16_B056_efficiency,16,bc8f954b3d0328f0,False,False,"11,3,1,15,13,9,7,6,5,0,2,4,8,10,12,14"
PPOFINAL_N16_B057_efficiency,16,f3e4673ddd5dcaac,False,False,"11,3,1,15,13,9,7,0,2,4,5,6,8,10,12,14"
PPOFINAL_N16_B058_novelty,16,35c1c503a5e47f3c,False,False,"11,1,3,15,13,9,14,7,6,5,0,2,4,8,10,12"
PPOFINAL_N16_B059_novelty,16,6f8308ffda1ff9c8,False,False,"11,3,1,15,13,9,7,5,0,2,6,4,8,10,14,12"
PPOFINAL_N16_B060_novelty,16,80e5e028a54bbd32,False,False,"11,3,1,15,9,13,7,5,0,2,4,6,8,12,14,10"
PPOFINAL_N16_B061_baseline_proximity,16,67b6fe9d93abd00e,False,False,"11,3,1,15,9,13,7,5,0,2,4,6,8,10,12,14"
PPOFINAL_N16_B062_baseline_proximity,16,2dad3faa70568fa2,False,False,"11,3,1,15,13,9,5,7,0,2,4,6,8,10,12,14"
PPOFINAL_N16_B063_baseline_proximity,16,7ce60c27eaac7bb5,False,False,"11,3,1,15,7,9,13,5,0,2,4,6,8,10,12,14"
PPOFINAL_N16_B064_baseline_proximity,16,8bf65024825844af,False,False,"11,15,1,3,13,9,7,5,0,2,4,6,8,10,12,14"
PPOFINAL_N24_B065_quality,24,b2bcb64cd12be13a,False,False,"11,1,3,15,21,23,19,17,13,22,9,7,5,0,2,6,8,4,10,16,12,18,20,14"
PPOFINAL_N24_B066_quality,24,948cc10f6aedd876,False,False,"11,1,3,15,23,21,19,17,7,9,13,22,5,0,2,6,8,4,10,12,16,14,18,20"
PPOFINAL_N24_B067_quality,24,2ec7fbcae45178b9,False,False,"11,1,3,15,23,21,17,19,9,22,13,7,5,0,2,8,6,4,10,12,16,18,20,14"
PPOFINAL_N24_B068_quality,24,42bf14539f680e0b,False,False,"11,1,3,15,23,21,19,17,13,22,9,7,5,0,2,6,4,8,10,16,14,12,20,18"
PPOFINAL_N24_B069_quality,24,25cc194c216f9b7e,False,False,"11,1,3,15,23,21,19,17,9,13,22,7,5,0,2,6,8,4,10,16,12,18,20,14"
PPOFINAL_N24_B070_quality,24,48945b606a550e66,False,False,"11,3,1,15,23,21,19,17,9,13,20,7,5,0,2,4,6,8,10,16,18,22,14,12"
PPOFINAL_N24_B071_quality,24,7be060ae29bbe24c,False,False,"11,3,1,15,23,21,19,17,13,9,7,5,0,2,6,8,10,4,16,18,20,22,14,12"
PPOFINAL_N24_B072_quality,24,101deebc46de29ff,False,False,"11,3,1,15,23,21,19,17,13,9,7,5,0,2,6,4,8,10,16,18,22,20,14,12"
PPOFINAL_N24_B073_quality,24,4e0d0ddb35f92839,False,False,"11,1,3,15,23,21,19,17,13,9,7,5,0,2,6,10,8,4,16,18,20,22,14,12"
PPOFINAL_N24_B074_quality,24,9b7b033e3365b03f,False,False,"11,1,3,15,23,21,19,17,13,9,7,5,0,2,6,8,4,10,12,16,20,22,18,14"
PPOFINAL_N24_B075_quality,24,41c9546f5a8feab2,False,False,"11,3,1,15,23,21,19,17,13,9,7,5,0,2,6,4,8,10,12,16,18,20,22,14"
PPOFINAL_N24_B076_quality,24,0c8fbb88f08d90f6,False,False,"11,1,3,15,23,21,19,17,13,9,7,5,0,2,6,8,10,4,12,16,18,20,22,14"
PPOFINAL_N24_B077_quality,24,9ffa015ff59a2274,False,False,"11,3,1,15,21,23,19,17,13,9,7,5,0,2,6,4,8,10,12,16,18,20,22,14"
PPOFINAL_N24_B078_quality,24,2cc0a9bd95d01d23,False,False,"11,3,1,15,23,21,19,17,13,9,7,5,0,2,6,8,4,10,12,16,18,20,22,14"
PPOFINAL_N24_B079_quality,24,f10bc854b7e82a12,False,False,"11,1,3,15,21,23,19,17,13,9,7,5,0,2,6,8,10,4,12,16,20,22,18,14"
PPOFINAL_N24_B080_quality,24,927950fa6f38aacf,False,False,"11,1,3,15,23,21,19,17,13,9,7,5,0,2,6,8,10,4,16,22,20,18,14,12"
PPOFINAL_N24_B081_quality,24,029ad934bef28762,False,False,"11,1,3,15,21,23,19,17,13,9,7,5,0,2,6,8,4,10,12,16,18,20,22,14"
PPOFINAL_N24_B082_quality,24,43ff7b7dbaf8d62c,False,False,"11,1,3,15,21,23,19,17,13,9,7,5,0,2,6,4,8,10,12,18,20,22,16,14"
PPOFINAL_N24_B083_quality,24,11ec01af1f9e1e53,False,False,"11,1,3,15,23,21,19,17,13,9,7,5,0,2,6,4,8,10,16,18,20,22,14,12"
PPOFINAL_N24_B084_quality,24,31116256a3c275ab,False,False,"11,1,3,15,23,21,19,17,13,9,7,5,0,2,6,4,8,10,12,16,18,20,22,14"
PPOFINAL_N24_B085_quality,24,0d8284db8e158441,False,False,"11,3,1,15,23,21,19,17,13,9,7,5,0,2,6,8,4,10,16,18,20,22,14,12"
PPOFINAL_N24_B086_quality,24,7000ed00a11bf958,False,False,"11,1,3,15,21,23,19,17,13,9,7,5,0,2,6,8,4,10,12,16,20,22,18,14"
PPOFINAL_N24_B087_quality,24,325923efbeb8b0da,False,False,"11,1,3,15,23,21,19,13,17,20,9,7,5,0,2,4,6,8,10,16,18,22,14,12"
