final_expansion_batch,strategy_name,n,expected_case_dir,expected_job_name,expected_INP_path_placeholder,order_hash,selected_by_bucket,candidate_source,teacher_validated,abaqus_validated
final_expansion_batch01,PPOFINAL_N12_B001_quality,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B001_quality,J2D_PPOFINAL_N12_B001_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B001_quality\J2D_PPOFINAL_N12_B001_quality.inp,686c7b277df8777a,quality,PPO_final_expansion_checkpoint_inference,False,False
final_expansion_batch01,PPOFINAL_N12_B002_quality,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B002_quality,J2D_PPOFINAL_N12_B002_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B002_quality\J2D_PPOFINAL_N12_B002_quality.inp,cc123ba504b254bf,quality,PPO_final_expansion_checkpoint_inference,False,False
final_expansion_batch01,PPOFINAL_N12_B003_quality,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B003_quality,J2D_PPOFINAL_N12_B003_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B003_quality\J2D_PPOFINAL_N12_B003_quality.inp,27e98181a3a86fe0,quality,PPO_final_expansion_checkpoint_inference,False,False
final_expansion_batch01,PPOFINAL_N12_B004_quality,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B004_quality,J2D_PPOFINAL_N12_B004_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B004_quality\J2D_PPOFINAL_N12_B004_quality.inp,828a8c6213d9c794,quality,PPO_final_expansion_checkpoint_inference,False,False
final_expansion_batch01,PPOFINAL_N12_B005_quality,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B005_quality,J2D_PPOFINAL_N12_B005_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B005_quality\J2D_PPOFINAL_N12_B005_quality.inp,81db742fcb6d72ea,quality,PPO_final_expansion_checkpoint_inference,False,False
final_expansion_batch01,PPOFINAL_N12_B006_quality,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B006_quality,J2D_PPOFINAL_N12_B006_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B006_quality\J2D_PPOFINAL_N12_B006_quality.inp,53949277fd9b496e,quality,PPO_final_expansion_checkpoint_inference,False,False
final_expansion_batch01,PPOFINAL_N12_B007_quality,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B007_quality,J2D_PPOFINAL_N12_B007_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B007_quality\J2D_PPOFINAL_N12_B007_quality.inp,0640bd5f828e220b,quality,PPO_final_expansion_checkpoint_inference,False,False
final_expansion_batch01,PPOFINAL_N12_B008_quality,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B008_quality,J2D_PPOFINAL_N12_B008_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B008_quality\J2D_PPOFINAL_N12_B008_quality.inp,a98151af53853134,quality,PPO_final_expansion_checkpoint_inference,False,False
final_expansion_batch01,PPOFINAL_N12_B009_quality,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B009_quality,J2D_PPOFINAL_N12_B009_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B009_quality\J2D_PPOFINAL_N12_B009_quality.inp,4848e2f9defa673a,quality,PPO_final_expansion_checkpoint_inference,False,False
final_expansion_batch01,PPOFINAL_N12_B010_quality,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B010_quality,J2D_PPOFINAL_N12_B010_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B010_quality\J2D_PPOFINAL_N12_B010_quality.inp,2552cedaec804bdc,quality,PPO_final_expansion_checkpoint_inference,False,False
