strategy_name,final_expansion_batch,global_candidate_index,n,order_json,order_compact,order_hash,ppo_checkpoint,ppo_version_source,ppo_generation_mode,seed,selected_by_bucket,predicted_reward_available,predicted_quality_score,mean_abs_jump,max_abs_jump,long_jump_count,adjacent_fraction,total_travel_proxy,jump_variance,local_continuity_score,path_complexity_score,novelty_distance_score,min_hamming_to_combined552_sameN,min_hamming_to_conventional_baseline,nearest_conventional_baseline,candidate_source,teacher_validated,abaqus_validated,notes,stageT_pool_source,source_row_index,parity_switch_fraction,early_center_bias,early_edge_bias,duplicate_vs_combined552,duplicate_vs_ppo_v01,duplicate_vs_ppo_v02K2,duplicate_vs_ppo_v03,selected_already
PPOFINAL_N12_B033_diversity,final_expansion_batch02,33,12,"[11, 1, 3, 9, 7, 5, 0, 6, 2, 4, 8, 10]","11,1,3,9,7,5,0,6,2,4,8,10",3ae31ba5ab2dcb44,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,203809418,diversity,True,0.6784860971334526,4.090909090909091,10.0,6,0.0,45.0,5.900826446280991,-0.371900826446281,0.3896762516221569,5.0,5,9.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,3128,0.0909090909090909,0.2424242424242423,0.7575757575757576,False,False,False,False,False
PPOFINAL_N12_B034_diversity,final_expansion_batch02,34,12,"[11, 1, 3, 7, 9, 0, 2, 4, 5, 6, 10, 8]","11,1,3,7,9,0,2,4,5,6,10,8",428e5ef4ec1af069,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,203809590,diversity,True,0.5749651614139011,3.5454545454545454,10.0,4,0.18181818181818182,39.0,8.793388429752067,-0.14049586776859502,0.368127177105389,6.0,6,8.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,3300,0.2727272727272727,0.24242424242424232,0.7575757575757576,False,False,False,False,False
PPOFINAL_N12_B035_diversity,final_expansion_batch02,35,12,"[11, 3, 1, 9, 5, 7, 0, 2, 4, 6, 8, 10]","11,3,1,9,5,7,0,2,4,6,8,10",9d16225c8842df9d,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21460647,diversity,True,0.7350055444925802,3.727272727272727,8.0,4,0.0,41.0,6.198347107438016,-0.3388429752066115,0.3618320697584409,2.0,2,5.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,40,0.0909090909090909,0.7575757575757577,0.2424242424242424,False,False,False,False,False
PPOFINAL_N12_B036_efficiency,final_expansion_batch02,36,12,"[11, 3, 1, 7, 9, 4, 0, 2, 5, 6, 8, 10]","11,3,1,7,9,4,0,2,5,6,8,10",f73b4f03f3ad3bc4,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,203808790,efficiency,True,0.6799541525506227,3.363636363636364,8.0,4,0.0909090909090909,37.0,4.231404958677687,-0.2148760330578512,0.3152733192177219,4.0,4,4.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,2500,0.2727272727272727,0.2424242424242423,0.7575757575757576,False,False,False,False,False
PPOFINAL_N12_B037_efficiency,final_expansion_batch02,37,12,"[11, 3, 1, 9, 7, 5, 2, 0, 4, 6, 8, 10]","11,3,1,9,7,5,2,0,4,6,8,10",b8d668f55850ae91,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,203808205,efficiency,True,0.6445933750336242,3.363636363636364,8.0,3,0.0,37.0,5.140495867768596,-0.3057851239669422,0.3227864672267377,5.0,5,7.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,1915,0.0909090909090909,0.2424242424242423,0.7575757575757576,False,False,False,False,False
PPOFINAL_N12_B038_efficiency,final_expansion_batch02,38,12,"[11, 1, 3, 9, 7, 5, 2, 0, 4, 6, 8, 10]","11,1,3,9,7,5,2,0,4,6,8,10",0281cd940a2fe6d9,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,203807230,efficiency,True,0.6702023966013158,3.363636363636364,10.0,3,0.0,37.0,5.867768595041324,-0.3057851239669422,0.3287969856339503,4.0,4,8.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,940,0.0909090909090909,0.2424242424242423,0.7575757575757576,False,False,False,False,False
PPOFINAL_N12_B039_efficiency,final_expansion_batch02,39,12,"[11, 1, 3, 9, 7, 6, 5, 0, 2, 4, 8, 10]","11,1,3,9,7,6,5,0,2,4,8,10",caf58a70972ef4f4,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,203807741,efficiency,True,0.4780140278316179,3.363636363636364,10.0,4,0.1818181818181818,37.0,6.776859504132233,-0.1239669421487603,0.3363101336429661,7.0,7,10.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,1451,0.2727272727272727,0.2424242424242423,0.7575757575757576,False,False,False,False,False
PPOFINAL_N12_B040_efficiency,final_expansion_batch02,40,12,"[11, 1, 3, 9, 8, 7, 5, 0, 2, 4, 6, 10]","11,1,3,9,8,7,5,0,2,4,6,10",60da2971c89ac202,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,203806913,efficiency,True,0.4170408023206977,3.363636363636364,10.0,4,0.1818181818181818,37.0,6.776859504132233,-0.1239669421487603,0.3363101336429661,8.0,8,11.0,raster,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,623,0.2727272727272727,0.2424242424242423,0.7575757575757576,False,False,False,False,False
PPOFINAL_N12_B041_efficiency,final_expansion_batch02,41,12,"[11, 3, 1, 9, 7, 0, 2, 4, 5, 6, 8, 10]","11,3,1,9,7,0,2,4,5,6,8,10",42cd3f72e6aaa2fc,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,203808753,efficiency,True,0.6506879289201846,3.363636363636364,8.0,3,0.1818181818181818,37.0,7.140495867768595,-0.1239669421487603,0.3393153928465724,6.0,6,8.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,2463,0.2727272727272727,0.2424242424242423,0.7575757575757576,False,False,False,False,False
PPOFINAL_N12_B042_novelty,final_expansion_batch02,42,12,"[11, 3, 1, 7, 9, 0, 2, 4, 5, 6, 8, 10]","11,3,1,7,9,0,2,4,5,6,8,10",5623c97f5dcbd1a3,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,203806491,novelty,True,0.6585155488327996,3.363636363636364,9.0,3,0.1818181818181818,37.0,7.5041322314049586,-0.1239669421487603,0.3423206520501787,6.0,6,6.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,201,0.2727272727272727,0.2424242424242423,0.7575757575757576,False,False,False,False,False
PPOFINAL_N12_B043_novelty,final_expansion_batch02,43,12,"[11, 1, 3, 9, 7, 0, 2, 4, 5, 6, 8, 10]","11,1,3,9,7,0,2,4,5,6,8,10",667cc0b2be39f4b7,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21460759,novelty,True,0.6398432542189428,3.363636363636364,10.0,3,0.1818181818181818,37.0,7.867768595041323,-0.1239669421487603,0.345325911253785,6.0,6,9.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,152,0.2727272727272727,0.7575757575757577,0.2424242424242424,False,False,False,False,False
PPOFINAL_N12_B044_novelty,final_expansion_batch02,44,12,"[11, 1, 3, 9, 5, 0, 7, 4, 2, 6, 8, 10]","11,1,3,9,5,0,7,4,2,6,8,10",7490c177c3657ed7,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21461093,novelty,True,0.5530251329330956,4.2727272727272725,10.0,6,0.0,47.0,6.016528925619835,-0.3884297520661157,0.40578398561118323,6.0,6,9.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,existing_v01_rollout_pool,486,0.2727272727272727,0.7575757575757577,0.2424242424242424,False,False,False,False,False
