strategy_name,final_expansion_batch,global_candidate_index,n,order_json,order_compact,order_hash,ppo_checkpoint,ppo_version_source,ppo_generation_mode,seed,selected_by_bucket,predicted_reward_available,predicted_quality_score,mean_abs_jump,max_abs_jump,long_jump_count,adjacent_fraction,total_travel_proxy,jump_variance,local_continuity_score,path_complexity_score,novelty_distance_score,min_hamming_to_combined552_sameN,min_hamming_to_conventional_baseline,nearest_conventional_baseline,candidate_source,teacher_validated,abaqus_validated,notes,stageT_pool_source,source_row_index,parity_switch_fraction,early_center_bias,early_edge_bias,duplicate_vs_combined552,duplicate_vs_ppo_v01,duplicate_vs_ppo_v02K2,duplicate_vs_ppo_v03,selected_already
PPOFINAL_N24_B097_diversity,final_expansion_batch04,97,24,"[11, 1, 3, 15, 19, 23, 21, 17, 13, 9, 20, 22, 7, 5, 0, 2, 4, 6, 8, 10, 18, 16, 14, 12]","11,1,3,15,19,23,21,17,13,9,20,22,7,5,0,2,4,6,8,10,18,16,14,12",99a6db3ac9677143,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,22660780,diversity,True,0.7844886314181224,4.565217391304348,15.0,5,0.0,105.0,14.24574669187145,-0.1984877126654064,0.2171469691717797,17.0,17,22.0,raster,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,1229,0.1304347826086956,0.6086956521739131,0.3913043478260869,False,False,False,False,False
PPOFINAL_N24_B098_diversity,final_expansion_batch04,98,24,"[11, 3, 15, 1, 19, 23, 21, 13, 17, 7, 5, 0, 2, 9, 6, 4, 8, 10, 16, 20, 18, 22, 14, 12]","11,3,15,1,19,23,21,13,17,7,5,0,2,9,6,4,8,10,16,20,18,22,14,12",adda1a02ce4bda82,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,22661011,diversity,True,0.691322256746613,5.782608695652174,18.0,7,0.0,133.0,17.996219281663514,-0.2514177693761815,0.2749613470982927,18.0,18,20.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,1460,0.1304347826086956,0.6086956521739131,0.3913043478260869,False,False,False,False,False
PPOFINAL_N24_B099_diversity,final_expansion_batch04,99,24,"[11, 1, 3, 13, 15, 23, 21, 19, 9, 17, 7, 0, 2, 5, 6, 8, 4, 10, 16, 22, 20, 18, 12, 14]","11,1,3,13,15,23,21,19,9,17,7,0,2,5,6,8,4,10,16,22,20,18,12,14",2b4e7e006d7830bb,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,22661067,diversity,True,0.7378431833795269,4.913043478260869,10.0,6,0.0434782608695652,113.0,9.9054820415879,-0.1701323251417769,0.223435063720708,18.0,18,22.0,raster,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,1516,0.1304347826086956,0.5217391304347826,0.4782608695652173,False,False,False,False,False
PPOFINAL_N24_B100_diversity,final_expansion_batch04,100,24,"[11, 3, 1, 21, 15, 23, 19, 17, 13, 22, 5, 9, 7, 0, 2, 6, 4, 8, 10, 12, 16, 18, 14, 20]","11,3,1,21,15,23,19,17,13,22,5,9,7,0,2,6,4,8,10,12,16,18,14,20",b2acf4ae2f80ef3a,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,22660632,diversity,True,0.7007263123422302,5.434782608695652,20.0,5,0.0,125.0,21.028355387523632,-0.2362948960302457,0.2662004197621744,16.0,16,20.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,1081,0.1304347826086956,0.6376811594202899,0.3623188405797101,False,False,False,False,False
PPOFINAL_N24_B101_diversity,final_expansion_batch04,101,24,"[11, 3, 1, 21, 15, 23, 13, 19, 9, 17, 7, 5, 0, 2, 4, 6, 8, 10, 16, 12, 14, 18, 20, 22]","11,3,1,21,15,23,13,19,9,17,7,5,0,2,4,6,8,10,16,12,14,18,20,22",b8705a9eed1632a7,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,22661121,diversity,True,0.6814604153720092,5.434782608695652,20.0,7,0.0,125.0,18.158790170132328,-0.2362948960302457,0.2607759108446106,14.0,14,13.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,1570,0.0434782608695652,0.6376811594202899,0.3623188405797101,False,False,False,False,False
PPOFINAL_N24_B102_diversity,final_expansion_batch04,102,24,"[11, 1, 15, 3, 23, 21, 19, 13, 17, 7, 9, 0, 2, 5, 6, 8, 4, 10, 16, 12, 22, 20, 18, 14]","11,1,15,3,23,21,19,13,17,7,9,0,2,5,6,8,4,10,16,12,22,20,18,14",412dd61950d59a02,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,22660793,diversity,True,0.6547507810600612,5.956521739130435,20.0,7,0.0434782608695652,137.0,22.389413988657843,-0.2155009451795841,0.2905124398021257,19.0,19,22.0,raster,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,1242,0.1304347826086956,0.6376811594202899,0.3623188405797101,False,False,False,False,False
PPOFINAL_N24_B103_diversity,final_expansion_batch04,103,24,"[11, 1, 3, 21, 15, 23, 17, 19, 7, 13, 9, 5, 0, 2, 6, 4, 8, 10, 18, 20, 22, 16, 12, 14]","11,1,3,21,15,23,17,19,7,13,9,5,0,2,6,4,8,10,18,20,22,16,12,14",ff1f2f444fc1385f,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,22660983,diversity,True,0.7993412661338163,5.260869565217392,18.0,5,0.0,121.0,14.8015122873346,-0.2287334593572779,0.2471830730069337,18.0,18,20.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,1432,0.0434782608695652,0.6376811594202899,0.3623188405797101,False,False,False,False,False
PPOFINAL_N24_B104_diversity,final_expansion_batch04,104,24,"[11, 3, 1, 15, 13, 23, 19, 21, 9, 17, 20, 7, 5, 0, 6, 2, 4, 8, 10, 12, 16, 18, 22, 14]","11,3,1,15,13,23,19,21,9,17,20,7,5,0,6,2,4,8,10,12,16,18,22,14",eec9d9d1d399e2e9,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,22660684,diversity,True,0.7931655054762544,5.3478260869565215,14.0,7,0.0,123.0,14.139886578449904,-0.2325141776937618,0.249555551187996,18.0,18,21.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,1133,0.1304347826086956,0.5217391304347826,0.4782608695652173,False,False,False,False,False
PPOFINAL_N24_B105_diversity,final_expansion_batch04,105,24,"[11, 3, 1, 15, 23, 21, 17, 19, 5, 13, 9, 7, 0, 2, 6, 8, 16, 4, 10, 12, 22, 20, 18, 14]","11,3,1,15,23,21,17,19,5,13,9,7,0,2,6,8,16,4,10,12,22,20,18,14",bf3c7e3e885190e0,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,22661069,diversity,True,0.7441420072193387,5.608695652173913,14.0,8,0.0,129.0,15.368620037807185,-0.2438563327032136,0.262747863965609,19.0,19,21.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,1518,0.0434782608695652,0.6376811594202899,0.3623188405797101,False,False,False,False,False
PPOFINAL_N24_B106_diversity,final_expansion_batch04,106,24,"[11, 3, 15, 21, 1, 13, 23, 19, 17, 9, 7, 5, 0, 2, 6, 4, 8, 10, 12, 14, 16, 22, 20, 18]","11,3,15,21,1,13,23,19,17,9,7,5,0,2,6,4,8,10,12,14,16,22,20,18",67fdf422431f384f,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,22660779,diversity,True,0.7213548405323471,5.260869565217392,20.0,6,0.0,121.0,20.366729678638947,-0.2287334593572779,0.2577033327258455,13.0,13,14.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,1228,0.0434782608695652,0.4927536231884058,0.5072463768115941,False,False,False,False,False
