n,canonical_order_hash,order_hash,order_compact,strategy_name,final_expansion_batch,selected_by_bucket,duplicate_group_size,duplicate_action,real_exact_order_duplicate
12,9d16225c8842df9d,448bb5e38e3ebeed,"11,3,1,9,5,7,0,2,4,6,8,10",PPOFINAL_N12_B035_diversity,final_expansion_batch02,diversity,2,KEEP,True
12,9d16225c8842df9d,9d16225c8842df9d,"11,3,1,9,5,7,0,2,4,6,8,10",PPOFINAL_N12_B048_baseline_proximity,final_expansion_batch02,baseline_proximity,2,REPLACE,True
12,667cc0b2be39f4b7,59ccf3779c98de2f,"11,1,3,9,7,0,2,4,5,6,8,10",PPOFINAL_N12_B043_novelty,final_expansion_batch02,novelty,2,KEEP,True
12,667cc0b2be39f4b7,667cc0b2be39f4b7,"11,1,3,9,7,0,2,4,5,6,8,10",PPOFINAL_N12_B044_novelty,final_expansion_batch02,novelty,2,REPLACE,True
12,5f7d2403c1cdd71e,846265e0bbeb93d3,"3,11,1,7,9,5,0,2,4,6,8,10",PPOFINAL_N12_B046_baseline_proximity,final_expansion_batch02,baseline_proximity,2,KEEP,True
12,5f7d2403c1cdd71e,5f7d2403c1cdd71e,"3,11,1,7,9,5,0,2,4,6,8,10",PPOFINAL_N12_B047_baseline_proximity,final_expansion_batch02,baseline_proximity,2,REPLACE,True
16,112c7158ed9beae3,a188458f089ab071,"11,3,1,15,13,9,7,5,0,2,4,6,8,10,12,14",PPOFINAL_N16_B023_quality,final_expansion_batch01,quality,2,KEEP,True
16,112c7158ed9beae3,112c7158ed9beae3,"11,3,1,15,13,9,7,5,0,2,4,6,8,10,12,14",PPOFINAL_N16_B024_quality,final_expansion_batch01,quality,2,REPLACE,True
16,ac75b5c13ac7b4df,91a34ab23fadc3e0,"11,3,1,13,15,9,7,5,0,2,4,6,8,10,12,14",PPOFINAL_N16_B025_quality,final_expansion_batch01,quality,2,KEEP,True
16,ac75b5c13ac7b4df,ac75b5c13ac7b4df,"11,3,1,13,15,9,7,5,0,2,4,6,8,10,12,14",PPOFINAL_N16_B026_quality,final_expansion_batch01,quality,2,REPLACE,True
16,6721460107841a59,7e8cea0a5c2e58fd,"11,1,3,15,13,9,7,0,2,4,5,6,8,10,12,14",PPOFINAL_N16_B054_efficiency,final_expansion_batch02,efficiency,2,KEEP,True
16,6721460107841a59,6721460107841a59,"11,1,3,15,13,9,7,0,2,4,5,6,8,10,12,14",PPOFINAL_N16_B055_efficiency,final_expansion_batch02,efficiency,2,REPLACE,True
16,bc8f954b3d0328f0,bf3c973d81bfbda1,"11,3,1,15,13,9,7,6,5,0,2,4,8,10,12,14",PPOFINAL_N16_B056_efficiency,final_expansion_batch02,efficiency,2,KEEP,True
16,bc8f954b3d0328f0,bc8f954b3d0328f0,"11,3,1,15,13,9,7,6,5,0,2,4,8,10,12,14",PPOFINAL_N16_B057_efficiency,final_expansion_batch02,efficiency,2,REPLACE,True
16,67b6fe9d93abd00e,d04b2016fc89aba9,"11,3,1,15,9,13,7,5,0,2,4,6,8,10,12,14",PPOFINAL_N16_B061_baseline_proximity,final_expansion_batch02,baseline_proximity,2,KEEP,True
16,67b6fe9d93abd00e,67b6fe9d93abd00e,"11,3,1,15,9,13,7,5,0,2,4,6,8,10,12,14",PPOFINAL_N16_B062_baseline_proximity,final_expansion_batch02,baseline_proximity,2,REPLACE,True
