old_strategy_name,old_n,old_order_hash,old_order_compact,old_bucket,replacement_source_row_index,replacement_ppo_version_source,replacement_bucket,replacement_order_hash,replacement_order_compact,replacement_candidate_source
PPOFINAL_N12_B002_quality,12,d7bd83cdd82fc8e2,"11,1,3,9,7,5,0,2,4,6,8,10",quality,2325,v01,quality,cc123ba504b254bf,"11,1,3,7,9,5,0,4,2,6,8,10",PPO_final_expansion_checkpoint_inference_pool
PPOFINAL_N12_B004_quality,12,20ea9b2645605241,"11,3,1,9,7,5,0,2,4,6,8,10",quality,1684,v01,quality,828a8c6213d9c794,"11,3,1,9,7,5,0,4,2,6,8,10",PPO_final_expansion_checkpoint_inference_pool
PPOFINAL_N12_B006_quality,12,162475e33abc7301,"11,3,1,7,9,5,0,2,4,6,8,10",quality,363,v01,quality,53949277fd9b496e,"3,11,1,9,7,5,0,2,4,6,8,10",PPO_final_expansion_checkpoint_inference_pool
PPOFINAL_N12_B007_quality,12,1fb237209f1625a5,"11,3,1,5,9,7,0,2,4,6,8,10",quality,153,v01,quality,0640bd5f828e220b,"1,11,3,9,7,5,0,2,4,6,8,10",PPO_final_expansion_checkpoint_inference_pool
PPOFINAL_N12_B008_quality,12,c2a15fda28275f1d,"11,1,3,9,7,5,0,2,4,6,10,8",quality,94,v01,quality,a98151af53853134,"11,1,3,9,7,5,0,2,4,8,6,10",PPO_final_expansion_checkpoint_inference_pool
PPOFINAL_N12_B010_quality,12,83e4d37f3d8840bf,"11,1,3,7,5,9,0,2,4,6,8,10",quality,144,v01,quality,2552cedaec804bdc,"11,1,3,9,7,5,0,2,6,4,8,10",PPO_final_expansion_checkpoint_inference_pool
PPOFINAL_N16_B017_quality,16,e58d393f574613ce,"11,1,3,15,13,9,7,5,0,2,4,6,8,10,14,12",quality,280,v01,quality,939f0390b5bbea6c,"11,1,3,15,13,9,7,5,0,2,4,6,8,12,14,10",PPO_final_expansion_checkpoint_inference_pool
PPOFINAL_N16_B019_quality,16,2490956f504e637d,"11,3,1,9,15,13,7,5,0,2,4,6,8,10,12,14",quality,594,v01,quality,77a09d02d881a290,"11,15,3,1,13,9,7,5,0,2,4,6,8,10,12,14",PPO_final_expansion_checkpoint_inference_pool
PPOFINAL_N16_B021_quality,16,00f851771db43ff4,"11,1,3,15,13,9,7,5,0,2,4,6,8,10,12,14",quality,422,v01,quality,0a75862e3605280c,"11,3,1,15,13,9,7,5,0,2,4,6,10,8,12,14",PPO_final_expansion_checkpoint_inference_pool
PPOFINAL_N16_B022_quality,16,8d10fca936326ede,"11,1,3,13,15,9,7,5,0,2,4,6,8,10,12,14",quality,595,v01,quality,f5ea60be6ba4eb8a,"11,3,1,15,13,9,7,5,0,2,4,6,8,12,10,14",PPO_final_expansion_checkpoint_inference_pool
