final_expansion_batch,n,strategy_name,inp_path,cae_path,inp_exists,cae_exists,inp_size_bytes,cae_size_bytes,node_entry_count,element_entry_count,scan_sequence_complete,cool_sequence_complete,step_final_cooling_exists,final_cooling_controls_visible,final_cooling_after_last_cool,heat_flux_entries_exist,all_expected_heat_sets_present,heat_order_text_verified,output_fields_U_PEEQ_S_NT11_visible,n40_cool_initialInc_0p001_verified,solver_output_count,verdict,notes
final_expansion_batch01,12,PPOFINAL_N12_B001_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B001_quality\J2D_PPOFINAL_N12_B001_quality.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B001_quality\J2D_PPOFINAL_N12_B001_quality.cae,True,True,45982,155648,399,336,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
final_expansion_batch01,12,PPOFINAL_N12_B002_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B002_quality\J2D_PPOFINAL_N12_B002_quality.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B002_quality\J2D_PPOFINAL_N12_B002_quality.cae,True,True,45982,180224,399,336,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
final_expansion_batch01,12,PPOFINAL_N12_B003_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B003_quality\J2D_PPOFINAL_N12_B003_quality.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B003_quality\J2D_PPOFINAL_N12_B003_quality.cae,True,True,45982,192512,399,336,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
final_expansion_batch01,12,PPOFINAL_N12_B004_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B004_quality\J2D_PPOFINAL_N12_B004_quality.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B004_quality\J2D_PPOFINAL_N12_B004_quality.cae,True,True,45982,192512,399,336,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
final_expansion_batch01,12,PPOFINAL_N12_B005_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B005_quality\J2D_PPOFINAL_N12_B005_quality.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B005_quality\J2D_PPOFINAL_N12_B005_quality.cae,True,True,45982,200704,399,336,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
final_expansion_batch01,12,PPOFINAL_N12_B006_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B006_quality\J2D_PPOFINAL_N12_B006_quality.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B006_quality\J2D_PPOFINAL_N12_B006_quality.cae,True,True,45982,200704,399,336,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
final_expansion_batch01,12,PPOFINAL_N12_B007_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B007_quality\J2D_PPOFINAL_N12_B007_quality.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B007_quality\J2D_PPOFINAL_N12_B007_quality.cae,True,True,45982,208896,399,336,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
final_expansion_batch01,12,PPOFINAL_N12_B008_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B008_quality\J2D_PPOFINAL_N12_B008_quality.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B008_quality\J2D_PPOFINAL_N12_B008_quality.cae,True,True,45982,208896,399,336,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
final_expansion_batch01,12,PPOFINAL_N12_B009_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B009_quality\J2D_PPOFINAL_N12_B009_quality.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B009_quality\J2D_PPOFINAL_N12_B009_quality.cae,True,True,45982,212992,399,336,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
final_expansion_batch01,12,PPOFINAL_N12_B010_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B010_quality\J2D_PPOFINAL_N12_B010_quality.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B010_quality\J2D_PPOFINAL_N12_B010_quality.cae,True,True,45982,204800,399,336,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
final_expansion_batch01,12,PPOFINAL_N12_B011_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B011_quality\J2D_PPOFINAL_N12_B011_quality.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B011_quality\J2D_PPOFINAL_N12_B011_quality.cae,True,True,45982,208896,399,336,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
final_expansion_batch01,12,PPOFINAL_N12_B012_diversity,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B012_diversity\J2D_PPOFINAL_N12_B012_diversity.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B012_diversity\J2D_PPOFINAL_N12_B012_diversity.cae,True,True,45984,204800,399,336,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
final_expansion_batch01,12,PPOFINAL_N12_B013_diversity,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B013_diversity\J2D_PPOFINAL_N12_B013_diversity.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B013_diversity\J2D_PPOFINAL_N12_B013_diversity.cae,True,True,45984,204800,399,336,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
final_expansion_batch01,12,PPOFINAL_N12_B014_diversity,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B014_diversity\J2D_PPOFINAL_N12_B014_diversity.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B014_diversity\J2D_PPOFINAL_N12_B014_diversity.cae,True,True,45984,196608,399,336,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
final_expansion_batch01,12,PPOFINAL_N12_B015_diversity,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B015_diversity\J2D_PPOFINAL_N12_B015_diversity.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B015_diversity\J2D_PPOFINAL_N12_B015_diversity.cae,True,True,45984,200704,399,336,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
final_expansion_batch01,12,PPOFINAL_N12_B016_diversity,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B016_diversity\J2D_PPOFINAL_N12_B016_diversity.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B016_diversity\J2D_PPOFINAL_N12_B016_diversity.cae,True,True,45984,217088,399,336,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
final_expansion_batch01,16,PPOFINAL_N16_B017_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N16\PPOFINAL_N16_B017_quality\J2D_PPOFINAL_N16_B017_quality.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N16\PPOFINAL_N16_B017_quality\J2D_PPOFINAL_N16_B017_quality.cae,True,True,58870,217088,511,432,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
