check,status,details
selected_master_exists,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\PPO_FINAL_EXPANSION_224_SELECTED_MASTER.csv
row_count_224,PASS,"{""12"": 32, ""16"": 32, ""24"": 80, ""40"": 80}"
N_counts_match,PASS,"{""12"": 32, ""16"": 32, ""24"": 80, ""40"": 80}"
no_unexpected_N,PASS,
strategy_unique,PASS,
candidate_source_final_expansion,PASS,
teacher_validated_false,PASS,
abaqus_validated_false,PASS,
no_duplicate_order_within_same_N,PASS,
batch_file_final_expansion_batch01,PASS,"E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\batches\PPO_FINAL_EXPANSION_batch01.csv; rows=32; counts={12: 16, 16: 16}"
batch_file_final_expansion_batch02,PASS,"E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\batches\PPO_FINAL_EXPANSION_batch02.csv; rows=32; counts={12: 16, 16: 16}"
batch_file_final_expansion_batch03,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\batches\PPO_FINAL_EXPANSION_batch03.csv; rows=32; counts={24: 32}
batch_file_final_expansion_batch04,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\batches\PPO_FINAL_EXPANSION_batch04.csv; rows=32; counts={24: 32}
batch_file_final_expansion_batch05,PASS,"E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\batches\PPO_FINAL_EXPANSION_batch05.csv; rows=32; counts={24: 16, 40: 16}"
batch_file_final_expansion_batch06,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\batches\PPO_FINAL_EXPANSION_batch06.csv; rows=32; counts={40: 32}
batch_file_final_expansion_batch07,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\batches\PPO_FINAL_EXPANSION_batch07.csv; rows=32; counts={40: 32}
scan_json_PPOFINAL_N12_B001_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B001_quality.json
scan_json_PPOFINAL_N12_B002_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B002_quality.json
scan_json_PPOFINAL_N12_B003_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B003_quality.json
scan_json_PPOFINAL_N12_B004_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B004_quality.json
scan_json_PPOFINAL_N12_B005_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B005_quality.json
scan_json_PPOFINAL_N12_B006_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B006_quality.json
scan_json_PPOFINAL_N12_B007_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B007_quality.json
scan_json_PPOFINAL_N12_B008_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B008_quality.json
scan_json_PPOFINAL_N12_B009_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B009_quality.json
scan_json_PPOFINAL_N12_B010_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B010_quality.json
scan_json_PPOFINAL_N12_B011_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B011_quality.json
scan_json_PPOFINAL_N12_B012_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B012_diversity.json
scan_json_PPOFINAL_N12_B013_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B013_diversity.json
scan_json_PPOFINAL_N12_B014_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B014_diversity.json
scan_json_PPOFINAL_N12_B015_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B015_diversity.json
scan_json_PPOFINAL_N12_B016_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B016_diversity.json
scan_json_PPOFINAL_N16_B017_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B017_quality.json
scan_json_PPOFINAL_N16_B018_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B018_quality.json
scan_json_PPOFINAL_N16_B019_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B019_quality.json
scan_json_PPOFINAL_N16_B020_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B020_quality.json
scan_json_PPOFINAL_N16_B021_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B021_quality.json
scan_json_PPOFINAL_N16_B022_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B022_quality.json
scan_json_PPOFINAL_N16_B023_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B023_quality.json
scan_json_PPOFINAL_N16_B024_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B024_quality.json
scan_json_PPOFINAL_N16_B025_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B025_quality.json
scan_json_PPOFINAL_N16_B026_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B026_quality.json
scan_json_PPOFINAL_N16_B027_quality,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B027_quality.json
scan_json_PPOFINAL_N16_B028_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B028_diversity.json
scan_json_PPOFINAL_N16_B029_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B029_diversity.json
scan_json_PPOFINAL_N16_B030_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B030_diversity.json
scan_json_PPOFINAL_N16_B031_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B031_diversity.json
scan_json_PPOFINAL_N16_B032_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N16_B032_diversity.json
scan_json_PPOFINAL_N12_B033_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B033_diversity.json
scan_json_PPOFINAL_N12_B034_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B034_diversity.json
scan_json_PPOFINAL_N12_B035_diversity,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B035_diversity.json
scan_json_PPOFINAL_N12_B036_efficiency,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B036_efficiency.json
scan_json_PPOFINAL_N12_B037_efficiency,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B037_efficiency.json
scan_json_PPOFINAL_N12_B038_efficiency,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B038_efficiency.json
scan_json_PPOFINAL_N12_B039_efficiency,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B039_efficiency.json
scan_json_PPOFINAL_N12_B040_efficiency,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B040_efficiency.json
scan_json_PPOFINAL_N12_B041_efficiency,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B041_efficiency.json
scan_json_PPOFINAL_N12_B042_novelty,PASS,exists=True; match=True; legal=True; E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B042_novelty.json
