final_expansion_batch,strategy_name,n,order_json,source_order_json,scan_order,order_compact,order_hash,candidate_source,ppo_checkpoint,ppo_version_source,ppo_generation_mode,selected_by_bucket,global_candidate_index,case_dir,job_name,expected_cae,expected_inp,expected_jnl,generation_log,base_cae,batch_name,teacher_validated,abaqus_validated,notes,predicted_quality_score,mean_abs_jump,max_abs_jump,long_jump_count,adjacent_fraction,total_travel_proxy,jump_variance,local_continuity_score,path_complexity_score,novelty_distance_score,min_hamming_to_combined552_sameN,min_hamming_to_conventional_baseline,nearest_conventional_baseline
final_expansion_batch01,PPOFINAL_N12_B001_quality,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B001_quality\scan_order_PPOFINAL_N12_B001_quality.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B001_quality.json,"[11,1,3,5,9,7,0,2,4,6,8,10]","11,1,3,5,9,7,0,2,4,6,8,10",686c7b277df8777a,PPO_final_expansion_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,quality,1,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B001_quality,J2D_PPOFINAL_N12_B001_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B001_quality\J2D_PPOFINAL_N12_B001_quality.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B001_quality\J2D_PPOFINAL_N12_B001_quality.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B001_quality\J2D_PPOFINAL_N12_B001_quality.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B001_quality\J2D_PPOFINAL_N12_B001_quality_stageU_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.cae,stage3_ppo_final_expansion_224_to_320_batch224_v01,False,False,final expansion PPO candidate; not physically validated yet.,0.85737566877453,3.363636363636364,10.0,3,0.0,37.0,6.595041322314051,-0.3057851239669422,0.3348075040411629,2.0,2,5.0,odd_even
final_expansion_batch01,PPOFINAL_N12_B002_quality,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B002_quality\scan_order_PPOFINAL_N12_B002_quality.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B002_quality.json,"[11,1,3,7,9,5,0,4,2,6,8,10]","11,1,3,7,9,5,0,4,2,6,8,10",cc123ba504b254bf,PPO_final_expansion_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,quality,2,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B002_quality,J2D_PPOFINAL_N12_B002_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B002_quality\J2D_PPOFINAL_N12_B002_quality.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B002_quality\J2D_PPOFINAL_N12_B002_quality.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B002_quality\J2D_PPOFINAL_N12_B002_quality.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B002_quality\J2D_PPOFINAL_N12_B002_quality_stageU_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.cae,stage3_ppo_final_expansion_224_to_320_batch224_v01,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,0.716327881474389,3.727272727272727,10.0,6,0.0,41.0,5.107438016528925,-0.33884297520661155,0.352816292147622,2.0,2,6.0,odd_even
final_expansion_batch01,PPOFINAL_N12_B003_quality,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B003_quality\scan_order_PPOFINAL_N12_B003_quality.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B003_quality.json,"[11,1,3,5,7,9,0,2,4,6,8,10]","11,1,3,5,7,9,0,2,4,6,8,10",27e98181a3a86fe0,PPO_final_expansion_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,quality,3,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B003_quality,J2D_PPOFINAL_N12_B003_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B003_quality\J2D_PPOFINAL_N12_B003_quality.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B003_quality\J2D_PPOFINAL_N12_B003_quality.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B003_quality\J2D_PPOFINAL_N12_B003_quality.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B003_quality\J2D_PPOFINAL_N12_B003_quality_stageU_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.cae,stage3_ppo_final_expansion_224_to_320_batch224_v01,False,False,final expansion PPO candidate; not physically validated yet.,0.8510001818485698,3.363636363636364,10.0,2,0.0,37.0,8.41322314049587,-0.3057851239669422,0.3498338000591945,3.0,3,6.0,odd_even
final_expansion_batch01,PPOFINAL_N12_B004_quality,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B004_quality\scan_order_PPOFINAL_N12_B004_quality.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B004_quality.json,"[11,3,1,9,7,5,0,4,2,6,8,10]","11,3,1,9,7,5,0,4,2,6,8,10",828a8c6213d9c794,PPO_final_expansion_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,quality,4,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B004_quality,J2D_PPOFINAL_N12_B004_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B004_quality\J2D_PPOFINAL_N12_B004_quality.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B004_quality\J2D_PPOFINAL_N12_B004_quality.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B004_quality\J2D_PPOFINAL_N12_B004_quality.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B004_quality\J2D_PPOFINAL_N12_B004_quality_stageU_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.cae,stage3_ppo_final_expansion_224_to_320_batch224_v01,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,0.7122092001358132,3.727272727272727,8.0,5,0.0,41.0,5.107438016528926,-0.33884297520661155,0.352816292147622,5.0,5,5.0,odd_even
final_expansion_batch01,PPOFINAL_N12_B005_quality,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B005_quality\scan_order_PPOFINAL_N12_B005_quality.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B005_quality.json,"[11,3,1,5,7,9,0,2,4,6,8,10]","11,3,1,5,7,9,0,2,4,6,8,10",81db742fcb6d72ea,PPO_final_expansion_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,quality,5,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B005_quality,J2D_PPOFINAL_N12_B005_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B005_quality\J2D_PPOFINAL_N12_B005_quality.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B005_quality\J2D_PPOFINAL_N12_B005_quality.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B005_quality\J2D_PPOFINAL_N12_B005_quality.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B005_quality\J2D_PPOFINAL_N12_B005_quality_stageU_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.cae,stage3_ppo_final_expansion_224_to_320_batch224_v01,False,False,final expansion PPO candidate; not physically validated yet.,0.8466730989428595,3.363636363636364,9.0,3,0.0,37.0,6.231404958677686,-0.3057851239669422,0.3318022448375566,4.0,4,5.0,odd_even
final_expansion_batch01,PPOFINAL_N12_B006_quality,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B006_quality\scan_order_PPOFINAL_N12_B006_quality.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B006_quality.json,"[3,11,1,9,7,5,0,2,4,6,8,10]","3,11,1,9,7,5,0,2,4,6,8,10",53949277fd9b496e,PPO_final_expansion_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,quality,6,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B006_quality,J2D_PPOFINAL_N12_B006_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B006_quality\J2D_PPOFINAL_N12_B006_quality.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B006_quality\J2D_PPOFINAL_N12_B006_quality.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B006_quality\J2D_PPOFINAL_N12_B006_quality.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B006_quality\J2D_PPOFINAL_N12_B006_quality_stageU_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.cae,stage3_ppo_final_expansion_224_to_320_batch224_v01,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,0.7101136064897512,4.090909090909091,10.0,4,0.0,45.0,8.809917355371901,-0.371900826446281,0.41371832525100743,4.0,4,3.0,odd_even
final_expansion_batch01,PPOFINAL_N12_B007_quality,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B007_quality\scan_order_PPOFINAL_N12_B007_quality.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B007_quality.json,"[1,11,3,9,7,5,0,2,4,6,8,10]","1,11,3,9,7,5,0,2,4,6,8,10",0640bd5f828e220b,PPO_final_expansion_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,quality,7,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B007_quality,J2D_PPOFINAL_N12_B007_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B007_quality\J2D_PPOFINAL_N12_B007_quality.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B007_quality\J2D_PPOFINAL_N12_B007_quality.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B007_quality\J2D_PPOFINAL_N12_B007_quality.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B007_quality\J2D_PPOFINAL_N12_B007_quality_stageU_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.cae,stage3_ppo_final_expansion_224_to_320_batch224_v01,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,0.7101136064897512,3.909090909090909,10.0,4,0.0,43.0,7.719008264462812,-0.35537190082644626,0.3895510324886734,3.0,3,4.0,odd_even
final_expansion_batch01,PPOFINAL_N12_B008_quality,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B008_quality\scan_order_PPOFINAL_N12_B008_quality.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B008_quality.json,"[11,1,3,9,7,5,0,2,4,8,6,10]","11,1,3,9,7,5,0,2,4,8,6,10",a98151af53853134,PPO_final_expansion_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,quality,8,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B008_quality,J2D_PPOFINAL_N12_B008_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B008_quality\J2D_PPOFINAL_N12_B008_quality.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B008_quality\J2D_PPOFINAL_N12_B008_quality.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B008_quality\J2D_PPOFINAL_N12_B008_quality.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B008_quality\J2D_PPOFINAL_N12_B008_quality_stageU_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.cae,stage3_ppo_final_expansion_224_to_320_batch224_v01,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,0.679327198722953,3.727272727272727,10.0,5,0.0,41.0,5.834710743801653,-0.33884297520661155,0.3588268105548346,3.0,3,8.0,odd_even
final_expansion_batch01,PPOFINAL_N12_B009_quality,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B009_quality\scan_order_PPOFINAL_N12_B009_quality.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B009_quality.json,"[11,3,1,9,7,5,0,2,4,6,10,8]","11,3,1,9,7,5,0,2,4,6,10,8",4848e2f9defa673a,PPO_final_expansion_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,quality,9,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B009_quality,J2D_PPOFINAL_N12_B009_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B009_quality\J2D_PPOFINAL_N12_B009_quality.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B009_quality\J2D_PPOFINAL_N12_B009_quality.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B009_quality\J2D_PPOFINAL_N12_B009_quality.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B009_quality\J2D_PPOFINAL_N12_B009_quality_stageU_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.cae,stage3_ppo_final_expansion_224_to_320_batch224_v01,False,False,final expansion PPO candidate; not physically validated yet.,0.7636411363514938,3.5454545454545454,8.0,4,0.0,39.0,5.338842975206613,-0.3223140495867768,0.339577214671129,5.0,5,7.0,odd_even
final_expansion_batch01,PPOFINAL_N12_B010_quality,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B010_quality\scan_order_PPOFINAL_N12_B010_quality.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\selected_candidates\scan_orders\scan_order_PPOFINAL_N12_B010_quality.json,"[11,1,3,9,7,5,0,2,6,4,8,10]","11,1,3,9,7,5,0,2,6,4,8,10",2552cedaec804bdc,PPO_final_expansion_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,quality,10,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B010_quality,J2D_PPOFINAL_N12_B010_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B010_quality\J2D_PPOFINAL_N12_B010_quality.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B010_quality\J2D_PPOFINAL_N12_B010_quality.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B010_quality\J2D_PPOFINAL_N12_B010_quality.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B010_quality\J2D_PPOFINAL_N12_B010_quality_stageU_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.cae,stage3_ppo_final_expansion_224_to_320_batch224_v01,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,0.6784860971334526,3.727272727272727,10.0,5,0.0,41.0,5.834710743801653,-0.33884297520661155,0.3588268105548346,4.0,4,5.0,odd_even
