run_id,batch_name,final_expansion_batch,n,handoff_strategy_name,selected_by_bucket,global_candidate_index,order_hash,order_compact,scan_order_json,candidate_source,ppo_checkpoint,ppo_version_source,ppo_generation_mode,predicted_quality_score,min_hamming_to_combined552_sameN,min_hamming_to_conventional_baseline,nearest_conventional_baseline,job_name,odb_path,completion_status,odb_extraction_status,teacher_validation_status,final_step_name,final_frame_time,extracted_field_names,missing_required_fields,notes,u_node_count,u2_min,u2_max,u2_range,u2_abs_max,u2_mean_abs,u2_rms,u_magnitude_max,peeq_value_count,peeq_max,peeq_mean,peeq_fraction_gt_0p002,peeq_count_gt_0p002,s_value_count,mises_max,mises_mean,max_principal_stress_max,max_principal_stress_mean,surface_t_proxy_max_tensile_pa,surface_t_proxy_max_tensile_mpa,nt11_node_count,nt11_min,nt11_max,nt11_mean,rank_within_N_u2_range,rank_within_N_peeq_max,rank_within_N_surface_t_proxy,rank_within_N_mises_max,norm_cost_within_N_u2_range,norm_cost_within_N_peeq_max,norm_cost_within_N_surface_t_proxy,norm_cost_within_N_mises_max
stageV_final_expansion_224_odb_teacher_metric_extraction,stage3_ppo_final_expansion_224_to_320_batch224_v01,final_expansion_batch01,12,PPOFINAL_N12_B001_quality,quality,1,686c7b277df8777a,"11,1,3,5,9,7,0,2,4,6,8,10",E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B001_quality\scan_order_PPOFINAL_N12_B001_quality.json,PPO_final_expansion_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,0.85737566877453,2,5.0,odd_even,J2D_PPOFINAL_N12_B001_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B001_quality\J2D_PPOFINAL_N12_B001_quality.odb,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,PASS_TEACHER_FIELDS_EXTRACTED,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,,final_frame_required_fields_and_metrics_extracted,399,-2.0182778825983405e-05,6.184262929309625e-06,2.636704175529303e-05,2.0182778825983405e-05,3.6439099074967306e-06,4.8574803507514476e-06,5.3586583587199905e-05,1344,0.15026304125785828,0.06377338838397659,1.0,1344,1344,579939520.0,579938458.4761904,583448512.0,579937292.3333334,583448512.0,583.448512,399,20.096792221069336,20.09931182861328,20.09841565679488,1,13,25,19,0.0,0.247809754577626,0.5499512028875497,0.8636363636363636
stageV_final_expansion_224_odb_teacher_metric_extraction,stage3_ppo_final_expansion_224_to_320_batch224_v01,final_expansion_batch01,12,PPOFINAL_N12_B002_quality,quality,2,cc123ba504b254bf,"11,1,3,7,9,5,0,4,2,6,8,10",E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B002_quality\scan_order_PPOFINAL_N12_B002_quality.json,PPO_final_expansion_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,0.716327881474389,2,6.0,odd_even,J2D_PPOFINAL_N12_B002_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B002_quality\J2D_PPOFINAL_N12_B002_quality.odb,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,PASS_TEACHER_FIELDS_EXTRACTED,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,,final_frame_required_fields_and_metrics_extracted,399,-3.2797852327348664e-05,4.0858353713701945e-06,3.688368769871886e-05,3.2797852327348664e-05,1.1870065588538095e-05,1.3395850168409921e-05,5.289601393279826e-05,1344,0.1473013311624527,0.06363435218753737,1.0,1344,1344,579939520.0,579938431.0952381,581560320.0,579937920.6190476,581560320.0,581.56032,399,20.096834182739258,20.099353790283203,20.098457661487704,15,5,6,20,0.21124190802291984,0.07482083766334366,0.09291589856397069,0.8636363636363636
stageV_final_expansion_224_odb_teacher_metric_extraction,stage3_ppo_final_expansion_224_to_320_batch224_v01,final_expansion_batch01,12,PPOFINAL_N12_B003_quality,quality,3,27e98181a3a86fe0,"11,1,3,5,7,9,0,2,4,6,8,10",E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B003_quality\scan_order_PPOFINAL_N12_B003_quality.json,PPO_final_expansion_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,0.8510001818485698,3,6.0,odd_even,J2D_PPOFINAL_N12_B003_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B003_quality\J2D_PPOFINAL_N12_B003_quality.odb,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,PASS_TEACHER_FIELDS_EXTRACTED,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,,final_frame_required_fields_and_metrics_extracted,399,-1.8494496544008143e-05,8.514901310263667e-06,2.700939785427181e-05,1.8494496544008143e-05,3.446288541216777e-06,4.346006139723e-06,5.5198490012148874e-05,1344,0.1514374017715454,0.06386831532082786,1.0,1344,1344,579939520.0,579938452.3333334,583141888.0,579937317.3809524,583141888.0,583.141888,399,20.096799850463867,20.099319458007812,20.09842368295617,3,16,17,21,0.012902642982220132,0.3164023402073879,0.47573311852276423,0.8636363636363636
stageV_final_expansion_224_odb_teacher_metric_extraction,stage3_ppo_final_expansion_224_to_320_batch224_v01,final_expansion_batch01,12,PPOFINAL_N12_B004_quality,quality,4,828a8c6213d9c794,"11,3,1,9,7,5,0,4,2,6,8,10",E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B004_quality\scan_order_PPOFINAL_N12_B004_quality.json,PPO_final_expansion_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,0.7122092001358132,5,5.0,odd_even,J2D_PPOFINAL_N12_B004_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B004_quality\J2D_PPOFINAL_N12_B004_quality.odb,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,PASS_TEACHER_FIELDS_EXTRACTED,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,,final_frame_required_fields_and_metrics_extracted,399,-4.564666960504837e-05,4.091835762665141e-06,4.9738505367713515e-05,4.564666960504837e-05,2.1770270908687617e-05,2.465684259261819e-05,5.294539383081513e-05,1344,0.14627483487129211,0.06399890545955193,1.0,1344,1344,579939456.0,579938386.6666666,581501824.0,579937892.6190476,581501824.0,581.501824,399,20.09690284729004,20.099428176879883,20.09852956231674,23,2,4,9,0.4694493466200777,0.014864773124866183,0.07875699037999784,0.8181818181818182
stageV_final_expansion_224_odb_teacher_metric_extraction,stage3_ppo_final_expansion_224_to_320_batch224_v01,final_expansion_batch01,12,PPOFINAL_N12_B005_quality,quality,5,81db742fcb6d72ea,"11,3,1,5,7,9,0,2,4,6,8,10",E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B005_quality\scan_order_PPOFINAL_N12_B005_quality.json,PPO_final_expansion_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,0.8466730989428595,4,5.0,odd_even,J2D_PPOFINAL_N12_B005_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B005_quality\J2D_PPOFINAL_N12_B005_quality.odb,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,PASS_TEACHER_FIELDS_EXTRACTED,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,,final_frame_required_fields_and_metrics_extracted,399,-2.6828047339222394e-05,4.10793791161268e-06,3.0935985250835074e-05,2.6828047339222394e-05,7.587719085910354e-06,9.265857352958793e-06,5.39066031375042e-05,1344,0.15100350975990295,0.06366486239269198,1.0,1344,1344,579939520.0,579938452.8095238,583053952.0,579937385.3809524,583053952.0,583.053952,399,20.096797943115234,20.099319458007812,20.0984229420062,7,15,16,22,0.09177377909641875,0.2910593772792391,0.45444828280637617,0.8636363636363636
stageV_final_expansion_224_odb_teacher_metric_extraction,stage3_ppo_final_expansion_224_to_320_batch224_v01,final_expansion_batch01,12,PPOFINAL_N12_B006_quality,quality,6,53949277fd9b496e,"3,11,1,9,7,5,0,2,4,6,8,10",E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B006_quality\scan_order_PPOFINAL_N12_B006_quality.json,PPO_final_expansion_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,0.7101136064897512,4,3.0,odd_even,J2D_PPOFINAL_N12_B006_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B006_quality\J2D_PPOFINAL_N12_B006_quality.odb,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,PASS_TEACHER_FIELDS_EXTRACTED,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,,final_frame_required_fields_and_metrics_extracted,399,-3.077285873587243e-05,4.192695087112952e-06,3.4965553822985385e-05,3.077285873587243e-05,1.2554557721326836e-05,1.4346096744287728e-05,5.357035667120194e-05,1344,0.14959101378917694,0.06385869251347945,1.0,1344,1344,579938496.0,579937450.0952381,583545024.0,579936404.9047619,583545024.0,583.545024,399,20.098377227783203,20.100936889648438,20.10002588926999,12,11,26,2,0.1727134397324541,0.20855766703395598,0.573311852276424,0.13636363636363635
stageV_final_expansion_224_odb_teacher_metric_extraction,stage3_ppo_final_expansion_224_to_320_batch224_v01,final_expansion_batch01,12,PPOFINAL_N12_B007_quality,quality,7,0640bd5f828e220b,"1,11,3,9,7,5,0,2,4,6,8,10",E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B007_quality\scan_order_PPOFINAL_N12_B007_quality.json,PPO_final_expansion_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,0.7101136064897512,3,4.0,odd_even,J2D_PPOFINAL_N12_B007_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B007_quality\J2D_PPOFINAL_N12_B007_quality.odb,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,PASS_TEACHER_FIELDS_EXTRACTED,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,,final_frame_required_fields_and_metrics_extracted,399,-2.319713166798465e-05,4.184538738627452e-06,2.7381670406612102e-05,2.319713166798465e-05,6.456797048491666e-06,7.483299187337232e-06,5.36871678029346e-05,1344,0.14983335137367249,0.06370035003748767,1.0,1344,1344,579939520.0,579938446.0,584182208.0,579937324.9047619,584182208.0,584.182208,399,20.096811294555664,20.09933090209961,20.098434448242188,4,12,28,23,0.020380270800439557,0.2227122314305658,0.7275417099127849,0.8636363636363636
stageV_final_expansion_224_odb_teacher_metric_extraction,stage3_ppo_final_expansion_224_to_320_batch224_v01,final_expansion_batch01,12,PPOFINAL_N12_B008_quality,quality,8,a98151af53853134,"11,1,3,9,7,5,0,2,4,8,6,10",E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B008_quality\scan_order_PPOFINAL_N12_B008_quality.json,PPO_final_expansion_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,0.679327198722953,3,8.0,odd_even,J2D_PPOFINAL_N12_B008_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B008_quality\J2D_PPOFINAL_N12_B008_quality.odb,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,PASS_TEACHER_FIELDS_EXTRACTED,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,,final_frame_required_fields_and_metrics_extracted,399,-2.6108298698090948e-05,4.096166321687633e-06,3.020446501977858e-05,2.6108298698090948e-05,9.620604961902704e-06,1.0454836458785132e-05,5.1803101086989045e-05,1344,0.1566016674041748,0.0634233316509164,1.0,1344,1344,579939520.0,579938429.5714285,583278912.0,579937445.6666666,583278912.0,583.278912,399,20.09683609008789,20.09935760498047,20.09845997994406,6,26,21,24,0.07708014671618832,0.6180391276269455,0.5088996638421143,0.8636363636363636
stageV_final_expansion_224_odb_teacher_metric_extraction,stage3_ppo_final_expansion_224_to_320_batch224_v01,final_expansion_batch01,12,PPOFINAL_N12_B009_quality,quality,9,4848e2f9defa673a,"11,3,1,9,7,5,0,2,4,6,10,8",E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B009_quality\scan_order_PPOFINAL_N12_B009_quality.json,PPO_final_expansion_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,0.7636411363514938,5,7.0,odd_even,J2D_PPOFINAL_N12_B009_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B009_quality\J2D_PPOFINAL_N12_B009_quality.odb,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,PASS_TEACHER_FIELDS_EXTRACTED,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,,final_frame_required_fields_and_metrics_extracted,399,-2.893199780373834e-05,4.159025593253318e-06,3.309102339699166e-05,2.893199780373834e-05,1.0438995005337493e-05,1.1842375057900833e-05,5.2295556088211015e-05,1344,0.15375560522079468,0.0631363363257454,1.0,1344,1344,579939456.0,579938409.3809524,582960512.0,579937431.6190476,582960512.0,582.960512,399,20.09686851501465,20.099390029907227,20.09849218497599,11,23,15,10,0.13506080922990626,0.45180502681560164,0.4318312084643626,0.8181818181818182
stageV_final_expansion_224_odb_teacher_metric_extraction,stage3_ppo_final_expansion_224_to_320_batch224_v01,final_expansion_batch01,12,PPOFINAL_N12_B010_quality,quality,10,2552cedaec804bdc,"11,1,3,9,7,5,0,2,6,4,8,10",E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B010_quality\scan_order_PPOFINAL_N12_B010_quality.json,PPO_final_expansion_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,0.6784860971334526,4,5.0,odd_even,J2D_PPOFINAL_N12_B010_quality,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N12\PPOFINAL_N12_B010_quality\J2D_PPOFINAL_N12_B010_quality.odb,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,PASS_TEACHER_FIELDS_EXTRACTED,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,,final_frame_required_fields_and_metrics_extracted,399,-3.6787263525184244e-05,4.075540800840827e-06,4.086280432602507e-05,3.6787263525184244e-05,1.6629506017649365e-05,1.8370849684961386e-05,5.286135350732042e-05,1344,0.15186060965061188,0.0635978592604044,1.0,1344,1344,579939456.0,579938400.0,583279680.0,579937436.2380953,583279680.0,583.27968,399,20.096879959106445,20.099403381347656,20.098505407347716,19,17,22,11,0.29116816903043613,0.34112125943681143,0.5090855576038295,0.8181818181818182
