n,strategy_name,handoff_strategy_name,dataset_source,ppo_version,is_ppo,source_metric_file,candidate_source,order_hash,order_compact,u2_range,peeq_max,surface_t_proxy,surface_t_proxy_source_column,mises_max,teacher_validation_status,completion_status,odb_extraction_status,extracted_field_names,final_frame_time,final_step_name,selected_by_bucket,final_expansion_batch,ppo_checkpoint,ppo_generation_mode,ppo_version_source,global_candidate_index,predicted_quality_score,min_hamming_to_combined552_sameN,min_hamming_to_conventional_baseline,nearest_conventional_baseline,notes,teacher_metrics_extracted,order_json,seed,predicted_reward_available,mean_abs_jump,max_abs_jump,long_jump_count,adjacent_fraction,total_travel_proxy,jump_variance,local_continuity_score,path_complexity_score,novelty_distance_score,teacher_validated,abaqus_validated,stageT_pool_source,source_row_index,parity_switch_fraction,early_center_bias,early_edge_bias,duplicate_vs_combined552,duplicate_vs_ppo_v01,duplicate_vs_ppo_v02K2,duplicate_vs_ppo_v03,selected_already
12,PPOFINAL_N12_B001_quality,PPOFINAL_N12_B001_quality,ppo_final_expansion_224,final_expansion,True,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\stageV_ODB_teacher_metric_extraction\stageV_ppo_final_expansion_224_ODB_metrics.csv,PPO_final_expansion_checkpoint_inference,686c7b277df8777a,"11,1,3,5,9,7,0,2,4,6,8,10",2.636704175529303e-05,0.1502630412578582,583.448512,surface_t_proxy_max_tensile_mpa,579939520.0,PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,AC YIELD;HFL;NT11;PEEQ;RF;S;U,1200.0,step_final_cooling,quality,final_expansion_batch01,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,stochastic,v01,1,0.85737566877453,2,5.0,odd_even,final_frame_required_fields_and_metrics_extracted,True,"[11, 1, 3, 5, 9, 7, 0, 2, 4, 6, 8, 10]",203806621,True,3.363636363636364,10.0,3,0.0,37.0,6.595041322314051,-0.3057851239669422,0.3348075040411629,2.0,False,False,fresh_v01_checkpoint_inference_lowN_topup,331,0.0909090909090909,0.2424242424242423,0.7575757575757576,False,False,False,False,False
12,PPOFINAL_N12_B002_quality,PPOFINAL_N12_B002_quality,ppo_final_expansion_224,final_expansion,True,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\stageV_ODB_teacher_metric_extraction\stageV_ppo_final_expansion_224_ODB_metrics.csv,PPO_final_expansion_checkpoint_inference,cc123ba504b254bf,"11,1,3,7,9,5,0,4,2,6,8,10",3.688368769871886e-05,0.1473013311624527,581.56032,surface_t_proxy_max_tensile_mpa,579939520.0,PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,AC YIELD;HFL;NT11;PEEQ;RF;S;U,1200.0,step_final_cooling,quality,final_expansion_batch01,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,stochastic,v01,2,0.716327881474389,2,6.0,odd_even,final_frame_required_fields_and_metrics_extracted,True,"[11, 1, 3, 7, 9, 5, 0, 4, 2, 6, 8, 10]",203808615,True,3.727272727272727,10.0,6,0.0,41.0,5.107438016528925,-0.3388429752066115,0.352816292147622,2.0,False,False,fresh_v01_checkpoint_inference_lowN_topup,2325,0.0909090909090909,0.2424242424242423,0.7575757575757576,False,False,False,False,False
12,PPOFINAL_N12_B003_quality,PPOFINAL_N12_B003_quality,ppo_final_expansion_224,final_expansion,True,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\stageV_ODB_teacher_metric_extraction\stageV_ppo_final_expansion_224_ODB_metrics.csv,PPO_final_expansion_checkpoint_inference,27e98181a3a86fe0,"11,1,3,5,7,9,0,2,4,6,8,10",2.700939785427181e-05,0.1514374017715454,583.141888,surface_t_proxy_max_tensile_mpa,579939520.0,PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,AC YIELD;HFL;NT11;PEEQ;RF;S;U,1200.0,step_final_cooling,quality,final_expansion_batch01,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,stochastic,v01,3,0.8510001818485698,3,6.0,odd_even,final_frame_required_fields_and_metrics_extracted,True,"[11, 1, 3, 5, 7, 9, 0, 2, 4, 6, 8, 10]",203806853,True,3.363636363636364,10.0,2,0.0,37.0,8.41322314049587,-0.3057851239669422,0.3498338000591945,3.0,False,False,fresh_v01_checkpoint_inference_lowN_topup,563,0.0909090909090909,0.2424242424242423,0.7575757575757576,False,False,False,False,False
12,PPOFINAL_N12_B004_quality,PPOFINAL_N12_B004_quality,ppo_final_expansion_224,final_expansion,True,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\stageV_ODB_teacher_metric_extraction\stageV_ppo_final_expansion_224_ODB_metrics.csv,PPO_final_expansion_checkpoint_inference,828a8c6213d9c794,"11,3,1,9,7,5,0,4,2,6,8,10",4.973850536771352e-05,0.1462748348712921,581.501824,surface_t_proxy_max_tensile_mpa,579939456.0,PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,AC YIELD;HFL;NT11;PEEQ;RF;S;U,1200.0,step_final_cooling,quality,final_expansion_batch01,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,stochastic,v01,4,0.7122092001358132,5,5.0,odd_even,final_frame_required_fields_and_metrics_extracted,True,"[11, 3, 1, 9, 7, 5, 0, 4, 2, 6, 8, 10]",203807974,True,3.727272727272727,8.0,5,0.0,41.0,5.107438016528926,-0.3388429752066115,0.352816292147622,5.0,False,False,fresh_v01_checkpoint_inference_lowN_topup,1684,0.0909090909090909,0.2424242424242423,0.7575757575757576,False,False,False,False,False
12,PPOFINAL_N12_B005_quality,PPOFINAL_N12_B005_quality,ppo_final_expansion_224,final_expansion,True,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\stageV_ODB_teacher_metric_extraction\stageV_ppo_final_expansion_224_ODB_metrics.csv,PPO_final_expansion_checkpoint_inference,81db742fcb6d72ea,"11,3,1,5,7,9,0,2,4,6,8,10",3.0935985250835074e-05,0.1510035097599029,583.053952,surface_t_proxy_max_tensile_mpa,579939520.0,PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,AC YIELD;HFL;NT11;PEEQ;RF;S;U,1200.0,step_final_cooling,quality,final_expansion_batch01,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,stochastic,v01,5,0.8466730989428595,4,5.0,odd_even,final_frame_required_fields_and_metrics_extracted,True,"[11, 3, 1, 5, 7, 9, 0, 2, 4, 6, 8, 10]",203806865,True,3.363636363636364,9.0,3,0.0,37.0,6.231404958677686,-0.3057851239669422,0.3318022448375566,4.0,False,False,fresh_v01_checkpoint_inference_lowN_topup,575,0.0909090909090909,0.2424242424242423,0.7575757575757576,False,False,False,False,False
12,PPOFINAL_N12_B006_quality,PPOFINAL_N12_B006_quality,ppo_final_expansion_224,final_expansion,True,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\stageV_ODB_teacher_metric_extraction\stageV_ppo_final_expansion_224_ODB_metrics.csv,PPO_final_expansion_checkpoint_inference,53949277fd9b496e,"3,11,1,9,7,5,0,2,4,6,8,10",3.4965553822985385e-05,0.1495910137891769,583.545024,surface_t_proxy_max_tensile_mpa,579938496.0,PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,AC YIELD;HFL;NT11;PEEQ;RF;S;U,1200.0,step_final_cooling,quality,final_expansion_batch01,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,stochastic,v01,6,0.7101136064897512,4,3.0,odd_even,final_frame_required_fields_and_metrics_extracted,True,"[3, 11, 1, 9, 7, 5, 0, 2, 4, 6, 8, 10]",203806653,True,4.090909090909091,10.0,4,0.0,45.0,8.809917355371901,-0.371900826446281,0.4137183252510074,4.0,False,False,fresh_v01_checkpoint_inference_lowN_topup,363,0.0909090909090909,0.2424242424242423,0.7575757575757576,False,False,False,False,False
12,PPOFINAL_N12_B007_quality,PPOFINAL_N12_B007_quality,ppo_final_expansion_224,final_expansion,True,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\stageV_ODB_teacher_metric_extraction\stageV_ppo_final_expansion_224_ODB_metrics.csv,PPO_final_expansion_checkpoint_inference,0640bd5f828e220b,"1,11,3,9,7,5,0,2,4,6,8,10",2.7381670406612105e-05,0.1498333513736724,584.182208,surface_t_proxy_max_tensile_mpa,579939520.0,PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,AC YIELD;HFL;NT11;PEEQ;RF;S;U,1200.0,step_final_cooling,quality,final_expansion_batch01,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,stochastic,v01,7,0.7101136064897512,3,4.0,odd_even,final_frame_required_fields_and_metrics_extracted,True,"[1, 11, 3, 9, 7, 5, 0, 2, 4, 6, 8, 10]",21460760,True,3.909090909090909,10.0,4,0.0,43.0,7.719008264462812,-0.3553719008264462,0.3895510324886734,3.0,False,False,existing_v01_rollout_pool,153,0.0909090909090909,0.7575757575757577,0.2424242424242424,False,False,False,False,False
12,PPOFINAL_N12_B008_quality,PPOFINAL_N12_B008_quality,ppo_final_expansion_224,final_expansion,True,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\stageV_ODB_teacher_metric_extraction\stageV_ppo_final_expansion_224_ODB_metrics.csv,PPO_final_expansion_checkpoint_inference,a98151af53853134,"11,1,3,9,7,5,0,2,4,8,6,10",3.020446501977858e-05,0.1566016674041748,583.278912,surface_t_proxy_max_tensile_mpa,579939520.0,PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,AC YIELD;HFL;NT11;PEEQ;RF;S;U,1200.0,step_final_cooling,quality,final_expansion_batch01,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,stochastic,v01,8,0.679327198722953,3,8.0,odd_even,final_frame_required_fields_and_metrics_extracted,True,"[11, 1, 3, 9, 7, 5, 0, 2, 4, 8, 6, 10]",21460701,True,3.727272727272727,10.0,5,0.0,41.0,5.834710743801653,-0.3388429752066115,0.3588268105548346,3.0,False,False,existing_v01_rollout_pool,94,0.0909090909090909,0.7575757575757577,0.2424242424242424,False,False,False,False,False
12,PPOFINAL_N12_B009_quality,PPOFINAL_N12_B009_quality,ppo_final_expansion_224,final_expansion,True,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\stageV_ODB_teacher_metric_extraction\stageV_ppo_final_expansion_224_ODB_metrics.csv,PPO_final_expansion_checkpoint_inference,4848e2f9defa673a,"11,3,1,9,7,5,0,2,4,6,10,8",3.309102339699166e-05,0.1537556052207946,582.960512,surface_t_proxy_max_tensile_mpa,579939456.0,PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,AC YIELD;HFL;NT11;PEEQ;RF;S;U,1200.0,step_final_cooling,quality,final_expansion_batch01,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,stochastic,v01,9,0.7636411363514938,5,7.0,odd_even,final_frame_required_fields_and_metrics_extracted,True,"[11, 3, 1, 9, 7, 5, 0, 2, 4, 6, 10, 8]",203806765,True,3.5454545454545454,8.0,4,0.0,39.0,5.338842975206613,-0.3223140495867768,0.339577214671129,5.0,False,False,fresh_v01_checkpoint_inference_lowN_topup,475,0.0909090909090909,0.2424242424242423,0.7575757575757576,False,False,False,False,False
12,PPOFINAL_N12_B010_quality,PPOFINAL_N12_B010_quality,ppo_final_expansion_224,final_expansion,True,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_expansion_224_to_320\stageV_ODB_teacher_metric_extraction\stageV_ppo_final_expansion_224_ODB_metrics.csv,PPO_final_expansion_checkpoint_inference,2552cedaec804bdc,"11,1,3,9,7,5,0,2,6,4,8,10",4.086280432602507e-05,0.1518606096506118,583.27968,surface_t_proxy_max_tensile_mpa,579939456.0,PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,AC YIELD;HFL;NT11;PEEQ;RF;S;U,1200.0,step_final_cooling,quality,final_expansion_batch01,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,stochastic,v01,10,0.6784860971334526,4,5.0,odd_even,final_frame_required_fields_and_metrics_extracted,True,"[11, 1, 3, 9, 7, 5, 0, 2, 6, 4, 8, 10]",21460751,True,3.727272727272727,10.0,5,0.0,41.0,5.834710743801653,-0.3388429752066115,0.3588268105548346,4.0,False,False,existing_v01_rollout_pool,144,0.0909090909090909,0.7575757575757577,0.2424242424242424,False,False,False,False,False
