ppo_version,N,count,best_lex_rank,median_lex_rank,best_U2_rank,best_PEEQ_rank,best_SurfaceT_rank,primary_top25_any,new_primary_records
final_expansion,12,32,7,38.0,7,17,36,13,0
final_expansion,16,32,2,36.0,2,13,53,10,0
final_expansion,24,80,123,139.0,123,11,13,21,0
final_expansion,40,80,147,147.0,147,10,2,29,0
v01,12,8,6,19.5,6,17,46,5,0
v01,16,8,2,24.5,2,50,68,4,0
v01,24,8,134,137.5,134,9,155,3,0
v01,40,8,147,148.0,147,65,95,0,0
v02K2,24,16,114,135.0,114,70,83,0,0
v02K2,40,16,147,147.0,147,168,2,16,0
v03,24,16,139,162.0,139,172,10,5,0
v03,40,16,165,172.0,165,100,97,0,0
