N,statistic,observed,bootstrap_mean,bootstrap_median,bootstrap_q05,bootstrap_q95,empirical_p_value,interpretation,trials
12,top10_U2,6.0,4.1213,4.0,2.0,6.0,0.1584,comparable,10000
12,top25_U2,15.0,10.2616,10.0,7.0,13.0,0.0116,enriched,10000
12,top10_PEEQ,0.0,4.1195,4.0,2.0,6.0,1.0,weak,10000
12,top25_PEEQ,3.0,10.2816,10.0,7.0,13.0,1.0,weak,10000
12,top10_SurfaceT,0.0,4.1282,4.0,2.0,6.0,1.0,weak,10000
12,top25_SurfaceT,0.0,10.2897,10.0,7.0,13.0,1.0,weak,10000
12,top10_lex,6.0,4.1213,4.0,2.0,6.0,0.1584,comparable,10000
12,top25_lex,15.0,10.2616,10.0,7.0,13.0,0.0116,enriched,10000
12,best_lex_rank,6.0,1.9253,1.0,1.0,5.0,0.9873,weak,10000
12,median_lex_rank,30.0,39.4779,39.5,32.5,46.5,0.0117,enriched,10000
12,best_U2_rank,6.0,1.8039,1.0,1.0,5.0,0.9873,weak,10000
12,median_U2_rank,30.0,39.4238,39.5,32.0,46.0,0.012,enriched,10000
12,primary_top25_any_unique,18.0,21.0716,21.0,17.0,25.0,0.9492,comparable,10000
16,top10_U2,6.0,4.0972,4.0,2.0,6.0,0.1474,comparable,10000
16,top25_U2,12.0,10.2626,10.0,7.0,13.0,0.2537,comparable,10000
16,top10_PEEQ,0.0,4.0831,4.0,2.0,6.0,1.0,weak,10000
16,top25_PEEQ,2.0,10.2207,10.0,7.0,13.0,1.0,weak,10000
16,top10_SurfaceT,0.0,4.0858,4.0,2.0,6.0,1.0,weak,10000
16,top25_SurfaceT,0.0,10.2546,10.0,7.0,13.0,1.0,weak,10000
16,top10_lex,6.0,4.0972,4.0,2.0,6.0,0.1474,comparable,10000
16,top25_lex,12.0,10.2626,10.0,7.0,13.0,0.2537,comparable,10000
16,best_lex_rank,2.0,1.9441,1.0,1.0,5.0,0.765,comparable,10000
16,median_lex_rank,34.5,39.4776,39.5,32.5,46.5,0.1363,comparable,10000
16,best_U2_rank,2.0,1.9441,1.0,1.0,5.0,0.765,comparable,10000
16,median_U2_rank,34.5,39.4776,39.5,32.5,46.5,0.1363,comparable,10000
16,primary_top25_any_unique,14.0,18.9554,19.0,15.0,23.0,0.993,weak,10000
24,top10_U2,0.0,11.9954,12.0,9.0,15.0,1.0,weak,10000
24,top25_U2,0.0,30.3125,30.0,25.0,35.0,1.0,weak,10000
24,top10_PEEQ,7.0,11.9982,12.0,9.0,15.0,0.9977,weak,10000
24,top25_PEEQ,16.0,30.3019,30.0,25.950000000000045,35.0,1.0,weak,10000
24,top10_SurfaceT,6.0,11.9887,12.0,9.0,15.0,0.9994,weak,10000
24,top25_SurfaceT,13.0,30.3272,30.0,26.0,35.0,1.0,weak,10000
24,top10_lex,0.0,11.9954,12.0,9.0,15.0,1.0,weak,10000
24,top25_lex,0.0,30.3125,30.0,25.0,35.0,1.0,weak,10000
24,best_lex_rank,114.0,1.5751,1.0,1.0,3.0,1.0,weak,10000
24,median_lex_rank,139.0,95.5262,95.5,87.0,104.0,1.0,weak,10000
24,best_U2_rank,114.0,1.5751,1.0,1.0,3.0,1.0,weak,10000
24,median_U2_rank,139.0,95.5262,95.5,87.0,104.0,1.0,weak,10000
24,primary_top25_any_unique,29.0,68.8523,69.0,63.0,74.0,1.0,weak,10000
40,top10_U2,0.0,12.2396,12.0,9.0,16.0,1.0,weak,10000
40,top25_U2,0.0,30.3405,30.0,25.0,35.0,1.0,weak,10000
40,top10_PEEQ,5.0,12.2482,12.0,9.0,16.0,1.0,weak,10000
40,top25_PEEQ,5.0,30.3094,30.0,25.0,35.0,1.0,weak,10000
40,top10_SurfaceT,39.0,12.2339,12.0,9.0,16.0,0.0,enriched,10000
40,top25_SurfaceT,40.0,30.3165,30.0,25.0,35.0,0.0013,enriched,10000
40,top10_lex,0.0,12.2396,12.0,9.0,16.0,1.0,weak,10000
40,top25_lex,0.0,30.3405,30.0,25.0,35.0,1.0,weak,10000
40,best_lex_rank,147.0,1.7107,1.0,1.0,4.0,1.0,weak,10000
40,median_lex_rank,147.0,103.4075,103.5,93.5,113.5,1.0,weak,10000
40,best_U2_rank,147.0,1.7107,1.0,1.0,4.0,1.0,weak,10000
40,median_U2_rank,147.0,103.4075,103.5,93.5,113.5,1.0,weak,10000
40,primary_top25_any_unique,45.0,54.2267,54.0,48.0,60.0,0.9963,weak,10000
