N,family_keyword,family_count,PPO_count,PPO_best_U2,family_best_U2,PPO_median_U2,family_median_U2,PPO_best_PEEQ,family_best_PEEQ,PPO_best_SurfaceT,family_best_SurfaceT,PPO_best_Mises,family_best_Mises,PPO_best_ref_lex_rank,family_best_ref_lex_rank,PPO_beats_family_best_lex,interpretation
12,raster,1,40,2.5148123313556425e-05,0.0001314298706347,3.6524364304568735e-05,0.0001314298706347,0.1460203379392624,0.172713503241539,581.176448,585.930688,579938304.0,579938304.0,6,76,True,comparison uses label-keyword inventory; do not overclaim if family labels are broad
16,raster,1,40,2.952120985355577e-05,0.0002434928235288,4.634533763692161e-05,0.0002434928235288,0.1491878479719162,0.1752076148986816,581.852224,587.841664,579947264.0,579948288.0,2,76,True,comparison uses label-keyword inventory; do not overclaim if family labels are broad
24,raster,1,120,9.453498660150216e-05,0.0005523721708868,0.0001583312657658,0.0005523721708868,0.1512520015239715,0.1892502903938293,581.186176,587.159872,579943296.0,579944256.0,114,184,True,comparison uses label-keyword inventory; do not overclaim if family labels are broad
40,raster,1,120,0.0003413935019125,0.0015270577277988,0.0005295414883903,0.0015270577277988,0.1497028619050979,0.200013056397438,581.147072,585.953088,579925056.0,579928512.0,147,194,True,comparison uses label-keyword inventory; do not overclaim if family labels are broad
12,odd_even,2,40,2.5148123313556425e-05,4.044348497700412e-05,3.6524364304568735e-05,5.908179673497216e-05,0.1460203379392624,0.1403219699859619,581.176448,581.967424,579938304.0,579939328.0,6,44,True,comparison uses label-keyword inventory; do not overclaim if family labels are broad
16,odd_even,2,40,2.952120985355577e-05,4.9715717977960594e-05,4.634533763692161e-05,8.360301694663029e-05,0.1491878479719162,0.1519810110330581,581.852224,581.33728,579947264.0,579947520.0,2,42,True,comparison uses label-keyword inventory; do not overclaim if family labels are broad
24,odd_even,2,120,9.453498660150216e-05,8.360300034837564e-05,0.0001583312657658,0.00015763282499388782,0.1512520015239715,0.1549861133098602,581.186176,581.204672,579943296.0,579943936.0,114,102,False,comparison uses label-keyword inventory; do not overclaim if family labels are broad
40,odd_even,2,120,0.0003413935019125,0.0001595688736415,0.0005295414883903,0.00041534837612285,0.1497028619050979,0.1578081995248794,581.147072,581.541824,579925056.0,579925760.0,147,111,False,comparison uses label-keyword inventory; do not overclaim if family labels are broad
12,edge_in,1,40,2.5148123313556425e-05,0.0001012890104448,3.6524364304568735e-05,0.0001012890104448,0.1460203379392624,0.175326257944107,581.176448,580.798976,579938304.0,579937984.0,6,73,True,comparison uses label-keyword inventory; do not overclaim if family labels are broad
16,edge_in,1,40,2.952120985355577e-05,0.0002053208902452,4.634533763692161e-05,0.0002053208902452,0.1491878479719162,0.1797565519809723,581.852224,581.764096,579947264.0,579947776.0,2,73,True,comparison uses label-keyword inventory; do not overclaim if family labels are broad
