N,criterion,strategy_name,ppo_version,ref_rank,u2_range,peeq_max,surface_t_proxy_mpa,mises_max,new_record_primary_or_metric
12,primary_lex,PPOV01_N12_B08_stochastic_highreward,v01,6,2.5148123313556425e-05,0.1490274965763092,583.065856,579939456.0,False
12,U2,PPOV01_N12_B08_stochastic_highreward,v01,6,2.5148123313556425e-05,0.1490274965763092,583.065856,579939456.0,False
12,PEEQ,PPOV01_N12_B07_novelty_tophalf,v01,17,4.105954440092319e-05,0.1460365504026413,581.601088,579939456.0,False
12,SurfaceT,PPOFINAL_N12_B037_efficiency,final_expansion,36,3.49852616636781e-05,0.1472579389810562,581.176448,579938560.0,False
12,Mises_diagnostic,PPOFINAL_N12_B034_diversity,final_expansion,5,6.472133236457012e-05,0.1625674664974212,584.972032,579938304.0,False
16,primary_lex,PPOV01_N16_B01_deterministic,v01,2,3.2194235018323525e-05,0.1535855084657669,584.222272,579948288.0,False
16,U2,PPOV01_N16_B01_deterministic,v01,2,3.2194235018323525e-05,0.1535855084657669,584.222272,579948288.0,False
16,PEEQ,PPOFINAL_N16_B029_diversity,final_expansion,13,7.014406241978577e-05,0.1491878479719162,581.859072,579948224.0,False
16,SurfaceT,PPOFINAL_N16_B020_quality,final_expansion,53,5.976708689559018e-05,0.1537493914365768,581.852224,579948352.0,False
16,Mises_diagnostic,PPOFINAL_N16_B058_novelty,final_expansion,9,9.370925590701518e-05,0.1566376239061355,581.920768,579947264.0,False
24,primary_lex,PPOV02_N24_B16_novelty_tophalf,v02K2,114,9.453498660150216e-05,0.1568864583969116,582.455296,579944256.0,False
24,U2,PPOV02_N24_B16_novelty_tophalf,v02K2,114,9.453498660150216e-05,0.1568864583969116,582.455296,579944256.0,False
24,PEEQ,PPOV01_N24_B07_novelty_tophalf,v01,9,0.0001893580988507,0.1512520015239715,584.889728,579944320.0,False
24,SurfaceT,PPOV03_N24_B08_u2_guarded,v03,10,0.0003002565847509,0.1727893352508545,581.186176,579944448.0,False
24,Mises_diagnostic,PPOV02_N24_B07_conservative_top,v02K2,9,0.0001466702935886,0.1569990962743759,582.414528,579943296.0,False
40,primary_lex,PPOV01_N40_B03_surrogate_top,v01,147,0.0005280987975311,0.1539924144744873,586.02112,579925568.0,False
40,U2,PPOV01_N40_B03_surrogate_top,v01,147,0.0005280987975311,0.1539924144744873,586.02112,579925568.0,False
40,PEEQ,PPOFINAL_N40_B170_quality,final_expansion,10,0.0004900103706404,0.1497028619050979,586.018624,579926592.0,False
40,SurfaceT,PPOV02K2_N40_B03_top_reward,v02K2,2,0.0004007218865353,0.1655736118555069,581.264,579926912.0,False
40,Mises_diagnostic,PPOFINAL_N40_B178_diversity,final_expansion,11,0.0005678904387877,0.1672926992177963,585.838912,579925056.0,False
