command_index,n,strategy_name,case_dir,inp_path,inp_exists,odb_exists,sim_exists,sta_exists,dat_exists,msg_exists,lck_exists,sta_success_marker,failure_keywords,sta_tail,msg_tail,dat_tail,status
1,12,PPOV01_N12_B01_deterministic,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N12_PPOV01_N12_B01_deterministic,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N12_PPOV01_N12_B01_deterministic\J2D_PPOV01_N12_B01_deterministic.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
2,12,PPOV01_N12_B02_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N12_PPOV01_N12_B02_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N12_PPOV01_N12_B02_surrogate_top\J2D_PPOV01_N12_B02_surrogate_top.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
3,12,PPOV01_N12_B03_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N12_PPOV01_N12_B03_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N12_PPOV01_N12_B03_surrogate_top\J2D_PPOV01_N12_B03_surrogate_top.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
4,12,PPOV01_N12_B04_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N12_PPOV01_N12_B04_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N12_PPOV01_N12_B04_surrogate_top\J2D_PPOV01_N12_B04_surrogate_top.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
5,12,PPOV01_N12_B05_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N12_PPOV01_N12_B05_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N12_PPOV01_N12_B05_diverse_tophalf\J2D_PPOV01_N12_B05_diverse_tophalf.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
6,12,PPOV01_N12_B06_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N12_PPOV01_N12_B06_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N12_PPOV01_N12_B06_diverse_tophalf\J2D_PPOV01_N12_B06_diverse_tophalf.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
7,12,PPOV01_N12_B07_novelty_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N12_PPOV01_N12_B07_novelty_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N12_PPOV01_N12_B07_novelty_tophalf\J2D_PPOV01_N12_B07_novelty_tophalf.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
8,12,PPOV01_N12_B08_stochastic_highreward,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N12_PPOV01_N12_B08_stochastic_highreward,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N12_PPOV01_N12_B08_stochastic_highreward\J2D_PPOV01_N12_B08_stochastic_highreward.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
9,16,PPOV01_N16_B01_deterministic,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N16_PPOV01_N16_B01_deterministic,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N16_PPOV01_N16_B01_deterministic\J2D_PPOV01_N16_B01_deterministic.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
10,16,PPOV01_N16_B02_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N16_PPOV01_N16_B02_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N16_PPOV01_N16_B02_surrogate_top\J2D_PPOV01_N16_B02_surrogate_top.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
