n,statistic,observed_PPO_value,bootstrap_mean,bootstrap_median,bootstrap_q05,bootstrap_q95,empirical_p_value_greater_equal,interpretation,bootstrap_trials,comparison_scope
12,top10pct_lex_count,3.0,0.8272,1.0,0.0,2.0,0.034996500349965,PPO enriched,10000,random draws from existing same-N combined552 reference distribution
12,top25pct_lex_count,4.0,2.0625,2.0,0.0,4.0,0.11288871112888711,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
12,best_lex_rank,6.0,8.772,7.0,1.0,24.0,0.48825117488251174,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
12,median_lex_rank,19.5,39.4524,39.5,21.0,58.0,0.0370962903709629,PPO enriched,10000,random draws from existing same-N combined552 reference distribution
12,top10pct_u2_range_count,3.0,0.8272,1.0,0.0,2.0,0.034996500349965,PPO enriched,10000,random draws from existing same-N combined552 reference distribution
12,top25pct_u2_range_count,4.0,2.0625,2.0,0.0,4.0,0.11288871112888711,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
12,best_u2_range_rank,6.0,8.6883,7.0,1.0,24.0,0.48825117488251174,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
12,top10pct_peeq_max_count,0.0,0.8232,1.0,0.0,2.0,1.0,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
12,top25pct_peeq_max_count,1.0,2.0534,2.0,0.0,4.0,0.9216078392160784,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
12,best_peeq_max_rank,17.0,8.6566,7.0,1.0,23.0,0.8776122387761224,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
12,top10pct_surface_t_proxy_count,0.0,0.8167,1.0,0.0,2.0,1.0,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
12,top25pct_surface_t_proxy_count,0.0,2.0415,2.0,0.0,4.0,1.0,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
12,best_surface_t_proxy_rank,46.0,8.7892,7.0,1.0,24.0,0.9997000299970003,PPO weak,10000,random draws from existing same-N combined552 reference distribution
12,top10pct_mises_max_count,0.0,0.9398,1.0,0.0,2.0,1.0,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
12,top25pct_mises_max_count,1.0,2.0543,2.0,0.0,4.0,0.9194080591940806,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
12,best_mises_max_rank,17.0,7.6735,5.0,1.0,24.0,0.9194080591940806,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
12,any_primary_or_lex_top25_count,5.0,4.2095,4.0,2.0,6.0,0.4203579642035796,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
16,top10pct_lex_count,2.0,0.8259,1.0,0.0,2.0,0.18708129187081293,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
16,top25pct_lex_count,4.0,2.0567,2.0,0.0,4.0,0.11608839116088392,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
16,best_lex_rank,2.0,8.7687,7.0,1.0,24.0,0.20207979202079793,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
16,median_lex_rank,24.5,39.477,39.5,21.5,58.0,0.10178982101789821,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
16,top10pct_u2_range_count,2.0,0.8259,1.0,0.0,2.0,0.18708129187081293,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
16,top25pct_u2_range_count,4.0,2.0567,2.0,0.0,4.0,0.11608839116088392,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
16,best_u2_range_rank,2.0,8.7466,7.0,1.0,24.0,0.20207979202079793,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
16,top10pct_peeq_max_count,0.0,0.8124,1.0,0.0,2.0,1.0,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
16,top25pct_peeq_max_count,0.0,2.0553,2.0,0.0,4.0,1.0,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
16,best_peeq_max_rank,50.0,8.7963,7.0,1.0,24.0,0.9997000299970003,PPO weak,10000,random draws from existing same-N combined552 reference distribution
16,top10pct_surface_t_proxy_count,0.0,0.8266,1.0,0.0,2.0,1.0,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
16,top25pct_surface_t_proxy_count,0.0,2.0485,2.0,0.0,4.0,1.0,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
16,best_surface_t_proxy_rank,68.0,8.7786,7.0,1.0,24.0,1.0,PPO weak,10000,random draws from existing same-N combined552 reference distribution
16,top10pct_mises_max_count,0.0,0.8192,1.0,0.0,2.0,1.0,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
16,top25pct_mises_max_count,0.0,2.0522,2.0,0.0,4.0,1.0,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
16,best_mises_max_rank,36.0,7.9235,6.0,1.0,21.0,0.9961003899610039,PPO weak,10000,random draws from existing same-N combined552 reference distribution
16,any_primary_or_lex_top25_count,4.0,3.8117,4.0,2.0,6.0,0.5856414358564144,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
24,top10pct_lex_count,0.0,0.7942,1.0,0.0,2.0,1.0,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
24,top25pct_lex_count,0.0,2.0275,2.0,0.0,4.0,1.0,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
24,best_lex_rank,134.0,21.217,16.0,2.0,59.0,1.0,PPO weak,10000,random draws from existing same-N combined552 reference distribution
24,median_lex_rank,137.5,95.5351,95.5,49.5,141.0,0.934906509349065,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
24,top10pct_u2_range_count,0.0,0.7942,1.0,0.0,2.0,1.0,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
24,top25pct_u2_range_count,0.0,2.0275,2.0,0.0,4.0,1.0,PPO comparable,10000,random draws from existing same-N combined552 reference distribution
24,best_u2_range_rank,134.0,21.1946,16.0,2.0,59.0,1.0,PPO weak,10000,random draws from existing same-N combined552 reference distribution
