n,order_json,order_compact,order_hash,ppo_v02_checkpoint,ppo_seed,rollout_seed,ppo_generation_mode,predicted_reward,mean_pred_reward,std_pred_reward,conservative_reward,duplicate_vs_training_reference,minimum_hamming_distance_to_training_reference,mean_hamming_distance_to_training_reference,candidate_source,teacher_validated,abaqus_validated,mean_abs_jump,max_abs_jump,adjacent_fraction,parity_switch_fraction,early_center_bias,early_edge_bias,early_spread_proxy
24,"[21,17,3,7,9,13,5,1,11,15,19,23,0,2,18,20,22,4,8,10,12,14,6,16]","21,17,3,7,9,13,5,1,11,15,19,23,0,2,18,20,22,4,8,10,12,14,6,16",ff37fba1e29bb951,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,20260624,deterministic,0.6618605894466809,0.6517927391699224,0.027638989889729952,0.6379732442250574,False,18,22.494949494949495,PPO_v02_checkpoint_inference,False,False,6.6521739130434785,23.0,0.0,0.043478260869565216,0.46376811594202905,0.5362318840579711,0.782608695652174
24,"[21,17,3,7,9,13,11,5,15,1,23,19,0,2,18,20,22,4,8,10,12,14,6,16]","21,17,3,7,9,13,11,5,15,1,23,19,0,2,18,20,22,4,8,10,12,14,6,16",cfda26ea48c2eb9a,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660624,stochastic,0.6554263196367985,0.6433991290125313,0.023261013639012437,0.6317686221930251,False,18,22.833333333333332,PPO_v02_checkpoint_inference,False,False,7.521739130434782,22.0,0.0,0.043478260869565216,0.46376811594202905,0.5362318840579711,0.782608695652174
24,"[21,17,3,9,7,13,11,5,23,15,1,19,0,2,18,22,20,4,8,10,12,14,6,16]","21,17,3,9,7,13,11,5,23,15,1,19,0,2,18,22,20,4,8,10,12,14,6,16",e088c0e38ddc289a,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660625,stochastic,0.6580966550954821,0.6337156510499442,0.02826900056071927,0.6195811507695845,False,18,23.1010101010101,PPO_v02_checkpoint_inference,False,False,8.043478260869565,19.0,0.0,0.043478260869565216,0.46376811594202905,0.5362318840579711,0.782608695652174
24,"[21,3,17,13,7,9,5,1,15,19,11,23,0,2,20,18,22,4,8,10,12,14,6,16]","21,3,17,13,7,9,5,1,15,19,11,23,0,2,20,18,22,4,8,10,12,14,6,16",56535f5eab2b36a8,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660626,stochastic,0.645910819955591,0.6287583261866431,0.024327138052653872,0.6165947571603161,False,19,22.904040404040405,PPO_v02_checkpoint_inference,False,False,8.043478260869565,23.0,0.0,0.043478260869565216,0.463768115942029,0.5362318840579711,0.782608695652174
24,"[21,17,3,9,7,13,5,11,1,19,15,0,23,18,20,2,22,4,8,10,12,6,14,16]","21,17,3,9,7,13,5,11,1,19,15,0,23,18,20,2,22,4,8,10,12,6,14,16",45d4a070a9989a0f,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660627,stochastic,0.6048518980486951,0.5958277435458836,0.0062600509996989535,0.5926977180460341,False,19,22.353535353535353,PPO_v02_checkpoint_inference,False,False,8.826086956521738,23.0,0.0,0.13043478260869565,0.46376811594202905,0.5362318840579711,0.782608695652174
24,"[21,7,17,3,9,13,5,11,1,19,15,23,18,0,2,20,22,4,8,10,12,14,6,16]","21,7,17,3,9,13,5,11,1,19,15,23,18,0,2,20,22,4,8,10,12,14,6,16",dc884e493b3d4d4e,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660628,stochastic,0.6584063149708338,0.6433495272177226,0.02437195414661737,0.6311635501444139,False,18,21.98989898989899,PPO_v02_checkpoint_inference,False,False,8.391304347826088,18.0,0.0,0.043478260869565216,0.46376811594202905,0.5362318840579711,0.782608695652174
24,"[21,17,3,7,9,13,1,11,5,15,19,23,0,2,18,20,22,4,8,10,12,14,6,16]","21,17,3,7,9,13,1,11,5,15,19,23,0,2,18,20,22,4,8,10,12,14,6,16",0196783de025f848,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660629,stochastic,0.6618605894466809,0.6422878190715056,0.032244792121132994,0.626165423010939,False,17,22.7020202020202,PPO_v02_checkpoint_inference,False,False,7.173913043478261,23.0,0.0,0.043478260869565216,0.46376811594202905,0.5362318840579711,0.782608695652174
24,"[21,17,3,7,9,13,5,1,11,15,19,23,0,2,18,20,22,4,8,10,12,6,14,16]","21,17,3,7,9,13,5,1,11,15,19,23,0,2,18,20,22,4,8,10,12,6,14,16",1136b34c81d35221,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660630,stochastic,0.6618605894466809,0.6500225558517252,0.02806032345474866,0.6359923941243508,False,19,22.494949494949495,PPO_v02_checkpoint_inference,False,False,6.478260869565218,23.0,0.0,0.043478260869565216,0.46376811594202905,0.5362318840579711,0.782608695652174
24,"[21,17,3,7,9,13,11,5,1,15,19,23,0,2,18,22,20,4,8,10,12,14,6,16]","21,17,3,7,9,13,11,5,1,15,19,23,0,2,18,22,20,4,8,10,12,14,6,16",e77910281f03974b,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660631,stochastic,0.6600199010313651,0.6473997572099175,0.024681029028933762,0.6350592426954507,False,18,22.525252525252526,PPO_v02_checkpoint_inference,False,False,6.6521739130434785,23.0,0.0,0.043478260869565216,0.46376811594202905,0.5362318840579711,0.782608695652174
24,"[21,17,3,7,9,13,5,1,11,15,23,19,0,2,20,18,22,4,8,10,12,14,6,16]","21,17,3,7,9,13,5,1,11,15,23,19,0,2,20,18,22,4,8,10,12,14,6,16",071e7a27e68934ef,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660632,stochastic,0.6584063149708338,0.64704630137428,0.024433947729864455,0.6348293275093477,False,17,22.661616161616163,PPO_v02_checkpoint_inference,False,False,6.826086956521739,19.0,0.0,0.043478260869565216,0.46376811594202905,0.5362318840579711,0.782608695652174
