strategy_name,n,order_hash,duplicate_vs_training_reference,minimum_hamming_distance_to_training_reference,mean_hamming_distance_to_training_reference
PPOV02_N24_B01_deterministic,24,ff37fba1e29bb951,False,18,22.494949494949495
PPOV02_N24_B02_conservative_top,24,0ff174d17e9a1393,False,17,22.67676767676768
PPOV02_N24_B03_conservative_top,24,c8f6c3a9e447340c,False,16,22.62121212121212
PPOV02_N24_B04_conservative_top,24,25710a3b8b1e15d8,False,18,22.67676767676768
PPOV02_N24_B05_conservative_top,24,c24bc45fe2056c79,False,18,22.595959595959595
PPOV02_N24_B06_conservative_top,24,5a3e5b67b567e659,False,18,22.373737373737374
PPOV02_N24_B07_conservative_top,24,d8c8080ed994dc75,False,19,22.42929292929293
PPOV02_N24_B08_conservative_top,24,2016af1b67bc04b5,False,17,22.439393939393938
PPOV02_N24_B09_diverse_tophalf,24,ff6181ae5f5a3b35,False,17,22.257575757575758
PPOV02_N24_B10_diverse_tophalf,24,47760e25947f63f9,False,17,21.96969696969697
PPOV02_N24_B11_diverse_tophalf,24,0c749c8bf0d90074,False,18,22.07070707070707
PPOV02_N24_B12_diverse_tophalf,24,3995ed2b0c2db6cc,False,18,22.782828282828284
PPOV02_N24_B13_diverse_tophalf,24,12d8d508bf9c0aa0,False,17,22.196969696969695
PPOV02_N24_B14_novelty_tophalf,24,e9785cdd94f93113,False,20,22.656565656565657
PPOV02_N24_B15_novelty_tophalf,24,0b587b2305dd8692,False,20,22.843434343434343
PPOV02_N24_B16_novelty_tophalf,24,c13cf1f80061e36e,False,20,22.67676767676768
PPOV02_N40_B01_deterministic,40,8d66c1d7ed951690,False,36,39.481308411214954
PPOV02_N40_B02_conservative_top,40,4d8c96bc236fcb62,False,36,39.08411214953271
PPOV02_N40_B03_conservative_top,40,b166109fdc67be42,False,36,39.35981308411215
PPOV02_N40_B04_conservative_top,40,f0a14a5437e3fefa,False,35,39.47663551401869
PPOV02_N40_B05_conservative_top,40,ee0570bd9c43a36e,False,36,39.518691588785046
PPOV02_N40_B06_conservative_top,40,bae31b7aff58d4ea,False,35,38.96261682242991
PPOV02_N40_B07_conservative_top,40,3f2cfdacf6e92cb6,False,35,39.10747663551402
PPOV02_N40_B08_conservative_top,40,f7f76142a99fdfd2,False,35,38.46261682242991
PPOV02_N40_B09_diverse_tophalf,40,05257546ce15a43a,False,35,39.48598130841121
PPOV02_N40_B10_diverse_tophalf,40,88cf13f4497950e3,False,36,39.10280373831776
PPOV02_N40_B11_diverse_tophalf,40,8466fa27c9f6a4e7,False,36,38.43457943925234
PPOV02_N40_B12_diverse_tophalf,40,0742f89cec8318b3,False,36,38.677570093457945
PPOV02_N40_B13_diverse_tophalf,40,caf16b59ff1cb000,False,35,38.2803738317757
PPOV02_N40_B14_novelty_tophalf,40,d2dbe8523a70feb4,False,37,39.574766355140184
PPOV02_N40_B15_novelty_tophalf,40,63b16bde2ee06c78,False,37,39.05140186915888
PPOV02_N40_B16_novelty_tophalf,40,eb2394b56b93fef0,False,37,39.23364485981308
