dataset_source,teacher_metric_extracted,n,strategy_name,source_strategy_name,order_json,order_compact,order_hash,u2_range,peeq_max,surface_t_proxy,mises_max,teacher_validation_status,ppo_v01_predicted_surrogate_reward_lex,duplicate_vs_combined552,duplicate_role
ppo_v01_teacher_validated,True,24,ppo_v01::PPOV01_N24_B01_deterministic,PPOV01_N24_B01_deterministic,"[11,1,3,15,23,21,19,17,13,9,7,5,0,2,6,8,4,10,16,18,20,22,14,12]","11,1,3,15,23,21,19,17,13,9,7,5,0,2,6,8,4,10,16,18,20,22,14,12",df821abc1c971d88,0.0001435850494999,0.1531748324632644,585510336.0,579944384.0,PASS_TEACHER_FIELDS_EXTRACTED,0.8505618707512,False,
ppo_v01_teacher_validated,True,24,ppo_v01::PPOV01_N24_B02_surrogate_top,PPOV01_N24_B02_surrogate_top,"[11,3,1,15,23,21,13,17,19,22,9,7,5,0,2,4,6,8,10,12,16,20,18,14]","11,3,1,15,23,21,13,17,19,22,9,7,5,0,2,4,6,8,10,12,16,20,18,14",439833e86223ed31,0.0001335984698016,0.1572492122650146,585545088.0,579943488.0,PASS_TEACHER_FIELDS_EXTRACTED,1.0091418759102673,False,
ppo_v01_teacher_validated,True,24,ppo_v01::PPOV01_N24_B03_surrogate_top,PPOV01_N24_B03_surrogate_top,"[11,1,3,15,21,23,19,17,13,22,9,7,5,0,2,6,8,4,10,12,16,18,20,14]","11,1,3,15,21,23,19,17,13,22,9,7,5,0,2,6,8,4,10,12,16,18,20,14",6c63f73cf47f85c7,0.0001460576495446,0.1596533060073852,585735488.0,579943552.0,PASS_TEACHER_FIELDS_EXTRACTED,0.9761133439198456,False,
ppo_v01_teacher_validated,True,24,ppo_v01::PPOV01_N24_B04_surrogate_top,PPOV01_N24_B04_surrogate_top,"[11,3,1,15,23,21,13,17,22,19,9,7,5,0,2,6,8,4,10,12,16,18,20,14]","11,3,1,15,23,21,13,17,22,19,9,7,5,0,2,6,8,4,10,12,16,18,20,14",30e6b90605fe207b,0.0001760356522026,0.1579391360282898,585611968.0,579944256.0,PASS_TEACHER_FIELDS_EXTRACTED,0.953713022597192,False,
ppo_v01_teacher_validated,True,24,ppo_v01::PPOV01_N24_B05_diverse_tophalf,PPOV01_N24_B05_diverse_tophalf,"[11,3,1,15,21,23,19,13,9,7,17,5,0,2,6,8,10,4,12,16,18,20,22,14]","11,3,1,15,21,23,19,13,9,7,17,5,0,2,6,8,10,4,12,16,18,20,22,14",a8f881f2ef3f71e2,0.0001951592737441,0.1526614278554916,584139200.0,579944640.0,PASS_TEACHER_FIELDS_EXTRACTED,0.8320582604183068,False,
ppo_v01_teacher_validated,True,24,ppo_v01::PPOV01_N24_B06_diverse_tophalf,PPOV01_N24_B06_diverse_tophalf,"[11,1,3,15,23,19,13,21,17,9,7,5,0,6,2,4,8,10,12,16,22,20,18,14]","11,1,3,15,23,19,13,21,17,9,7,5,0,6,2,4,8,10,12,16,22,20,18,14",323fc92635a0ad11,0.0001617728407836,0.156264066696167,585511232.0,579944384.0,PASS_TEACHER_FIELDS_EXTRACTED,0.8246623968805307,False,
ppo_v01_teacher_validated,True,24,ppo_v01::PPOV01_N24_B07_novelty_tophalf,PPOV01_N24_B07_novelty_tophalf,"[11,3,1,15,23,21,19,13,7,17,9,5,0,2,6,8,4,10,16,18,22,20,14,12]","11,3,1,15,23,21,19,13,7,17,9,5,0,2,6,8,4,10,16,18,22,20,14,12",6e9031851c4fd19e,0.0001893580988507,0.1512520015239715,584889728.0,579944320.0,PASS_TEACHER_FIELDS_EXTRACTED,0.8327216689462228,False,
ppo_v01_teacher_validated,True,24,ppo_v01::PPOV01_N24_B08_stochastic_highreward,PPOV01_N24_B08_stochastic_highreward,"[11,1,3,15,21,23,19,17,9,22,13,7,5,0,2,6,4,8,10,12,16,18,20,14]","11,1,3,15,21,23,19,17,9,22,13,7,5,0,2,6,4,8,10,12,16,18,20,14",f61d232781754d8e,0.0001286480594444,0.1618060618638992,585438848.0,579943552.0,PASS_TEACHER_FIELDS_EXTRACTED,0.9434726121127124,False,
stage3_native_combined552,True,24,N24_A01_raster_left_to_right,N24_A01_raster_left_to_right,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",nan,0.0005523721708868,0.1892502903938293,587159872.0,579944256.0,PASS_ODB_EXTRACTED,,,
stage3_native_combined552,True,24,N24_A02_odd_even_interlaced,N24_A02_odd_even_interlaced,"[0,2,4,6,8,10,12,14,16,18,20,22,1,3,5,7,9,11,13,15,17,19,21,23]","0,2,4,6,8,10,12,14,16,18,20,22,1,3,5,7,9,11,13,15,17,19,21,23",nan,8.360300034837564e-05,0.1549861133098602,586226112.0,579943936.0,PASS_ODB_EXTRACTED,,,
