n,order_json,order_compact,order_hash,ppo_checkpoint,ppo_seed,rollout_seed,ppo_generation_mode,predicted_reward,mean_pred_reward,std_pred_reward,conservative_reward,duplicate_vs_combined552_plus_v01_training,duplicate_vs_stageK_N40_selected,minimum_hamming_to_training_reference,minimum_hamming_to_stageK_N40,candidate_source,teacher_validated,abaqus_validated,mean_abs_jump,max_abs_jump,adjacent_fraction,parity_switch_fraction,early_center_bias,early_edge_bias,early_spread_proxy
40,"[37,35,29,20,24,26,30,25,23,19,17,13,11,9,7,5,3,1,0,2,4,6,8,10,14,16,18,12,15,21,22,28,34,38,36,32,27,31,33,39]","37,35,29,20,24,26,30,25,23,19,17,13,11,9,7,5,3,1,0,2,4,6,8,10,14,16,18,12,15,21,22,28,34,38,36,32,27,31,33,39",bcf2d41b8aa56c9f,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,20260624,deterministic,0.5696744620500784,0.6605218842152257,0.053756565470048194,0.6336436014802016,False,False,33,32,PPO_v02K2_checkpoint_inference,False,False,3.3333333333333335,9.0,0.05128205128205128,0.15384615384615385,0.37948717948717947,0.6205128205128205,0.46153846153846156
40,"[37,35,29,24,20,30,26,23,25,19,17,13,9,11,7,5,3,1,0,2,6,4,8,10,18,16,12,14,15,21,22,28,32,38,36,34,31,27,33,39]","37,35,29,24,20,30,26,23,25,19,17,13,9,11,7,5,3,1,0,2,6,4,8,10,18,16,12,14,15,21,22,28,32,38,36,34,31,27,33,39",a74c3a62e5b9f0ce,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521252,stochastic,0.5204444053208135,0.6384150037197808,0.07179225373490039,0.6025188768523306,False,False,34,34,PPO_v02K2_checkpoint_inference,False,False,3.641025641025641,10.0,0.07692307692307693,0.15384615384615385,0.37948717948717947,0.6205128205128205,0.46153846153846156
40,"[37,35,29,24,20,30,26,25,23,19,17,13,11,9,7,5,1,3,0,2,4,6,8,10,18,16,14,12,15,21,22,28,34,38,36,32,27,31,33,39]","37,35,29,24,20,30,26,25,23,19,17,13,11,9,7,5,1,3,0,2,4,6,8,10,18,16,14,12,15,21,22,28,34,38,36,32,27,31,33,39",8544d5c960f06b1d,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521253,stochastic,0.5549451584507042,0.6399538234361144,0.05072769258993576,0.6145899771411465,False,False,35,31,PPO_v02K2_checkpoint_inference,False,False,3.4358974358974357,10.0,0.05128205128205128,0.15384615384615385,0.3794871794871794,0.6205128205128204,0.46153846153846156
40,"[37,35,29,20,24,26,30,25,23,19,17,13,11,9,7,5,1,3,6,8,4,0,2,10,14,16,18,12,15,21,22,28,34,36,38,32,27,31,33,39]","37,35,29,20,24,26,30,25,23,19,17,13,11,9,7,5,1,3,6,8,4,0,2,10,14,16,18,12,15,21,22,28,34,36,38,32,27,31,33,39",6f79cf8de21c5a04,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521254,stochastic,0.5532560935054774,0.6427835323292433,0.052432047259826385,0.6165675086993302,False,False,33,34,PPO_v02K2_checkpoint_inference,False,False,3.6923076923076925,9.0,0.02564102564102564,0.15384615384615385,0.37948717948717947,0.6205128205128205,0.46153846153846156
40,"[37,35,24,29,26,20,30,23,25,19,17,13,11,9,7,5,1,3,2,0,6,4,8,10,14,18,16,12,15,21,22,28,34,32,38,36,33,31,27,39]","37,35,24,29,26,20,30,23,25,19,17,13,11,9,7,5,1,3,2,0,6,4,8,10,14,18,16,12,15,21,22,28,34,32,38,36,33,31,27,39",fd5e0b70ef45ac6d,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521255,stochastic,0.4595014280125197,0.5600843330787262,0.0642874338199909,0.5279406161687308,False,False,32,31,PPO_v02K2_checkpoint_inference,False,False,4.0,12.0,0.05128205128205128,0.20512820512820512,0.37948717948717947,0.6205128205128205,0.46153846153846156
40,"[37,35,29,24,20,30,26,25,23,19,17,13,7,5,11,9,1,3,6,0,2,4,8,10,14,18,16,12,15,21,22,28,32,34,38,36,31,27,33,39]","37,35,29,24,20,30,26,25,23,19,17,13,7,5,11,9,1,3,6,0,2,4,8,10,14,18,16,12,15,21,22,28,32,34,38,36,31,27,33,39",7115a7a2823adc32,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521256,stochastic,0.5343369816118936,0.6287230406887436,0.055963731775144326,0.6007411748011715,False,False,34,33,PPO_v02K2_checkpoint_inference,False,False,3.8974358974358974,10.0,0.05128205128205128,0.15384615384615385,0.3794871794871794,0.6205128205128204,0.46153846153846156
40,"[37,35,29,24,20,26,30,23,25,19,17,13,9,11,7,5,1,3,6,0,2,4,8,10,12,16,18,14,15,21,28,27,22,34,38,36,32,31,33,39]","37,35,29,24,20,26,30,23,25,19,17,13,9,11,7,5,1,3,6,0,2,4,8,10,12,16,18,14,15,21,28,27,22,34,38,36,32,31,33,39",aefe71d5da4ea7b6,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521257,stochastic,0.4691155712050079,0.5719989505725355,0.06658925047063888,0.538704325337216,False,False,34,35,PPO_v02K2_checkpoint_inference,False,False,3.7948717948717947,12.0,0.07692307692307693,0.20512820512820512,0.37948717948717947,0.6205128205128205,0.46153846153846156
40,"[37,35,29,20,24,26,30,23,18,19,17,13,9,11,7,5,3,1,2,6,4,0,10,8,14,16,12,15,21,25,22,32,34,38,36,28,31,27,33,39]","37,35,29,20,24,26,30,23,18,19,17,13,9,11,7,5,3,1,2,6,4,0,10,8,14,16,12,15,21,25,22,32,34,38,36,28,31,27,33,39",271d2cc12ca29168,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521258,stochastic,0.45232607589984364,0.5671424367323679,0.06657463063296849,0.5338551214158836,False,False,34,33,PPO_v02K2_checkpoint_inference,False,False,4.051282051282051,10.0,0.05128205128205128,0.20512820512820512,0.358974358974359,0.6410256410256411,0.48717948717948717
40,"[37,35,29,24,20,30,26,25,23,19,17,13,11,9,7,5,3,1,2,0,4,6,8,10,12,14,18,16,15,21,22,28,38,36,34,32,27,31,33,39]","37,35,29,24,20,30,26,25,23,19,17,13,11,9,7,5,3,1,2,0,4,6,8,10,12,14,18,16,15,21,22,28,38,36,34,32,27,31,33,39",6d1dbe79e664f70d,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521259,stochastic,0.5487636248043818,0.6283614036043199,0.05215538730424525,0.6022837099521973,False,False,35,34,PPO_v02K2_checkpoint_inference,False,False,3.230769230769231,10.0,0.10256410256410256,0.15384615384615385,0.3794871794871794,0.6205128205128204,0.46153846153846156
40,"[37,35,29,24,20,26,30,25,23,19,17,13,11,7,5,9,1,3,6,0,2,4,10,8,14,18,16,12,15,21,22,28,34,38,36,32,27,31,33,39]","37,35,29,24,20,26,30,25,23,19,17,13,11,7,5,9,1,3,6,0,2,4,10,8,14,18,16,12,15,21,22,28,34,38,36,32,27,31,33,39",f77c824730218138,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521260,stochastic,0.5189293720657276,0.6524090901773839,0.0858395200773422,0.6094893301387128,False,False,34,33,PPO_v02K2_checkpoint_inference,False,False,3.8974358974358974,8.0,0.02564102564102564,0.15384615384615385,0.3794871794871794,0.6205128205128204,0.46153846153846156
