n,strategy_name,inp_path,cae_path,inp_exists,cae_exists,inp_size_bytes,cae_size_bytes,node_entry_count,element_entry_count,scan_sequence_complete,cool_sequence_complete,step_final_cooling_exists,final_cooling_controls_visible,final_cooling_after_last_cool,heat_flux_entries_exist,all_expected_heat_sets_present,heat_order_text_verified,output_fields_U_PEEQ_S_NT11_visible,n40_cool_initialInc_0p001_verified,solver_output_count,verdict,notes
24,PPOV02_N24_B01_deterministic,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B01_deterministic\J2D_PPOV02_N24_B01_deterministic.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B01_deterministic\J2D_PPOV02_N24_B01_deterministic.cae,True,True,84573,225280,735,624,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
24,PPOV02_N24_B02_conservative_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B02_conservative_top\J2D_PPOV02_N24_B02_conservative_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B02_conservative_top\J2D_PPOV02_N24_B02_conservative_top.cae,True,True,84576,294912,735,624,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
24,PPOV02_N24_B03_conservative_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B03_conservative_top\J2D_PPOV02_N24_B03_conservative_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B03_conservative_top\J2D_PPOV02_N24_B03_conservative_top.cae,True,True,84576,299008,735,624,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
24,PPOV02_N24_B04_conservative_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B04_conservative_top\J2D_PPOV02_N24_B04_conservative_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B04_conservative_top\J2D_PPOV02_N24_B04_conservative_top.cae,True,True,84576,315392,735,624,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
24,PPOV02_N24_B05_conservative_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B05_conservative_top\J2D_PPOV02_N24_B05_conservative_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B05_conservative_top\J2D_PPOV02_N24_B05_conservative_top.cae,True,True,84576,335872,735,624,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
24,PPOV02_N24_B06_conservative_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B06_conservative_top\J2D_PPOV02_N24_B06_conservative_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B06_conservative_top\J2D_PPOV02_N24_B06_conservative_top.cae,True,True,84576,327680,735,624,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
24,PPOV02_N24_B07_conservative_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B07_conservative_top\J2D_PPOV02_N24_B07_conservative_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B07_conservative_top\J2D_PPOV02_N24_B07_conservative_top.cae,True,True,84576,315392,735,624,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
24,PPOV02_N24_B08_conservative_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B08_conservative_top\J2D_PPOV02_N24_B08_conservative_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B08_conservative_top\J2D_PPOV02_N24_B08_conservative_top.cae,True,True,84576,323584,735,624,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
24,PPOV02_N24_B09_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B09_diverse_tophalf\J2D_PPOV02_N24_B09_diverse_tophalf.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B09_diverse_tophalf\J2D_PPOV02_N24_B09_diverse_tophalf.cae,True,True,84575,323584,735,624,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
24,PPOV02_N24_B10_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B10_diverse_tophalf\J2D_PPOV02_N24_B10_diverse_tophalf.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B10_diverse_tophalf\J2D_PPOV02_N24_B10_diverse_tophalf.cae,True,True,84575,331776,735,624,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
24,PPOV02_N24_B11_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B11_diverse_tophalf\J2D_PPOV02_N24_B11_diverse_tophalf.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B11_diverse_tophalf\J2D_PPOV02_N24_B11_diverse_tophalf.cae,True,True,84575,319488,735,624,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
