check,status,details
selected_K2_batch_exists,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\v02K2_ppo_targeted_N24_N40_candidate_batch32.csv
row_count_32,PASS,"{""24"": 16, ""40"": 16}"
N24_count_16,PASS,"{""24"": 16, ""40"": 16}"
N40_count_16,PASS,"{""24"": 16, ""40"": 16}"
no_N12_N16_N32,PASS,
no_duplicate_strategy_name,PASS,
teacher_validated_false,PASS,
abaqus_validated_false,PASS,
N24_source_retained_StageK,PASS,
N40_source_refreshed_StageK2,PASS,
scan_order_json_matches:PPOV02_N24_B01_deterministic,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02_N24_B01_deterministic.json; json_exists=True; json_match=True; legal=True
scan_order_json_matches:PPOV02_N24_B02_conservative_top,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02_N24_B02_conservative_top.json; json_exists=True; json_match=True; legal=True
scan_order_json_matches:PPOV02_N24_B03_conservative_top,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02_N24_B03_conservative_top.json; json_exists=True; json_match=True; legal=True
scan_order_json_matches:PPOV02_N24_B04_conservative_top,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02_N24_B04_conservative_top.json; json_exists=True; json_match=True; legal=True
scan_order_json_matches:PPOV02_N24_B05_conservative_top,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02_N24_B05_conservative_top.json; json_exists=True; json_match=True; legal=True
scan_order_json_matches:PPOV02_N24_B06_conservative_top,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02_N24_B06_conservative_top.json; json_exists=True; json_match=True; legal=True
scan_order_json_matches:PPOV02_N24_B07_conservative_top,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02_N24_B07_conservative_top.json; json_exists=True; json_match=True; legal=True
scan_order_json_matches:PPOV02_N24_B08_conservative_top,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02_N24_B08_conservative_top.json; json_exists=True; json_match=True; legal=True
scan_order_json_matches:PPOV02_N24_B09_diverse_tophalf,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02_N24_B09_diverse_tophalf.json; json_exists=True; json_match=True; legal=True
