strategy_name,n,order_json,source_order_json,scan_order,order_compact,order_hash,candidate_source,ppo_checkpoint,ppo_seed,selected_by,case_dir,job_name,expected_cae,expected_inp,expected_jnl,generation_log,base_cae,batch_name,teacher_validated,abaqus_validated,stageK2_role
PPOV02_N24_B01_deterministic,24,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B01_deterministic\scan_order_PPOV02_N24_B01_deterministic.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02_N24_B01_deterministic.json,"[21,17,3,7,9,13,5,1,11,15,19,23,0,2,18,20,22,4,8,10,12,14,6,16]","21,17,3,7,9,13,5,1,11,15,19,23,0,2,18,20,22,4,8,10,12,14,6,16",ff37fba1e29bb951,PPO_v02_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,deterministic,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B01_deterministic,J2D_PPOV02_N24_B01_deterministic,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B01_deterministic\J2D_PPOV02_N24_B01_deterministic.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B01_deterministic\J2D_PPOV02_N24_B01_deterministic.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B01_deterministic\J2D_PPOV02_N24_B01_deterministic.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B01_deterministic\J2D_PPOV02_N24_B01_deterministic_stageL_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\24track_full\sanity_base\24track_sanity_base.cae,stage3_ppo_v02K2_targeted_N24_N40_batch32_v01,False,False,N24_retained_from_StageK_v02
PPOV02_N24_B02_conservative_top,24,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B02_conservative_top\scan_order_PPOV02_N24_B02_conservative_top.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02_N24_B02_conservative_top.json,"[21,17,3,7,9,13,1,5,11,15,19,23,0,2,18,20,22,4,8,10,12,14,6,16]","21,17,3,7,9,13,1,5,11,15,19,23,0,2,18,20,22,4,8,10,12,14,6,16",0ff174d17e9a1393,PPO_v02_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,conservative_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B02_conservative_top,J2D_PPOV02_N24_B02_conservative_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B02_conservative_top\J2D_PPOV02_N24_B02_conservative_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B02_conservative_top\J2D_PPOV02_N24_B02_conservative_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B02_conservative_top\J2D_PPOV02_N24_B02_conservative_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B02_conservative_top\J2D_PPOV02_N24_B02_conservative_top_stageL_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\24track_full\sanity_base\24track_sanity_base.cae,stage3_ppo_v02K2_targeted_N24_N40_batch32_v01,False,False,N24_retained_from_StageK_v02
PPOV02_N24_B03_conservative_top,24,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B03_conservative_top\scan_order_PPOV02_N24_B03_conservative_top.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02_N24_B03_conservative_top.json,"[21,17,3,7,9,13,1,5,11,15,19,23,0,2,18,20,22,4,8,10,12,14,16,6]","21,17,3,7,9,13,1,5,11,15,19,23,0,2,18,20,22,4,8,10,12,14,16,6",c8f6c3a9e447340c,PPO_v02_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,conservative_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B03_conservative_top,J2D_PPOV02_N24_B03_conservative_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B03_conservative_top\J2D_PPOV02_N24_B03_conservative_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B03_conservative_top\J2D_PPOV02_N24_B03_conservative_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B03_conservative_top\J2D_PPOV02_N24_B03_conservative_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B03_conservative_top\J2D_PPOV02_N24_B03_conservative_top_stageL_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\24track_full\sanity_base\24track_sanity_base.cae,stage3_ppo_v02K2_targeted_N24_N40_batch32_v01,False,False,N24_retained_from_StageK_v02
PPOV02_N24_B04_conservative_top,24,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B04_conservative_top\scan_order_PPOV02_N24_B04_conservative_top.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02_N24_B04_conservative_top.json,"[21,17,3,7,9,13,1,5,11,15,19,23,0,2,18,20,22,4,8,10,12,6,14,16]","21,17,3,7,9,13,1,5,11,15,19,23,0,2,18,20,22,4,8,10,12,6,14,16",25710a3b8b1e15d8,PPO_v02_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,conservative_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B04_conservative_top,J2D_PPOV02_N24_B04_conservative_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B04_conservative_top\J2D_PPOV02_N24_B04_conservative_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B04_conservative_top\J2D_PPOV02_N24_B04_conservative_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B04_conservative_top\J2D_PPOV02_N24_B04_conservative_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B04_conservative_top\J2D_PPOV02_N24_B04_conservative_top_stageL_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\24track_full\sanity_base\24track_sanity_base.cae,stage3_ppo_v02K2_targeted_N24_N40_batch32_v01,False,False,N24_retained_from_StageK_v02
PPOV02_N24_B05_conservative_top,24,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B05_conservative_top\scan_order_PPOV02_N24_B05_conservative_top.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02_N24_B05_conservative_top.json,"[21,17,7,3,9,13,5,1,11,15,23,19,0,2,18,20,22,4,8,10,12,14,6,16]","21,17,7,3,9,13,5,1,11,15,23,19,0,2,18,20,22,4,8,10,12,14,6,16",c24bc45fe2056c79,PPO_v02_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,conservative_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B05_conservative_top,J2D_PPOV02_N24_B05_conservative_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B05_conservative_top\J2D_PPOV02_N24_B05_conservative_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B05_conservative_top\J2D_PPOV02_N24_B05_conservative_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B05_conservative_top\J2D_PPOV02_N24_B05_conservative_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B05_conservative_top\J2D_PPOV02_N24_B05_conservative_top_stageL_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\24track_full\sanity_base\24track_sanity_base.cae,stage3_ppo_v02K2_targeted_N24_N40_batch32_v01,False,False,N24_retained_from_StageK_v02
PPOV02_N24_B06_conservative_top,24,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B06_conservative_top\scan_order_PPOV02_N24_B06_conservative_top.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02_N24_B06_conservative_top.json,"[21,17,7,3,9,13,5,1,11,15,19,23,0,2,18,20,22,4,8,10,12,14,16,6]","21,17,7,3,9,13,5,1,11,15,19,23,0,2,18,20,22,4,8,10,12,14,16,6",5a3e5b67b567e659,PPO_v02_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,conservative_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B06_conservative_top,J2D_PPOV02_N24_B06_conservative_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B06_conservative_top\J2D_PPOV02_N24_B06_conservative_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B06_conservative_top\J2D_PPOV02_N24_B06_conservative_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B06_conservative_top\J2D_PPOV02_N24_B06_conservative_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B06_conservative_top\J2D_PPOV02_N24_B06_conservative_top_stageL_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\24track_full\sanity_base\24track_sanity_base.cae,stage3_ppo_v02K2_targeted_N24_N40_batch32_v01,False,False,N24_retained_from_StageK_v02
PPOV02_N24_B07_conservative_top,24,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B07_conservative_top\scan_order_PPOV02_N24_B07_conservative_top.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02_N24_B07_conservative_top.json,"[21,17,7,3,9,13,5,1,11,15,19,23,0,2,18,20,22,4,8,10,12,14,6,16]","21,17,7,3,9,13,5,1,11,15,19,23,0,2,18,20,22,4,8,10,12,14,6,16",d8c8080ed994dc75,PPO_v02_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,conservative_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B07_conservative_top,J2D_PPOV02_N24_B07_conservative_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B07_conservative_top\J2D_PPOV02_N24_B07_conservative_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B07_conservative_top\J2D_PPOV02_N24_B07_conservative_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B07_conservative_top\J2D_PPOV02_N24_B07_conservative_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B07_conservative_top\J2D_PPOV02_N24_B07_conservative_top_stageL_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\24track_full\sanity_base\24track_sanity_base.cae,stage3_ppo_v02K2_targeted_N24_N40_batch32_v01,False,False,N24_retained_from_StageK_v02
PPOV02_N24_B08_conservative_top,24,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B08_conservative_top\scan_order_PPOV02_N24_B08_conservative_top.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02_N24_B08_conservative_top.json,"[21,17,3,7,9,13,5,1,11,15,19,23,0,2,18,20,22,4,8,10,12,14,16,6]","21,17,3,7,9,13,5,1,11,15,19,23,0,2,18,20,22,4,8,10,12,14,16,6",2016af1b67bc04b5,PPO_v02_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,conservative_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B08_conservative_top,J2D_PPOV02_N24_B08_conservative_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B08_conservative_top\J2D_PPOV02_N24_B08_conservative_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B08_conservative_top\J2D_PPOV02_N24_B08_conservative_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B08_conservative_top\J2D_PPOV02_N24_B08_conservative_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B08_conservative_top\J2D_PPOV02_N24_B08_conservative_top_stageL_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\24track_full\sanity_base\24track_sanity_base.cae,stage3_ppo_v02K2_targeted_N24_N40_batch32_v01,False,False,N24_retained_from_StageK_v02
PPOV02_N24_B09_diverse_tophalf,24,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B09_diverse_tophalf\scan_order_PPOV02_N24_B09_diverse_tophalf.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02_N24_B09_diverse_tophalf.json,"[21,3,17,7,13,9,5,11,1,15,23,19,20,0,2,18,22,4,8,10,12,14,6,16]","21,3,17,7,13,9,5,11,1,15,23,19,20,0,2,18,22,4,8,10,12,14,6,16",ff6181ae5f5a3b35,PPO_v02_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B09_diverse_tophalf,J2D_PPOV02_N24_B09_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B09_diverse_tophalf\J2D_PPOV02_N24_B09_diverse_tophalf.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B09_diverse_tophalf\J2D_PPOV02_N24_B09_diverse_tophalf.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B09_diverse_tophalf\J2D_PPOV02_N24_B09_diverse_tophalf.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B09_diverse_tophalf\J2D_PPOV02_N24_B09_diverse_tophalf_stageL_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\24track_full\sanity_base\24track_sanity_base.cae,stage3_ppo_v02K2_targeted_N24_N40_batch32_v01,False,False,N24_retained_from_StageK_v02
PPOV02_N24_B10_diverse_tophalf,24,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B10_diverse_tophalf\scan_order_PPOV02_N24_B10_diverse_tophalf.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02_N24_B10_diverse_tophalf.json,"[21,3,17,9,7,13,5,1,11,15,19,23,0,2,18,20,22,8,10,12,4,6,14,16]","21,3,17,9,7,13,5,1,11,15,19,23,0,2,18,20,22,8,10,12,4,6,14,16",47760e25947f63f9,PPO_v02_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B10_diverse_tophalf,J2D_PPOV02_N24_B10_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B10_diverse_tophalf\J2D_PPOV02_N24_B10_diverse_tophalf.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B10_diverse_tophalf\J2D_PPOV02_N24_B10_diverse_tophalf.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B10_diverse_tophalf\J2D_PPOV02_N24_B10_diverse_tophalf.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v02K2_targeted_N24_N40_batch32_v01\N24PPOV02_N24_B10_diverse_tophalf\J2D_PPOV02_N24_B10_diverse_tophalf_stageL_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\24track_full\sanity_base\24track_sanity_base.cae,stage3_ppo_v02K2_targeted_N24_N40_batch32_v01,False,False,N24_retained_from_StageK_v02
