n,strategy_name,order_hash,order_compact,dataset_source,candidate_source,ppo_checkpoint,ppo_seed,predicted_reward,conservative_reward,teacher_metrics_extracted,teacher_validation_status,stageM_metric_source_file,u2_range,peeq_max,surface_t_proxy,mises_max,ppo_generation_mode,selection_tag,selected_by,final_step_name,final_frame_time,extracted_field_names,completion_status,odb_extraction_status,is_ppo_v01,is_ppo_v02K2
24,N24_A01_raster_left_to_right,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.0005523721708868,0.1892502903938293,587159872.0,579944256.0,,,,,,,,,False,False
24,N24_A02_odd_even_interlaced,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,8.360300034837564e-05,0.1549861133098602,586226112.0,579943936.0,,,,,,,,,False,False
24,N24_A03_greedy_maximin_distance,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.0002935029126547,0.1646057963371276,584637632.0,579944576.0,,,,,,,,,False,False
24,N24_A04_method_c_u2_first_engineering,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,5.621172385872342e-05,0.1543776392936706,581727232.0,579944640.0,,,,,,,,,False,False
24,N24_A05_center_out,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.0006265991143266,0.172961801290512,588072192.0,579944128.0,,,,,,,,,False,False
24,N24_A06_edge_in_alternating,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.0005255469384337,0.1848475784063339,590591168.0,579942784.0,,,,,,,,,False,False
24,N24_A07_regular_jump_coprime,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.0002371341688558,0.1627264767885208,583243392.0,579943104.0,,,,,,,,,False,False
24,N24_A08_block_interleaved_quarters,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.000624739785735,0.1546273678541183,584995648.0,579943744.0,,,,,,,,,False,False
24,N24_A09_center_edge_alternating,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.0005546370016418,0.1753909140825271,581775744.0,579943744.0,,,,,,,,,False,False
24,N24_A10_graph_pointer_policy_zero_shot_or_proxy_best,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.0001888593301373,0.1541593670845031,583863616.0,579943360.0,,,,,,,,,False,False
24,N24_A11_graph_pointer_policy_diverse_01,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.0002307547981672,0.163732573390007,589194880.0,579943936.0,,,,,,,,,False,False
24,N24_A12_graph_pointer_policy_diverse_02,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.0005429062013035,0.1641553044319152,583079232.0,579943936.0,,,,,,,,,False,False
24,N24_A13_graph_pointer_policy_anti_odd_even_novelty,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.0002316626496394,0.1621642112731933,581204672.0,579944256.0,,,,,,,,,False,False
24,N24_A14_graph_pointer_policy_u2first_proxy,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.0003735758580205,0.1622905135154724,583235840.0,579944640.0,,,,,,,,,False,False
24,N24_A15_graph_pointer_policy_balanced_dispersion_proxy,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.0004410466524404,0.1661432981491089,583990144.0,579944128.0,,,,,,,,,False,False
40,N40_A01_raster_left_to_right,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.0015270577277988,0.200013056397438,585953088.0,579928512.0,,,,,,,,,False,False
40,N40_A02_odd_even_interlaced,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.0001595688736415,0.1578081995248794,587307392.0,579927744.0,,,,,,,,,False,False
40,N40_A03_greedy_maximin_distance,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.0006838651936504,0.1606565862894058,585288896.0,579926656.0,,,,,,,,,False,False
40,N40_A04_method_c_u2_first_engineering,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.0001108189990191,0.153950959444046,582221504.0,579926528.0,,,,,,,,,False,False
40,N40_A05_center_out,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.0018341616960242,0.1796219497919082,588607232.0,579925632.0,,,,,,,,,False,False
40,N40_A06_edge_in_alternating,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.0016398808220401,0.2005691230297088,595556480.0,579926400.0,,,,,,,,,False,False
40,N40_A07_regular_jump_coprime,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.0020766726229339,0.1631038337945938,595582528.0,579924032.0,,,,,,,,,False,False
40,N40_A08_block_interleaved_quarters,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.0020561176352202,0.1575537621974945,594139136.0,579924416.0,,,,,,,,,False,False
40,N40_A09_center_edge_alternating,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.0018988421652466,0.177616149187088,588119552.0,579924096.0,,,,,,,,,False,False
40,N40_A10_graph_pointer_policy_zero_shot_or_proxy_best,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.000760835359415,0.1565078347921371,585921600.0,579925632.0,,,,,,,,,False,False
40,N40_A11_graph_pointer_policy_diverse_01,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.0017065715510398,0.1783028244972229,591114368.0,579925952.0,,,,,,,,,False,False
40,N40_A12_graph_pointer_policy_diverse_02,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.0017555009108036,0.172971487045288,584625472.0,579924800.0,,,,,,,,,False,False
40,N40_A13_graph_pointer_policy_anti_odd_even_novelty,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.0006711278786042,0.1731724888086319,581541824.0,579925760.0,,,,,,,,,False,False
40,N40_A14_graph_pointer_policy_u2first_proxy,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.0011768606042323,0.1633206307888031,585949184.0,579927232.0,,,,,,,,,False,False
40,N40_A15_graph_pointer_policy_balanced_dispersion_proxy,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_ODB_EXTRACTED,,0.0012380398286495,0.1692227870225906,585095872.0,579926784.0,,,,,,,,,False,False
24,S3B20_N24_B01_surrogate_top,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,7.634673784195911e-05,0.1602428555488586,586730944.0,579944704.0,,,,,,,,,False,False
24,S3B20_N24_B02_diversity_top,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,7.592932161060162e-05,0.1560772061347961,581836224.0,579944512.0,,,,,,,,,False,False
24,S3B20_N24_B03_method_c_inspired,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.0002536973042879,0.1650789976119995,584643072.0,579944576.0,,,,,,,,,False,False
24,S3B20_N24_B04_surrogate_top,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,5.741682798543479e-05,0.1594105213880539,581725376.0,579944832.0,,,,,,,,,False,False
24,S3B20_N24_B05_surrogate_top,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,9.08282927412074e-05,0.1536802798509597,581741824.0,579944640.0,,,,,,,,,False,False
40,S3B20_N40_B01_surrogate_top,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.0001138904335675,0.1606883257627487,582971072.0,579927616.0,,,,,,,,,False,False
40,S3B20_N40_B02_diversity_top,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,8.922922461351845e-05,0.1550463587045669,585152448.0,579926080.0,,,,,,,,,False,False
40,S3B20_N40_B03_method_c_inspired,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.0006816700476974,0.1621466130018234,585965568.0,579926656.0,,,,,,,,,False,False
40,S3B20_N40_B04_surrogate_top,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.0001807131311579,0.1540584713220596,582236352.0,579926464.0,,,,,,,,,False,False
40,S3B20_N40_B05_surrogate_top,nan,nan,stage3_native_combined552,nan,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.0001120584784075,0.1585296392440796,582652032.0,579927296.0,,,,,,,,,False,False
24,S3R19B28_N24_B01_surrogate_top,nan,nan,stage3_native_combined552,combined80_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,8.261122002295451e-05,0.1533868759870529,582211520.0,579944448.0,,,,,,,,,False,False
24,S3R19B28_N24_B02_u2_primary_top,nan,nan,stage3_native_combined552,combined80_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,8.019191227504052e-05,0.1561380475759506,582353856.0,579944512.0,,,,,,,,,False,False
24,S3R19B28_N24_B03_geometry_signal_top,nan,nan,stage3_native_combined552,regular_jump_sweep,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.0002306497162862,0.1619622707366943,583032192.0,579943168.0,,,,,,,,,False,False
24,S3R19B28_N24_B04_method_c_inspired,nan,nan,stage3_native_combined552,combined80_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,8.025430179259274e-05,0.1612091809511184,584544768.0,579944384.0,,,,,,,,,False,False
24,S3R19B28_N24_B05_diversity_top,nan,nan,stage3_native_combined552,combined80_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,5.907966442464385e-05,0.1658651232719421,585390656.0,579944768.0,,,,,,,,,False,False
24,S3R19B28_N24_B06_uncertainty_calibration,nan,nan,stage3_native_combined552,regular_jump_sweep,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,7.285496940312441e-05,0.1538291126489639,580991360.0,579944640.0,,,,,,,,,False,False
24,S3R19B28_N24_B07_control_sentinel,nan,nan,stage3_native_combined552,regular_jump_sweep,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.0003879498119658,0.149288535118103,582449344.0,579944000.0,,,,,,,,,False,False
24,S3R19B28_N24_B08_known_best_mutation,nan,nan,stage3_native_combined552,combined80_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,4.156047452852363e-05,0.1627765595912933,581362240.0,579944896.0,,,,,,,,,False,False
24,S3R19B28_N24_B09_known_best_mutation,nan,nan,stage3_native_combined552,combined80_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,6.838659828645177e-05,0.159013420343399,583970176.0,579944576.0,,,,,,,,,False,False
24,S3R19B28_N24_B10_known_best_mutation,nan,nan,stage3_native_combined552,combined80_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,4.000997159891995e-05,0.1574321687221527,582112512.0,579944704.0,,,,,,,,,False,False
40,S3R19B28_N40_B01_surrogate_top,nan,nan,stage3_native_combined552,combined80_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,8.087984315352514e-05,0.1614688634872436,585938752.0,579927040.0,,,,,,,,,False,False
40,S3R19B28_N40_B02_u2_primary_top,nan,nan,stage3_native_combined552,combined80_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.0001381478778057,0.1691655367612838,583121664.0,579926336.0,,,,,,,,,False,False
40,S3R19B28_N40_B03_geometry_signal_top,nan,nan,stage3_native_combined552,regular_jump_sweep,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.0007239246517656,0.1577377021312713,585212224.0,579926080.0,,,,,,,,,False,False
40,S3R19B28_N40_B04_method_c_inspired,nan,nan,stage3_native_combined552,combined80_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.0001491561724833,0.1566519737243652,583935936.0,579926208.0,,,,,,,,,False,False
40,S3R19B28_N40_B05_diversity_top,nan,nan,stage3_native_combined552,regular_jump_sweep,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.0009652040533865,0.1442238241434097,585249728.0,579926016.0,,,,,,,,,False,False
40,S3R19B28_N40_B06_uncertainty_calibration,nan,nan,stage3_native_combined552,regular_jump_sweep,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.0002895531576996,0.1524127125740051,581119040.0,579926528.0,,,,,,,,,False,False
40,S3R19B28_N40_B07_control_sentinel,nan,nan,stage3_native_combined552,regular_jump_sweep,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.001751992967911,0.1497652232646942,589166208.0,579925568.0,,,,,,,,,False,False
40,S3R19B28_N40_B08_known_best_mutation,nan,nan,stage3_native_combined552,combined80_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.0002107644334046,0.1547115296125412,585281536.0,579926016.0,,,,,,,,,False,False
40,S3R19B28_N40_B09_known_best_mutation,nan,nan,stage3_native_combined552,combined80_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.0001639029087527,0.1643984466791153,587828288.0,579925824.0,,,,,,,,,False,False
40,S3R19B28_N40_B10_known_best_mutation,nan,nan,stage3_native_combined552,combined80_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,0.0001504687188571,0.1597595065832138,584999872.0,579926208.0,,,,,,,,,False,False
24,S3R24L64_N24_B01_top_region,d5d7a577aae2fbbb,0-2-4-6-8-22-20-18-16-14-12-10-11-9-7-5-3-1-13-15-17-23-21-19,stage3_native_combined552,combined108_known_best_mutation,,,,,True,PASS_TEACHER_FIELDS_EXTRACTED,,7.369223112618783e-05,0.1567591875791549,581899200.0,579943680.0,,,,,,,,,False,False
