n,strategy_name,order_hash,order_compact,dataset_source,candidate_source,ppo_checkpoint,ppo_seed,predicted_reward,conservative_reward,teacher_metrics_extracted,teacher_validation_status,stageM_metric_source_file,u2_range,peeq_max,surface_t_proxy,mises_max,ppo_generation_mode,selection_tag,selected_by,final_step_name,final_frame_time,extracted_field_names,completion_status,odb_extraction_status,combined_rank_u2_range,combined_percentile_u2_range,combined_cost_norm_u2_range,combined_rank_peeq_max,combined_percentile_peeq_max,combined_cost_norm_peeq_max,combined_rank_surface_t_proxy,combined_percentile_surface_t_proxy,combined_cost_norm_surface_t_proxy,combined_rank_mises_max,combined_percentile_mises_max,combined_cost_norm_mises_max,combined_lex_rank,combined_lex_percentile,combined_diag_lex_rank,combined_diag_lex_percentile,ref_rank_u2_range,ref_percentile_u2_range,ref_best_u2_range,ref_median_u2_range,ref_q25_u2_range,ref_q75_u2_range,candidate_beats_ref_best_u2_range,candidate_better_than_ref_median_u2_range,candidate_top10pct_ref_u2_range,candidate_top25pct_ref_u2_range,v02K2_rank_u2_range_within_N,v02K2_best_u2_range_within_N,ref_rank_peeq_max,ref_percentile_peeq_max,ref_best_peeq_max,ref_median_peeq_max,ref_q25_peeq_max,ref_q75_peeq_max,candidate_beats_ref_best_peeq_max,candidate_better_than_ref_median_peeq_max,candidate_top10pct_ref_peeq_max,candidate_top25pct_ref_peeq_max,v02K2_rank_peeq_max_within_N,v02K2_best_peeq_max_within_N,ref_rank_surface_t_proxy,ref_percentile_surface_t_proxy,ref_best_surface_t_proxy,ref_median_surface_t_proxy,ref_q25_surface_t_proxy,ref_q75_surface_t_proxy,candidate_beats_ref_best_surface_t_proxy,candidate_better_than_ref_median_surface_t_proxy,candidate_top10pct_ref_surface_t_proxy,candidate_top25pct_ref_surface_t_proxy,v02K2_rank_surface_t_proxy_within_N,v02K2_best_surface_t_proxy_within_N,ref_rank_mises_max,ref_percentile_mises_max,ref_best_mises_max,ref_median_mises_max,ref_q25_mises_max,ref_q75_mises_max,candidate_beats_ref_best_mises_max,candidate_better_than_ref_median_mises_max,candidate_top10pct_ref_mises_max,candidate_top25pct_ref_mises_max,v02K2_rank_mises_max_within_N,v02K2_best_mises_max_within_N,ref_lex_rank,ref_lex_percentile,candidate_beats_ref_lex_best,candidate_top10pct_ref_lex,candidate_top25pct_ref_lex,ref_lex_diag_rank,ref_lex_diag_percentile,v02K2_lex_rank_within_N,v02K2_best_lex_within_N,teacher_lex_reward_rank_normalized,teacher_reward,predicted_rank_desc,conservative_rank_desc,teacher_rank_asc,false_positive_high_pred_poor_teacher,true_positive_high_pred_strong_teacher
24,PPOV02_N24_B16_novelty_tophalf,c13cf1f80061e36e,"21,3,17,7,9,13,5,1,11,15,19,23,0,2,18,20,22,4,8,6,12,10,14,16",ppo_v02K2_targeted_batch32,PPO_v02_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,0.6549937951091864,0.6298483452884668,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageM_ODB_teacher_metric_extraction\stageM_v02K2_teacher_metrics.csv,9.453498660150216e-05,0.1568864583969116,582455296.0,579944256.0,stochastic,novelty_tophalf,,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,114.0,0.5533980582524272,0.10888380153552339,94.0,0.4563106796116505,0.19158297746579592,102.0,0.49514563106796117,0.14152496200498954,115.0,0.558252427184466,0.696969696969697,114.0,0.5533980582524272,114.0,0.5533980582524272,114,0.5968586387434555,2.9523077955673216e-05,8.096076885522052e-05,5.351185041035933e-05,0.000189858678879725,False,False,False,False,1.0,True,89,0.46596858638743455,0.1492166519165039,0.15729529410600662,0.15427346900105474,0.16117477416992182,False,True,False,False,6.0,False,95,0.4973821989528796,580875968.0,582566592.0,581893616.0,583485168.0,False,True,False,False,8.0,False,101,0.5287958115183246,579942784.0,579944128.0,579943552.0,579944448.0,False,False,False,False,15.0,False,114.0,0.5968586387434555,False,False,False,114.0,0.5968586387434555,1,True,0.4052631578947369,0.4052631578947369,14.0,24.0,114.0,False,False
24,PPOV02_N24_B08_conservative_top,2016af1b67bc04b5,"21,17,3,7,9,13,5,1,11,15,19,23,0,2,18,20,22,4,8,10,12,14,16,6",ppo_v02K2_targeted_batch32,PPO_v02_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,0.6618605894466809,0.6379882652362484,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageM_ODB_teacher_metric_extraction\stageM_v02K2_teacher_metrics.csv,0.0001219500038587,0.1558585613965988,582482496.0,579944192.0,stochastic,conservative_top,,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,133.0,0.6456310679611651,0.15479925549316068,70.0,0.33980582524271846,0.16590728820934159,105.0,0.5097087378640777,0.14396237777076823,106.0,0.5145631067961165,0.6666666666666666,133.0,0.6456310679611651,133.0,0.6456310679611651,132,0.6910994764397905,2.9523077955673216e-05,8.096076885522052e-05,5.351185041035933e-05,0.000189858678879725,False,False,False,False,2.0,False,70,0.36649214659685864,0.1492166519165039,0.15729529410600662,0.15427346900105474,0.16117477416992182,False,True,False,False,1.0,True,95,0.4973821989528796,580875968.0,582566592.0,581893616.0,583485168.0,False,True,False,False,11.0,False,99,0.518324607329843,579942784.0,579944128.0,579943552.0,579944448.0,False,False,False,False,8.0,False,132.0,0.6910994764397905,False,False,False,132.0,0.6910994764397905,2,False,0.31052631578947365,0.31052631578947365,5.0,7.0,132.0,True,False
24,PPOV02_N24_B03_conservative_top,c8f6c3a9e447340c,"21,17,3,7,9,13,1,5,11,15,19,23,0,2,18,20,22,4,8,10,12,14,16,6",ppo_v02K2_targeted_batch32,PPO_v02_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,0.6781519342470662,0.6500016411241781,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageM_ODB_teacher_metric_extraction\stageM_v02K2_teacher_metrics.csv,0.0001253161628937,0.1559049040079116,582563008.0,579944192.0,stochastic,conservative_top,,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,136.0,0.6601941747572816,0.16043699479259693,72.0,0.34951456310679613,0.16706487353845362,111.0,0.5388349514563107,0.1511771284374731,106.0,0.5145631067961165,0.6666666666666666,136.0,0.6601941747572816,136.0,0.6601941747572816,134,0.7015706806282722,2.9523077955673216e-05,8.096076885522052e-05,5.351185041035933e-05,0.000189858678879725,False,False,False,False,3.0,False,71,0.3717277486910995,0.1492166519165039,0.15729529410600662,0.15427346900105474,0.16117477416992182,False,True,False,False,2.0,False,96,0.5026178010471204,580875968.0,582566592.0,581893616.0,583485168.0,False,True,False,False,16.0,False,99,0.518324607329843,579942784.0,579944128.0,579943552.0,579944448.0,False,False,False,False,8.0,False,134.0,0.7015706806282722,False,False,False,134.0,0.7015706806282722,3,False,0.30000000000000004,0.30000000000000004,1.0,2.0,134.0,True,False
24,PPOV02_N24_B06_conservative_top,5a3e5b67b567e659,"21,17,7,3,9,13,5,1,11,15,19,23,0,2,18,20,22,4,8,10,12,14,16,6",ppo_v02K2_targeted_batch32,PPO_v02_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,0.6549937951091864,0.639070100039858,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageM_ODB_teacher_metric_extraction\stageM_v02K2_teacher_metrics.csv,0.0001312723863975,0.1560669243335724,582418432.0,579944192.0,stochastic,conservative_top,,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,138.0,0.6699029126213593,0.17041264804440448,78.0,0.3786407766990291,0.1711119556231664,97.0,0.470873786407767,0.1382215467553695,106.0,0.5145631067961165,0.6666666666666666,138.0,0.6699029126213593,138.0,0.6699029126213593,134,0.7015706806282722,2.9523077955673216e-05,8.096076885522052e-05,5.351185041035933e-05,0.000189858678879725,False,False,False,False,5.0,False,76,0.39790575916230364,0.1492166519165039,0.15729529410600662,0.15427346900105474,0.16117477416992182,False,True,False,False,3.0,False,92,0.4816753926701571,580875968.0,582566592.0,581893616.0,583485168.0,False,True,False,False,6.0,False,99,0.518324607329843,579942784.0,579944128.0,579943552.0,579944448.0,False,False,False,False,8.0,False,134.0,0.7015706806282722,False,False,False,134.0,0.7015706806282722,5,False,0.30000000000000004,0.30000000000000004,14.0,5.0,134.0,False,False
24,PPOV02_N24_B13_diverse_tophalf,12d8d508bf9c0aa0,"21,3,7,17,9,13,5,11,1,19,15,23,0,2,18,4,20,22,8,10,12,14,6,16",ppo_v02K2_targeted_batch32,PPO_v02_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,0.6580546524284444,0.6318415479184212,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageM_ODB_teacher_metric_extraction\stageM_v02K2_teacher_metrics.csv,0.0001307263842136,0.1622798889875412,582223488.0,579944192.0,stochastic,diverse_tophalf,,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,137.0,0.6650485436893204,0.16949818799134547,164.0,0.7961165048543689,0.326304693580464,83.0,0.4029126213592233,0.12075244458463567,106.0,0.5145631067961165,0.6666666666666666,137.0,0.6650485436893204,137.0,0.6650485436893204,134,0.7015706806282722,2.9523077955673216e-05,8.096076885522052e-05,5.351185041035933e-05,0.000189858678879725,False,False,False,False,4.0,False,149,0.7801047120418848,0.1492166519165039,0.15729529410600662,0.15427346900105474,0.16117477416992182,False,False,False,False,16.0,False,83,0.43455497382198954,580875968.0,582566592.0,581893616.0,583485168.0,False,True,False,False,1.0,True,99,0.518324607329843,579942784.0,579944128.0,579943552.0,579944448.0,False,False,False,False,8.0,False,134.0,0.7015706806282722,False,False,False,134.0,0.7015706806282722,4,False,0.30000000000000004,0.30000000000000004,11.0,19.0,134.0,False,False
24,PPOV02_N24_B01_deterministic,ff37fba1e29bb951,"21,17,3,7,9,13,5,1,11,15,19,23,0,2,18,20,22,4,8,10,12,14,6,16",ppo_v02K2_targeted_batch32,PPO_v02_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,0.6618605894466809,0.6379732442250574,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageM_ODB_teacher_metric_extraction\stageM_v02K2_teacher_metrics.csv,0.0001373703046283,0.1570048183202743,582478464.0,579943296.0,deterministic,deterministic,,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,141.0,0.6844660194174758,0.18062561567221888,98.0,0.47572815533980584,0.1945394727291868,104.0,0.5048543689320388,0.14360106672784104,9.0,0.043689320388349516,0.24242424242424243,141.0,0.6844660194174758,141.0,0.6844660194174758,135,0.7068062827225131,2.9523077955673216e-05,8.096076885522052e-05,5.351185041035933e-05,0.000189858678879725,False,False,False,False,7.0,False,91,0.47643979057591623,0.1492166519165039,0.15729529410600662,0.15427346900105474,0.16117477416992182,False,True,False,False,8.0,False,95,0.4973821989528796,580875968.0,582566592.0,581893616.0,583485168.0,False,True,False,False,10.0,False,9,0.04712041884816754,579942784.0,579944128.0,579943552.0,579944448.0,False,True,True,True,1.0,True,135.0,0.7068062827225131,False,False,False,135.0,0.7068062827225131,7,False,0.2947368421052632,0.2947368421052632,5.0,8.0,135.0,True,False
24,PPOV02_N24_B02_conservative_top,0ff174d17e9a1393,"21,17,3,7,9,13,1,5,11,15,19,23,0,2,18,20,22,4,8,10,12,14,6,16",ppo_v02K2_targeted_batch32,PPO_v02_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,0.6781519342470662,0.6500268544277213,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageM_ODB_teacher_metric_extraction\stageM_v02K2_teacher_metrics.csv,0.0001405746613727,0.1568506360054016,582553984.0,579944192.0,stochastic,conservative_top,,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,143.0,0.6941747572815534,0.18599236387379853,93.0,0.45145631067961167,0.1906881751728099,109.0,0.529126213592233,0.15036847991282654,106.0,0.5145631067961165,0.6666666666666666,143.0,0.6941747572815534,143.0,0.6941747572815534,135,0.7068062827225131,2.9523077955673216e-05,8.096076885522052e-05,5.351185041035933e-05,0.000189858678879725,False,False,False,False,9.0,False,89,0.46596858638743455,0.1492166519165039,0.15729529410600662,0.15427346900105474,0.16117477416992182,False,True,False,False,5.0,False,95,0.4973821989528796,580875968.0,582566592.0,581893616.0,583485168.0,False,True,False,False,15.0,False,99,0.518324607329843,579942784.0,579944128.0,579943552.0,579944448.0,False,False,False,False,8.0,False,135.0,0.7068062827225131,False,False,False,135.0,0.7068062827225131,9,False,0.2947368421052632,0.2947368421052632,1.0,1.0,135.0,True,False
24,PPOV02_N24_B04_conservative_top,25710a3b8b1e15d8,"21,17,3,7,9,13,1,5,11,15,19,23,0,2,18,20,22,4,8,10,12,6,14,16",ppo_v02K2_targeted_batch32,PPO_v02_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,0.6781519342470662,0.6482882321571113,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageM_ODB_teacher_metric_extraction\stageM_v02K2_teacher_metrics.csv,0.0001418486497186,0.1580588072538375,582541824.0,579944256.0,stochastic,conservative_top,,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,144.0,0.6990291262135923,0.1881260759444477,120.0,0.5825242718446602,0.22086690858090655,108.0,0.5242718446601942,0.14927881168812548,115.0,0.558252427184466,0.696969696969697,144.0,0.6990291262135923,144.0,0.6990291262135923,135,0.7068062827225131,2.9523077955673216e-05,8.096076885522052e-05,5.351185041035933e-05,0.000189858678879725,False,False,False,False,10.0,False,110,0.5759162303664922,0.1492166519165039,0.15729529410600662,0.15427346900105474,0.16117477416992182,False,False,False,False,11.0,False,95,0.4973821989528796,580875968.0,582566592.0,581893616.0,583485168.0,False,True,False,False,14.0,False,101,0.5287958115183246,579942784.0,579944128.0,579943552.0,579944448.0,False,False,False,False,15.0,False,135.0,0.7068062827225131,False,False,False,135.0,0.7068062827225131,10,False,0.2947368421052632,0.2947368421052632,1.0,3.0,135.0,True,False
24,PPOV02_N24_B11_diverse_tophalf,0c749c8bf0d90074,"21,17,3,9,7,13,15,1,5,11,19,23,18,0,2,22,20,4,8,10,12,14,6,16",ppo_v02K2_targeted_batch32,PPO_v02_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,0.6554263196367985,0.6303504529920838,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageM_ODB_teacher_metric_extraction\stageM_v02K2_teacher_metrics.csv,0.0001355442798285,0.1595543026924133,582466368.0,579943296.0,stochastic,diverse_tophalf,,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,140.0,0.6796116504854369,0.17756733718075784,142.0,0.6893203883495146,0.2582226710295099,103.0,0.5,0.14251713359905943,9.0,0.043689320388349516,0.24242424242424243,140.0,0.6796116504854369,140.0,0.6796116504854369,135,0.7068062827225131,2.9523077955673216e-05,8.096076885522052e-05,5.351185041035933e-05,0.000189858678879725,False,False,False,False,6.0,False,128,0.6701570680628273,0.1492166519165039,0.15729529410600662,0.15427346900105474,0.16117477416992182,False,False,False,False,15.0,False,95,0.4973821989528796,580875968.0,582566592.0,581893616.0,583485168.0,False,True,False,False,9.0,False,9,0.04712041884816754,579942784.0,579944128.0,579943552.0,579944448.0,False,True,True,True,1.0,True,135.0,0.7068062827225131,False,False,False,135.0,0.7068062827225131,6,False,0.2947368421052632,0.2947368421052632,13.0,22.0,135.0,False,False
24,PPOV02_N24_B12_diverse_tophalf,3995ed2b0c2db6cc,"21,3,17,7,9,13,5,1,11,23,15,19,0,2,18,22,20,4,8,10,12,6,14,16",ppo_v02K2_targeted_batch32,PPO_v02_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,0.657739953686204,0.6320727907972225,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageM_ODB_teacher_metric_extraction\stageM_v02K2_teacher_metrics.csv,0.0001403370131356,0.1574152559041977,582492352.0,579944192.0,stochastic,diverse_tophalf,,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,142.0,0.6893203883495146,0.18559434381835563,109.0,0.529126213592233,0.2047917332774519,106.0,0.5145631067961165,0.144845582542368,106.0,0.5145631067961165,0.6666666666666666,142.0,0.6893203883495146,142.0,0.6893203883495146,135,0.7068062827225131,2.9523077955673216e-05,8.096076885522052e-05,5.351185041035933e-05,0.000189858678879725,False,False,False,False,8.0,False,100,0.5235602094240838,0.1492166519165039,0.15729529410600662,0.15427346900105474,0.16117477416992182,False,False,False,False,10.0,False,95,0.4973821989528796,580875968.0,582566592.0,581893616.0,583485168.0,False,True,False,False,12.0,False,99,0.518324607329843,579942784.0,579944128.0,579943552.0,579944448.0,False,False,False,False,8.0,False,135.0,0.7068062827225131,False,False,False,135.0,0.7068062827225131,8,False,0.2947368421052632,0.2947368421052632,12.0,18.0,135.0,False,False
