n,metric,observed,bootstrap_mean,bootstrap_median,q05,q95,empirical_p_value_greater_equal,interpretation
24,top10pct_lex_count,0.0,1.5936,1.0,0.0,4.0,1.0,comparable
24,top25pct_lex_count,0.0,4.0331,4.0,1.0,7.0,1.0,weak
24,top10pct_U2_count,0.0,1.5936,1.0,0.0,4.0,1.0,comparable
24,top25pct_U2_count,0.0,4.0331,4.0,1.0,7.0,1.0,weak
24,top10pct_PEEQ_count,0.0,1.6235,1.0,0.0,4.0,1.0,comparable
24,top25pct_PEEQ_count,0.0,4.0622,4.0,1.0,7.0,1.0,weak
24,top10pct_SurfaceT_count,0.0,1.5968,1.0,0.0,4.0,1.0,comparable
24,top25pct_SurfaceT_count,0.0,4.0491,4.0,1.0,7.0,1.0,weak
24,best_lex_rank,114.0,11.1236,8.0,1.0,31.0,1.0,weak
24,median_lex_rank,135.0,95.27305,95.5,61.0,130.0,0.9741,weak
40,top10pct_lex_count,0.0,1.6268,2.0,0.0,4.0,1.0,comparable
40,top25pct_lex_count,0.0,4.0378,4.0,1.0,7.0,1.0,weak
40,top10pct_U2_count,0.0,1.6268,2.0,0.0,4.0,1.0,comparable
40,top25pct_U2_count,0.0,4.0378,4.0,1.0,7.0,1.0,weak
40,top10pct_PEEQ_count,0.0,1.6306,1.0,0.0,4.0,1.0,comparable
40,top25pct_PEEQ_count,0.0,4.0403,4.0,1.0,7.0,1.0,weak
40,top10pct_SurfaceT_count,16.0,1.6261,1.0,0.0,4.0,0.0,enriched
40,top25pct_SurfaceT_count,16.0,4.0359,4.0,1.0,7.0,0.0,enriched
40,best_lex_rank,147.0,12.262,9.0,1.0,35.0,1.0,weak
40,median_lex_rank,147.0,103.5138,103.5,66.0,141.0,0.976,weak
