strategy_name,n,surfaceT_only_false_positive_penalty,predicted_lex_primary_score,predicted_u2_guarded_score,final_v03_score,selected_by
PPOV03_N24_B01_top_v03_score,24,0.0,0.6772725379730041,0.27262269927536015,0.5243637879543723,top_v03_score
PPOV03_N24_B02_top_v03_score,24,0.0,0.6920377519526854,0.24348640455489143,0.5220529776937478,top_v03_score
PPOV03_N24_B03_top_v03_score,24,0.0,0.6886170585653425,0.2519625438670066,0.5216486784290211,top_v03_score
PPOV03_N24_B04_top_v03_score,24,0.0,0.6964262386449817,0.2369671901540492,0.5216026140930075,top_v03_score
PPOV03_N24_B05_top_v03_score,24,0.0,0.6902960095676429,0.24622824851534258,0.5213811368724849,top_v03_score
PPOV03_N24_B06_u2_guarded,24,0.0,0.6804908837876286,0.2647359772606091,0.5199598330982174,u2_guarded
PPOV03_N24_B07_u2_guarded,24,0.0,0.6336366071468433,0.25657431304886313,0.4876885049802813,u2_guarded
PPOV03_N24_B08_u2_guarded,24,0.0,0.669746352090571,0.2487578660222169,0.506935978932064,u2_guarded
PPOV03_N24_B09_u2_guarded,24,0.0,0.6293509637593652,0.2474901076915482,0.48375213389587907,u2_guarded
PPOV03_N24_B10_lex_primary_novel,24,0.0,0.6946849202842107,0.21075262739104525,0.5129987913112573,lex_primary_novel
PPOV03_N24_B11_lex_primary_novel,24,0.0,0.6937416897418535,0.2181372507799123,0.5176790413475472,lex_primary_novel
PPOV03_N24_B12_lex_primary_novel,24,0.0,0.691944469213005,0.24418226655201736,0.5210188711289114,lex_primary_novel
PPOV03_N24_B13_diverse_upper_quartile,24,0.0,0.679712057657243,0.20745755584071626,0.5052421514525296,diverse_upper_quartile
PPOV03_N24_B14_diverse_upper_quartile,24,0.0,0.6603909073936872,0.2042244356176769,0.4896737227496231,diverse_upper_quartile
PPOV03_N24_B15_record_seeking,24,0.0,0.6917349040697074,0.2361358182667733,0.5213477878247461,record_seeking
PPOV03_N24_B16_fill_next_best,24,0.0,0.6855315351539291,0.23281708532703946,0.5140350665290558,fill_next_best
PPOV03_N40_B01_top_v03_score,40,0.0,0.45896571261430263,0.11201721015853847,0.3302950081719319,top_v03_score
PPOV03_N40_B02_top_v03_score,40,0.0,0.38718333661317234,0.23261799367956804,0.32158670073358997,top_v03_score
PPOV03_N40_B03_top_v03_score,40,0.0,0.38666624886564516,0.2076348842390602,0.31405811311718396,top_v03_score
PPOV03_N40_B04_top_v03_score,40,0.0,0.39643109950534355,0.17683420312991135,0.3085713452156,top_v03_score
PPOV03_N40_B05_top_v03_score,40,0.0,0.3815521550202776,0.1907740710149661,0.3054382452980548,top_v03_score
PPOV03_N40_B06_u2_guarded,40,0.0,0.3049060620799134,0.25693969565023456,0.2766819224538443,u2_guarded
PPOV03_N40_B07_u2_guarded,40,0.0,0.34112046273605307,0.2502242590515124,0.29736773386826854,u2_guarded
PPOV03_N40_B08_u2_guarded,40,0.0,0.32104917414846995,0.2407035478387489,0.2844718743078555,u2_guarded
PPOV03_N40_B09_u2_guarded,40,0.0,0.30958073654609775,0.23944897514321825,0.27238746043721473,u2_guarded
PPOV03_N40_B10_lex_primary_novel,40,0.0,0.4088559402596714,0.13443621060721286,0.3031926937303287,lex_primary_novel
PPOV03_N40_B11_lex_primary_novel,40,0.0,0.39135364310600174,0.1620172137038467,0.29927625645237693,lex_primary_novel
PPOV03_N40_B12_lex_primary_novel,40,0.0,0.3870698872900321,0.1363342839886092,0.2905102113601612,lex_primary_novel
PPOV03_N40_B13_diverse_upper_quartile,40,0.0,0.33848891613594023,0.16382012739199847,0.2686521588822067,diverse_upper_quartile
PPOV03_N40_B14_diverse_upper_quartile,40,0.0,0.3679036404957918,0.21287371193959803,0.30396967217300686,diverse_upper_quartile
PPOV03_N40_B15_record_seeking,40,0.0,0.35813801339771734,0.20776506132293227,0.2984727441855484,record_seeking
PPOV03_N40_B16_fill_next_best,40,0.0,0.37478161333189053,0.1869074454576414,0.300460306654753,fill_next_best
