n,strategy_name,inp_path,cae_path,inp_exists,cae_exists,inp_size_bytes,cae_size_bytes,node_entry_count,element_entry_count,scan_sequence_complete,cool_sequence_complete,step_final_cooling_exists,final_cooling_controls_visible,final_cooling_after_last_cool,heat_flux_entries_exist,all_expected_heat_sets_present,heat_order_text_verified,output_fields_U_PEEQ_S_NT11_visible,n40_cool_initialInc_0p001_verified,solver_output_count,verdict,notes
24,PPOV03_N24_B01_top_v03_score,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B01_top_v03_score\J2D_PPOV03_N24_B01_top_v03_score.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B01_top_v03_score\J2D_PPOV03_N24_B01_top_v03_score.cae,True,True,84573,225280,735,624,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
24,PPOV03_N24_B02_top_v03_score,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B02_top_v03_score\J2D_PPOV03_N24_B02_top_v03_score.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B02_top_v03_score\J2D_PPOV03_N24_B02_top_v03_score.cae,True,True,84573,278528,735,624,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
24,PPOV03_N24_B03_top_v03_score,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B03_top_v03_score\J2D_PPOV03_N24_B03_top_v03_score.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B03_top_v03_score\J2D_PPOV03_N24_B03_top_v03_score.cae,True,True,84573,294912,735,624,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
24,PPOV03_N24_B04_top_v03_score,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B04_top_v03_score\J2D_PPOV03_N24_B04_top_v03_score.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B04_top_v03_score\J2D_PPOV03_N24_B04_top_v03_score.cae,True,True,84573,323584,735,624,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
24,PPOV03_N24_B05_top_v03_score,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B05_top_v03_score\J2D_PPOV03_N24_B05_top_v03_score.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B05_top_v03_score\J2D_PPOV03_N24_B05_top_v03_score.cae,True,True,84573,323584,735,624,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
24,PPOV03_N24_B06_u2_guarded,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B06_u2_guarded\J2D_PPOV03_N24_B06_u2_guarded.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B06_u2_guarded\J2D_PPOV03_N24_B06_u2_guarded.cae,True,True,84570,327680,735,624,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
24,PPOV03_N24_B07_u2_guarded,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B07_u2_guarded\J2D_PPOV03_N24_B07_u2_guarded.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B07_u2_guarded\J2D_PPOV03_N24_B07_u2_guarded.cae,True,True,84570,311296,735,624,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
24,PPOV03_N24_B08_u2_guarded,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B08_u2_guarded\J2D_PPOV03_N24_B08_u2_guarded.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B08_u2_guarded\J2D_PPOV03_N24_B08_u2_guarded.cae,True,True,84570,311296,735,624,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
24,PPOV03_N24_B09_u2_guarded,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B09_u2_guarded\J2D_PPOV03_N24_B09_u2_guarded.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B09_u2_guarded\J2D_PPOV03_N24_B09_u2_guarded.cae,True,True,84570,311296,735,624,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
24,PPOV03_N24_B10_lex_primary_novel,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B10_lex_primary_novel\J2D_PPOV03_N24_B10_lex_primary_novel.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B10_lex_primary_novel\J2D_PPOV03_N24_B10_lex_primary_novel.cae,True,True,84577,311296,735,624,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
24,PPOV03_N24_B11_lex_primary_novel,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B11_lex_primary_novel\J2D_PPOV03_N24_B11_lex_primary_novel.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B11_lex_primary_novel\J2D_PPOV03_N24_B11_lex_primary_novel.cae,True,True,84577,327680,735,624,True,True,True,True,True,True,True,True,True,True,0,PASS,observed order matches scan_order; missing=[]; not N40
