family,n,family_count,cumulative_ppo_count,family_best_u2_range,cumulative_ppo_best_u2_range,cumulative_ppo_best_beats_family_best_u2_range,family_best_peeq_max,cumulative_ppo_best_peeq_max,cumulative_ppo_best_beats_family_best_peeq_max,family_best_surface_t_proxy,cumulative_ppo_best_surface_t_proxy,cumulative_ppo_best_beats_family_best_surface_t_proxy,family_best_mises_max,cumulative_ppo_best_mises_max,cumulative_ppo_best_beats_family_best_mises_max
raster,24,1,40,0.0005523721708868,9.453498660150216e-05,True,0.1892502903938293,0.1512520015239715,True,587159872.0,581186176.0,True,579944256.0,579943296.0,True
raster,40,1,40,0.0015270577277988,0.0004007218865353,True,0.200013056397438,0.1537813395261764,True,585953088.0,581153472.0,True,579928512.0,579925504.0,True
odd_even,24,16,40,8.360300034837564e-05,9.453498660150216e-05,False,0.1496064215898513,0.1512520015239715,False,581204672.0,581186176.0,True,579943296.0,579943296.0,False
odd_even,40,16,40,0.0001595688736415,0.0004007218865353,False,0.1440253555774688,0.1537813395261764,False,581541824.0,581153472.0,True,579924928.0,579925504.0,False
edge_in,24,1,40,0.0005255469384337,9.453498660150216e-05,True,0.1848475784063339,0.1512520015239715,True,590591168.0,581186176.0,True,579942784.0,579943296.0,False
edge_in,40,1,40,0.0016398808220401,0.0004007218865353,True,0.2005691230297088,0.1537813395261764,True,595556480.0,581153472.0,True,579926400.0,579925504.0,True
center_out,24,2,40,0.0006249901030059,9.453498660150216e-05,True,0.1726419776678085,0.1512520015239715,True,588072192.0,581186176.0,True,579944128.0,579943296.0,True
center_out,40,2,40,0.0016625018324702,0.0004007218865353,True,0.1796219497919082,0.1537813395261764,True,587521984.0,581153472.0,True,579925632.0,579925504.0,True
center_edge,24,1,40,0.0005546370016418,9.453498660150216e-05,True,0.1753909140825271,0.1512520015239715,True,581775744.0,581186176.0,True,579943744.0,579943296.0,True
center_edge,40,1,40,0.0018988421652466,0.0004007218865353,True,0.177616149187088,0.1537813395261764,True,588119552.0,581153472.0,True,579924096.0,579925504.0,False
method_c,24,3,40,5.621172385872342e-05,9.453498660150216e-05,False,0.1543776392936706,0.1512520015239715,True,581727232.0,581186176.0,True,579944384.0,579943296.0,True
method_c,40,3,40,0.0001108189990191,0.0004007218865353,False,0.153950959444046,0.1537813395261764,True,582221504.0,581153472.0,True,579926208.0,579925504.0,True
regular_jump,24,9,40,7.285496940312441e-05,9.453498660150216e-05,False,0.149288535118103,0.1512520015239715,False,580991360.0,581186176.0,False,579942848.0,579943296.0,False
regular_jump,40,13,40,0.0002895531576996,0.0004007218865353,False,0.1442238241434097,0.1537813395261764,False,581119040.0,581153472.0,False,579924032.0,579925504.0,False
engineering,24,1,40,5.621172385872342e-05,9.453498660150216e-05,False,0.1543776392936706,0.1512520015239715,True,581727232.0,581186176.0,True,579944640.0,579943296.0,True
engineering,40,1,40,0.0001108189990191,0.0004007218865353,False,0.153950959444046,0.1537813395261764,True,582221504.0,581153472.0,True,579926528.0,579925504.0,True
random,24,6,40,0.0002786342520266,9.453498660150216e-05,True,0.1525747328996658,0.1512520015239715,True,582068544.0,581186176.0,True,579943104.0,579943296.0,False
random,40,11,40,0.0010186854147491,0.0004007218865353,True,0.1546751409769058,0.1537813395261764,True,583097088.0,581153472.0,True,579924800.0,579925504.0,False
