family,n,count,source_columns_used,reliability
raster,24,1,strategy_name;candidate_family;candidate_source;generation_method,FOUND
raster,40,1,strategy_name;candidate_family;candidate_source;generation_method,FOUND
odd_even,24,16,strategy_name;candidate_family;candidate_source;generation_method,FOUND
odd_even,40,16,strategy_name;candidate_family;candidate_source;generation_method,FOUND
edge_in,24,1,strategy_name;candidate_family;candidate_source;generation_method,FOUND
edge_in,40,1,strategy_name;candidate_family;candidate_source;generation_method,FOUND
center_out,24,2,strategy_name;candidate_family;candidate_source;generation_method,FOUND
center_out,40,2,strategy_name;candidate_family;candidate_source;generation_method,FOUND
center_edge,24,1,strategy_name;candidate_family;candidate_source;generation_method,FOUND
center_edge,40,1,strategy_name;candidate_family;candidate_source;generation_method,FOUND
method_c,24,3,strategy_name;candidate_family;candidate_source;generation_method,FOUND
method_c,40,3,strategy_name;candidate_family;candidate_source;generation_method,FOUND
regular_jump,24,9,strategy_name;candidate_family;candidate_source;generation_method,FOUND
regular_jump,40,13,strategy_name;candidate_family;candidate_source;generation_method,FOUND
engineering,24,1,strategy_name;candidate_family;candidate_source;generation_method,FOUND
engineering,40,1,strategy_name;candidate_family;candidate_source;generation_method,FOUND
random,24,6,strategy_name;candidate_family;candidate_source;generation_method,FOUND
random,40,11,strategy_name;candidate_family;candidate_source;generation_method,FOUND
heuristic,24,0,strategy_name;candidate_family;candidate_source;generation_method,NOT_FOUND
heuristic,40,0,strategy_name;candidate_family;candidate_source;generation_method,NOT_FOUND
