strategy_name,label,category,family,mean_edge_step_norm,mean_center_step_norm,first_edge_step,first_center_step,last_edge_step,last_center_step,edge_before_center_score
block_interleaved_quarters,block_interleaved_quarters,engineering_baseline,block_interleaved,0.5,0.5,0,2,31,29,0.0
center_edge_alternating,center_edge_alternating,engineering_baseline,center_edge,0.25806451612903225,0.0967741935483871,1,0,15,6,-0.16129032258064516
center_out,center_out,engineering_baseline,center_out,0.8870967741935484,0.04838709677419355,24,0,31,3,-0.8387096774193549
edge_in,edge_in,engineering_baseline,edge_in,0.11290322580645161,0.9516129032258065,0,28,7,31,0.8387096774193549
edge_in_alternating_LHI,edge_in_alternating_LHI,engineering_baseline,edge_in,0.11290322580645161,0.9516129032258065,0,28,7,31,0.8387096774193549
UPB_A07_V01,UPB_A07_V01,engineering_baseline,maximin,0.5080645161290323,0.4435483870967742,0,2,31,23,-0.06451612903225806
greedy_maximin_distance,greedy_maximin_distance,engineering_baseline,maximin,0.47580645161290325,0.49193548387096775,0,2,31,24,0.016129032258064502
run36_greedy_maximin_distance_adjacent_swap_0002,run36_greedy_maximin_distance_adjacent_swap_0002,engineering_baseline,maximin,0.47580645161290325,0.49193548387096775,0,2,31,24,0.016129032258064502
run36_greedy_maximin_distance_adjacent_swap_0009,run36_greedy_maximin_distance_adjacent_swap_0009,engineering_baseline,maximin,0.4798387096774194,0.49193548387096775,0,2,31,24,0.012096774193548376
run36_greedy_maximin_distance_adjacent_swap_0021,run36_greedy_maximin_distance_adjacent_swap_0021,engineering_baseline,maximin,0.47580645161290325,0.4838709677419355,0,2,31,24,0.008064516129032251
run36_greedy_maximin_distance_adjacent_swap_0023,run36_greedy_maximin_distance_adjacent_swap_0023,engineering_baseline,maximin,0.4798387096774194,0.49193548387096775,0,2,31,24,0.012096774193548376
run36_greedy_maximin_distance_adjacent_swap_0029,run36_greedy_maximin_distance_adjacent_swap_0029,engineering_baseline,maximin,0.47580645161290325,0.49193548387096775,0,2,31,24,0.016129032258064502
run36_greedy_maximin_distance_adjacent_swap_0045,run36_greedy_maximin_distance_adjacent_swap_0045,engineering_baseline,maximin,0.4717741935483871,0.49193548387096775,0,2,31,24,0.020161290322580627
run36_greedy_maximin_distance_adjacent_swap_0046,run36_greedy_maximin_distance_adjacent_swap_0046,engineering_baseline,maximin,0.47580645161290325,0.5,0,2,31,24,0.024193548387096753
run36_greedy_maximin_distance_adjacent_swap_0050,run36_greedy_maximin_distance_adjacent_swap_0050,engineering_baseline,maximin,0.4798387096774194,0.49193548387096775,0,2,31,24,0.012096774193548376
run36_greedy_maximin_distance_adjacent_swap_0054,run36_greedy_maximin_distance_adjacent_swap_0054,engineering_baseline,maximin,0.4717741935483871,0.49193548387096775,0,2,31,24,0.020161290322580627
run36_greedy_maximin_distance_adjacent_swap_0055,run36_greedy_maximin_distance_adjacent_swap_0055,engineering_baseline,maximin,0.47580645161290325,0.49193548387096775,0,2,31,24,0.016129032258064502
run36_greedy_maximin_distance_adjacent_swap_0066,run36_greedy_maximin_distance_adjacent_swap_0066,engineering_baseline,maximin,0.47580645161290325,0.49193548387096775,0,2,31,24,0.016129032258064502
run36_greedy_maximin_distance_adjacent_swap_0072,run36_greedy_maximin_distance_adjacent_swap_0072,engineering_baseline,maximin,0.47580645161290325,0.4838709677419355,0,2,31,24,0.008064516129032251
run36_greedy_maximin_distance_adjacent_swap_0073,run36_greedy_maximin_distance_adjacent_swap_0073,engineering_baseline,maximin,0.4798387096774194,0.5,0,3,31,24,0.020161290322580627
run36_greedy_maximin_distance_adjacent_swap_0081,run36_greedy_maximin_distance_adjacent_swap_0081,engineering_baseline,maximin,0.47580645161290325,0.49193548387096775,0,2,31,24,0.016129032258064502
V02_M00_NDK_R24_V01,V02_M00_NDK_R24_V01,engineering_baseline,method_c,0.717741935483871,0.3709677419354839,14,1,31,21,-0.3467741935483871
V02_M00_PGJ_V01,V02_M00_PGJ_V01,engineering_baseline,method_c,0.6532258064516129,0.3548387096774194,10,1,30,19,-0.2983870967741935
V02_M00_PGN_R24_V01,V02_M00_PGN_R24_V01,engineering_baseline,method_c,0.3709677419354839,0.6693548387096774,1,7,21,31,0.2983870967741935
V02_M00_PGR_R24_V01,V02_M00_PGR_R24_V01,engineering_baseline,method_c,0.532258064516129,0.4838709677419355,2,3,30,27,-0.048387096774193505
mc_cand_001,mc_cand_001,engineering_baseline,method_c,0.4596774193548387,0.532258064516129,0,5,27,28,0.07258064516129031
mc_cand_002,mc_cand_002,engineering_baseline,method_c,0.4596774193548387,0.532258064516129,0,5,27,28,0.07258064516129031
mc_cand_004,mc_cand_004,engineering_baseline,method_c,0.4838709677419355,0.5645161290322581,0,6,28,29,0.08064516129032262
mc_cand_006,mc_cand_006,engineering_baseline,method_c,0.5080645161290323,0.5967741935483871,0,7,29,30,0.08870967741935487
