strategy_name,label,category,family,mean_jump,median_jump,max_jump,min_jump,std_jump,count_jump_1,count_jump_le_2,count_jump_ge_8,count_jump_ge_16
block_interleaved_quarters,block_interleaved_quarters,engineering_baseline,block_interleaved,11.387096774193548,8,23,8,6.271684546846316,0,0,31,7
center_edge_alternating,center_edge_alternating,engineering_baseline,center_edge,12.096774193548388,15,17,1,5.372299553952529,2,2,23,15
center_out,center_out,engineering_baseline,center_out,16.0,16,31,1,8.94427190999916,1,2,24,16
edge_in,edge_in,engineering_baseline,edge_in,16.0,16,31,1,8.94427190999916,1,2,24,16
edge_in_alternating_LHI,edge_in_alternating_LHI,engineering_baseline,edge_in,16.0,16,31,1,8.94427190999916,1,2,24,16
UPB_A07_V01,UPB_A07_V01,engineering_baseline,maximin,7.806451612903226,4,31,2,8.02584275481884,0,13,11,7
greedy_maximin_distance,greedy_maximin_distance,engineering_baseline,maximin,6.387096774193548,2,31,1,7.897232750759408,1,16,8,5
run36_greedy_maximin_distance_adjacent_swap_0002,run36_greedy_maximin_distance_adjacent_swap_0002,engineering_baseline,maximin,6.645161290322581,4,31,1,7.781485002552738,1,12,8,5
run36_greedy_maximin_distance_adjacent_swap_0009,run36_greedy_maximin_distance_adjacent_swap_0009,engineering_baseline,maximin,6.774193548387097,4,31,2,7.811115642175722,0,14,10,5
run36_greedy_maximin_distance_adjacent_swap_0021,run36_greedy_maximin_distance_adjacent_swap_0021,engineering_baseline,maximin,6.774193548387097,4,31,1,7.8193708080322395,1,14,10,5
run36_greedy_maximin_distance_adjacent_swap_0023,run36_greedy_maximin_distance_adjacent_swap_0023,engineering_baseline,maximin,6.387096774193548,2,31,1,7.5463189888154965,1,16,8,5
run36_greedy_maximin_distance_adjacent_swap_0029,run36_greedy_maximin_distance_adjacent_swap_0029,engineering_baseline,maximin,7.0,4,31,1,8.01611280585104,1,14,9,5
run36_greedy_maximin_distance_adjacent_swap_0045,run36_greedy_maximin_distance_adjacent_swap_0045,engineering_baseline,maximin,7.419354838709677,4,31,1,8.40036171858818,1,13,9,7
run36_greedy_maximin_distance_adjacent_swap_0046,run36_greedy_maximin_distance_adjacent_swap_0046,engineering_baseline,maximin,6.774193548387097,4,31,1,7.8193708080322395,1,14,10,5
run36_greedy_maximin_distance_adjacent_swap_0050,run36_greedy_maximin_distance_adjacent_swap_0050,engineering_baseline,maximin,6.516129032258065,4,31,2,7.564223806168237,0,14,8,6
run36_greedy_maximin_distance_adjacent_swap_0054,run36_greedy_maximin_distance_adjacent_swap_0054,engineering_baseline,maximin,6.645161290322581,4,31,1,7.781485002552738,1,12,8,5
run36_greedy_maximin_distance_adjacent_swap_0055,run36_greedy_maximin_distance_adjacent_swap_0055,engineering_baseline,maximin,6.774193548387097,4,31,1,7.8193708080322395,1,14,10,5
run36_greedy_maximin_distance_adjacent_swap_0066,run36_greedy_maximin_distance_adjacent_swap_0066,engineering_baseline,maximin,6.774193548387097,4,31,1,7.8193708080322395,1,14,10,5
run36_greedy_maximin_distance_adjacent_swap_0072,run36_greedy_maximin_distance_adjacent_swap_0072,engineering_baseline,maximin,6.903225806451613,2,31,1,7.920389525732559,1,16,11,5
run36_greedy_maximin_distance_adjacent_swap_0073,run36_greedy_maximin_distance_adjacent_swap_0073,engineering_baseline,maximin,5.870967741935484,2,31,1,7.347336298032014,1,16,8,3
run36_greedy_maximin_distance_adjacent_swap_0081,run36_greedy_maximin_distance_adjacent_swap_0081,engineering_baseline,maximin,6.645161290322581,4,31,1,7.781485002552738,1,12,8,5
