strategy_name,label,category,family,mean_abs_lr_imbalance,max_abs_lr_imbalance,final_abs_lr_imbalance
block_interleaved_quarters,block_interleaved_quarters,engineering_baseline,block_interleaved,1.0,2,0
center_edge_alternating,center_edge_alternating,engineering_baseline,center_edge,1.0,2,0
center_out,center_out,engineering_baseline,center_out,0.5,1,0
edge_in,edge_in,engineering_baseline,edge_in,0.5,1,0
edge_in_alternating_LHI,edge_in_alternating_LHI,engineering_baseline,edge_in,0.5,1,0
UPB_A07_V01,UPB_A07_V01,engineering_baseline,maximin,1.875,6,0
greedy_maximin_distance,greedy_maximin_distance,engineering_baseline,maximin,2.6875,8,0
run36_greedy_maximin_distance_adjacent_swap_0002,run36_greedy_maximin_distance_adjacent_swap_0002,engineering_baseline,maximin,2.6875,8,0
run36_greedy_maximin_distance_adjacent_swap_0009,run36_greedy_maximin_distance_adjacent_swap_0009,engineering_baseline,maximin,2.6875,8,0
run36_greedy_maximin_distance_adjacent_swap_0021,run36_greedy_maximin_distance_adjacent_swap_0021,engineering_baseline,maximin,2.625,8,0
run36_greedy_maximin_distance_adjacent_swap_0023,run36_greedy_maximin_distance_adjacent_swap_0023,engineering_baseline,maximin,2.6875,8,0
run36_greedy_maximin_distance_adjacent_swap_0029,run36_greedy_maximin_distance_adjacent_swap_0029,engineering_baseline,maximin,2.625,8,0
run36_greedy_maximin_distance_adjacent_swap_0045,run36_greedy_maximin_distance_adjacent_swap_0045,engineering_baseline,maximin,2.6875,7,0
run36_greedy_maximin_distance_adjacent_swap_0046,run36_greedy_maximin_distance_adjacent_swap_0046,engineering_baseline,maximin,2.6875,8,0
run36_greedy_maximin_distance_adjacent_swap_0050,run36_greedy_maximin_distance_adjacent_swap_0050,engineering_baseline,maximin,2.6875,8,0
run36_greedy_maximin_distance_adjacent_swap_0054,run36_greedy_maximin_distance_adjacent_swap_0054,engineering_baseline,maximin,2.6875,8,0
run36_greedy_maximin_distance_adjacent_swap_0055,run36_greedy_maximin_distance_adjacent_swap_0055,engineering_baseline,maximin,2.6875,8,0
run36_greedy_maximin_distance_adjacent_swap_0066,run36_greedy_maximin_distance_adjacent_swap_0066,engineering_baseline,maximin,2.6875,8,0
run36_greedy_maximin_distance_adjacent_swap_0072,run36_greedy_maximin_distance_adjacent_swap_0072,engineering_baseline,maximin,2.625,8,0
run36_greedy_maximin_distance_adjacent_swap_0073,run36_greedy_maximin_distance_adjacent_swap_0073,engineering_baseline,maximin,2.6875,8,0
run36_greedy_maximin_distance_adjacent_swap_0081,run36_greedy_maximin_distance_adjacent_swap_0081,engineering_baseline,maximin,2.6875,8,0
V02_M00_NDK_R24_V01,V02_M00_NDK_R24_V01,engineering_baseline,method_c,0.625,2,0
V02_M00_PGJ_V01,V02_M00_PGJ_V01,engineering_baseline,method_c,0.875,3,0
V02_M00_PGN_R24_V01,V02_M00_PGN_R24_V01,engineering_baseline,method_c,0.5,1,0
V02_M00_PGR_R24_V01,V02_M00_PGR_R24_V01,engineering_baseline,method_c,0.5,1,0
mc_cand_001,mc_cand_001,engineering_baseline,method_c,2.0625,5,0
mc_cand_002,mc_cand_002,engineering_baseline,method_c,2.0625,5,0
mc_cand_004,mc_cand_004,engineering_baseline,method_c,2.3125,6,0
mc_cand_006,mc_cand_006,engineering_baseline,method_c,2.8125,7,0
mc_cand_066,mc_cand_066,engineering_baseline,method_c,1.5625,5,0
mc_cand_067,mc_cand_067,engineering_baseline,method_c,2.8125,8,0
mc_cand_121,mc_cand_121,engineering_baseline,method_c,0.5,1,0
mc_cand_129,mc_cand_129,engineering_baseline,method_c,0.5,1,0
mc_extra_001,mc_extra_001,engineering_baseline,method_c,2.3125,6,0
mc_extra_002,mc_extra_002,engineering_baseline,method_c,2.125,5,0
mc_extra_003,mc_extra_003,engineering_baseline,method_c,2.8125,7,0
mc_extra_004,mc_extra_004,engineering_baseline,method_c,2.0625,5,0
mc_extra_005,mc_extra_005,engineering_baseline,method_c,3.125,7,0
mc_extra_006,mc_extra_006,engineering_baseline,method_c,2.125,5,0
mc_extra_007,mc_extra_007,engineering_baseline,method_c,2.0625,5,0
mc_extra_008,mc_extra_008,engineering_baseline,method_c,2.5,6,0
mc_extra_009,mc_extra_009,engineering_baseline,method_c,2.0625,5,0
mc_extra_010,mc_extra_010,engineering_baseline,method_c,2.5,6,0
mc_extra_011,mc_extra_011,engineering_baseline,method_c,0.8125,3,0
mc_extra_012,mc_extra_012,engineering_baseline,method_c,2.625,7,0
mc_extra_013,mc_extra_013,engineering_baseline,method_c,0.6875,2,0
mc_extra_014,mc_extra_014,engineering_baseline,method_c,0.8125,3,0
mc_extra_015,mc_extra_015,engineering_baseline,method_c,0.5,1,0
mc_extra_016,mc_extra_016,engineering_baseline,method_c,2.375,6,0
mc_extra_017,mc_extra_017,engineering_baseline,method_c,3.0,8,0
mc_extra_018,mc_extra_018,engineering_baseline,method_c,1.5,5,0
mc_extra_019,mc_extra_019,engineering_baseline,method_c,1.9375,4,0
mc_extra_020,mc_extra_020,engineering_baseline,method_c,2.0,5,0
multi_lag_regular_jump,multi_lag_regular_jump,engineering_baseline,multi_lag,2.375,5,0
UPB_A03_V01,UPB_A03_V01,engineering_baseline,odd_even,2.5625,6,0
odd_even_interlaced,odd_even_interlaced,engineering_baseline,odd_even,4.0,8,0
formal_raster_left_to_right,formal_raster_left_to_right,engineering_baseline,raster,8.0,16,0
smartscan_proxy_variance,smartscan_proxy_variance,engineering_baseline,smartscan,0.8125,2,0
raster_left_to_right,raster_left_to_right,engineering_baseline,unknown,8.0,16,0
windowed_max_dispersion,windowed_max_dispersion,engineering_baseline,windowed_max_dispersion,0.5,1,0
GNNU_A01_V01,GNNU_A01_V01,learned_gnn_rl,GNN,1.25,3,0
GNNU_A02_V01,GNNU_A02_V01,learned_gnn_rl,GNN,1.875,5,0
GNNU_A03_V01,GNNU_A03_V01,learned_gnn_rl,GNN,1.3125,4,0
GNNU_A04_V01,GNNU_A04_V01,learned_gnn_rl,GNN,2.0625,5,0
RL20_A01_V01,RL20_A01_V01,learned_gnn_rl,RL20,3.0,8,0
RL20_A02_V01,RL20_A02_V01,learned_gnn_rl,RL20,3.1875,8,0
RL20_A03_V01,RL20_A03_V01,learned_gnn_rl,RL20,3.25,8,0
RL20_A04_V01,RL20_A04_V01,learned_gnn_rl,RL20,3.0,8,0
RL20_A05_V01,RL20_A05_V01,learned_gnn_rl,RL20,3.1875,8,0
RL20_A06_V01,RL20_A06_V01,learned_gnn_rl,RL20,2.9375,8,0
RL20_A07_V01,RL20_A07_V01,learned_gnn_rl,RL20,3.1875,8,0
RL20_A08_V01,RL20_A08_V01,learned_gnn_rl,RL20,3.1875,8,0
RL20_A09_V01,RL20_A09_V01,learned_gnn_rl,RL20,3.1875,8,0
RL20_A10_V01,RL20_A10_V01,learned_gnn_rl,RL20,3.1875,8,0
RL20_A11_V01,RL20_A11_V01,learned_gnn_rl,RL20,3.1875,8,0
RL20_A12_V01,RL20_A12_V01,learned_gnn_rl,RL20,3.25,8,0
RL20_A13_V01,RL20_A13_V01,learned_gnn_rl,RL20,3.25,8,0
RL20_A14_V01,RL20_A14_V01,learned_gnn_rl,RL20,3.1875,8,0
RL20_A15_V01,RL20_A15_V01,learned_gnn_rl,RL20,3.3125,8,0
RL20_A16_V01,RL20_A16_V01,learned_gnn_rl,RL20,2.875,8,0
RL20_A17_V01,RL20_A17_V01,learned_gnn_rl,RL20,3.0,8,0
RL20_A18_V01,RL20_A18_V01,learned_gnn_rl,RL20,3.0,8,0
RL20_A19_V01,RL20_A19_V01,learned_gnn_rl,RL20,2.875,8,0
RL20_A20_V01,RL20_A20_V01,learned_gnn_rl,RL20,3.1875,8,0
RLU2_A01_V01,RLU2_A01_V01,learned_gnn_rl,RLU2,2.0,5,0
RLU2_A02_V01,RLU2_A02_V01,learned_gnn_rl,RLU2,2.0625,5,0
RLU2_A03_V01,RLU2_A03_V01,learned_gnn_rl,RLU2,2.0625,5,0
RLU2_A04_V01,RLU2_A04_V01,learned_gnn_rl,RLU2,2.0625,5,0
RLU2_A05_V01,RLU2_A05_V01,learned_gnn_rl,RLU2,2.0625,5,0
RLU2_A06_V01,RLU2_A06_V01,learned_gnn_rl,RLU2,2.0625,5,0
RLU2_A07_V01,RLU2_A07_V01,learned_gnn_rl,RLU2,2.0625,5,0
RLU2_A08_V01,RLU2_A08_V01,learned_gnn_rl,RLU2,4.0,8,0
RLU2_A09_V01,RLU2_A09_V01,learned_gnn_rl,RLU2,3.0,8,0
RLU2_A10_V01,RLU2_A10_V01,learned_gnn_rl,RLU2,4.0,8,0
RLU2_A11_V01,RLU2_A11_V01,learned_gnn_rl,RLU2,4.0,8,0
RLU2_A12_V01,RLU2_A12_V01,learned_gnn_rl,RLU2,4.0,8,0
RLU2_A13_V01,RLU2_A13_V01,learned_gnn_rl,RLU2,4.0,8,0
RLU2_A14_V01,RLU2_A14_V01,learned_gnn_rl,RLU2,4.0,8,0
RLU2_A15_V01,RLU2_A15_V01,learned_gnn_rl,RLU2,2.0625,5,0
RLU2_A16_V01,RLU2_A16_V01,learned_gnn_rl,RLU2,2.0625,5,0
RLU2_A17_V01,RLU2_A17_V01,learned_gnn_rl,RLU2,2.0625,5,0
RLU2_A18_V01,RLU2_A18_V01,learned_gnn_rl,RLU2,1.9375,5,0
RLU2_A19_V01,RLU2_A19_V01,learned_gnn_rl,RLU2,1.0,3,0
RLU2_A20_V01,RLU2_A20_V01,learned_gnn_rl,RLU2,3.125,7,0
RLU2M_A01_V01,RLU2M_A01_V01,learned_gnn_rl,RLU2M,2.0,5,0
RLU2M_A02_V01,RLU2M_A02_V01,learned_gnn_rl,RLU2M,2.0,5,0
RLU2M_A03_V01,RLU2M_A03_V01,learned_gnn_rl,RLU2M,2.0,5,0
RLU2M_A04_V01,RLU2M_A04_V01,learned_gnn_rl,RLU2M,2.0,5,0
RLU2M_A05_V01,RLU2M_A05_V01,learned_gnn_rl,RLU2M,2.0,5,0
RLU2M_A06_V01,RLU2M_A06_V01,learned_gnn_rl,RLU2M,2.0,5,0
RLU2M_A07_V01,RLU2M_A07_V01,learned_gnn_rl,RLU2M,2.0,5,0
RLU2M_A08_V01,RLU2M_A08_V01,learned_gnn_rl,RLU2M,2.0,5,0
RLU2M_A09_V01,RLU2M_A09_V01,learned_gnn_rl,RLU2M,2.0,5,0
RLU2M_A10_V01,RLU2M_A10_V01,learned_gnn_rl,RLU2M,2.0,5,0
RLU2M_A11_V01,RLU2M_A11_V01,learned_gnn_rl,RLU2M,2.0,5,0
RLU2M_A12_V01,RLU2M_A12_V01,learned_gnn_rl,RLU2M,2.0,5,0
RLU2M_A13_V01,RLU2M_A13_V01,learned_gnn_rl,RLU2M,2.0,5,0
RLU2M_A14_V01,RLU2M_A14_V01,learned_gnn_rl,RLU2M,2.0,5,0
RLU2M_A15_V01,RLU2M_A15_V01,learned_gnn_rl,RLU2M,2.0,5,0
RLU2M_A16_V01,RLU2M_A16_V01,learned_gnn_rl,RLU2M,2.0,5,0
RLU2M_A17_V01,RLU2M_A17_V01,learned_gnn_rl,RLU2M,2.0,5,0
RLU2M_A18_V01,RLU2M_A18_V01,learned_gnn_rl,RLU2M,2.0,5,0
RLU2M_A19_V01,RLU2M_A19_V01,learned_gnn_rl,RLU2M,2.0,5,0
RLU2M_A20_V01,RLU2M_A20_V01,learned_gnn_rl,RLU2M,2.0,5,0
RLU2M_A21_V01,RLU2M_A21_V01,learned_gnn_rl,RLU2M,1.9375,5,0
RLU2M_A22_V01,RLU2M_A22_V01,learned_gnn_rl,RLU2M,2.125,5,0
RLU2M_A23_V01,RLU2M_A23_V01,learned_gnn_rl,RLU2M,1.9375,5,0
RLU2M_A24_V01,RLU2M_A24_V01,learned_gnn_rl,RLU2M,2.0,5,0
