strategy_name,block_interleaved_quarters,center_edge_alternating,center_out,edge_in,edge_in_alternating_LHI,UPB_A07_V01,greedy_maximin_distance,run36_greedy_maximin_distance_adjacent_swap_0002,run36_greedy_maximin_distance_adjacent_swap_0009,run36_greedy_maximin_distance_adjacent_swap_0021,run36_greedy_maximin_distance_adjacent_swap_0023,run36_greedy_maximin_distance_adjacent_swap_0029,run36_greedy_maximin_distance_adjacent_swap_0045,run36_greedy_maximin_distance_adjacent_swap_0046,run36_greedy_maximin_distance_adjacent_swap_0050,run36_greedy_maximin_distance_adjacent_swap_0054,run36_greedy_maximin_distance_adjacent_swap_0055,run36_greedy_maximin_distance_adjacent_swap_0066,run36_greedy_maximin_distance_adjacent_swap_0072,run36_greedy_maximin_distance_adjacent_swap_0073,run36_greedy_maximin_distance_adjacent_swap_0081,V02_M00_NDK_R24_V01,V02_M00_PGJ_V01,V02_M00_PGN_R24_V01,V02_M00_PGR_R24_V01,mc_cand_001,mc_cand_002,mc_cand_004,mc_cand_006,mc_cand_066,mc_cand_067,mc_cand_121,mc_cand_129,mc_extra_001,mc_extra_002,mc_extra_003,mc_extra_004,mc_extra_005,mc_extra_006,mc_extra_007,mc_extra_008,mc_extra_009,mc_extra_010,mc_extra_011,mc_extra_012,mc_extra_013,mc_extra_014,mc_extra_015,mc_extra_016,mc_extra_017,mc_extra_018,mc_extra_019,mc_extra_020,multi_lag_regular_jump,UPB_A03_V01,odd_even_interlaced,formal_raster_left_to_right,smartscan_proxy_variance,raster_left_to_right,windowed_max_dispersion,GNNU_A01_V01,GNNU_A02_V01,GNNU_A03_V01,GNNU_A04_V01,RL20_A01_V01,RL20_A02_V01,RL20_A03_V01,RL20_A04_V01,RL20_A05_V01,RL20_A06_V01,RL20_A07_V01,RL20_A08_V01,RL20_A09_V01,RL20_A10_V01,RL20_A11_V01,RL20_A12_V01,RL20_A13_V01,RL20_A14_V01,RL20_A15_V01,RL20_A16_V01,RL20_A17_V01,RL20_A18_V01,RL20_A19_V01,RL20_A20_V01,RLU2_A01_V01,RLU2_A02_V01,RLU2_A03_V01,RLU2_A04_V01,RLU2_A05_V01,RLU2_A06_V01,RLU2_A07_V01,RLU2_A08_V01,RLU2_A09_V01,RLU2_A10_V01,RLU2_A11_V01,RLU2_A12_V01,RLU2_A13_V01,RLU2_A14_V01,RLU2_A15_V01,RLU2_A16_V01,RLU2_A17_V01,RLU2_A18_V01,RLU2_A19_V01,RLU2_A20_V01,RLU2M_A01_V01,RLU2M_A02_V01,RLU2M_A03_V01,RLU2M_A04_V01,RLU2M_A05_V01,RLU2M_A06_V01,RLU2M_A07_V01,RLU2M_A08_V01,RLU2M_A09_V01,RLU2M_A10_V01,RLU2M_A11_V01,RLU2M_A12_V01,RLU2M_A13_V01,RLU2M_A14_V01,RLU2M_A15_V01,RLU2M_A16_V01,RLU2M_A17_V01,RLU2M_A18_V01,RLU2M_A19_V01,RLU2M_A20_V01,RLU2M_A21_V01,RLU2M_A22_V01,RLU2M_A23_V01,RLU2M_A24_V01,RLU2M_A25_V01,RLU2M_A26_V01,RLU2M_A27_V01,RLU2M_A28_V01,RLU2M_A29_V01,RLU2M_A30_V01,RLU2M_A31_V01,RLU2M_A32_V01,RLU2M_A33_V01,RLU2M_A34_V01,RLU2M_A35_V01,RLU2M_A36_V01,RLU2M_A37_V01,RLU2M_A38_V01,RLU2M_A39_V01,RLU2M_A40_V01,RLV2C_A01_V01,RLV2C_A02_V01,RLV2C_A03_V01,RLV2C_A04_V01,RLV2C_A05_V01,RLV2C_A06_V01,RLV2C_A07_V01,RLV2C_A08_V01,RLV2C_A09_V01,RLV2C_A10_V01,RLV2C_A11_V01,RLV2C_A12_V01,RLV2C_A13_V01,RLV2C_A14_V01,RLV2C_A15_V01,RLV2C_A16_V01,RLV2C_A17_V01,RLV2C_A18_V01,RLV2C_A19_V01,RLV2C_A20_V01,RLV2C_A21_V01,RLV2C_A22_V01,RLV2C_A23_V01,RLV2C_A24_V01,RLV2C_A25_V01,RLV2C_A26_V01,RLV2C_A27_V01,RLV2C_A28_V01,RLV2C_A29_V01,RLV2C_A30_V01,RLV2O_A001_V01,RLV2O_A002_V01,RLV2O_A003_V01,RLV2O_A004_V01,RLV2O_A005_V01,RLV2O_A006_V01
block_interleaved_quarters,0.0,0.494135,0.497067,0.497067,0.497067,0.551503,0.57423,0.577163,0.572947,0.572947,0.57588,0.581562,0.569465,0.578629,0.57588,0.577163,0.567265,0.567265,0.568732,0.57588,0.571481,0.437133,0.41129,0.416422,0.440433,0.352639,0.351173,0.302053,0.292522,0.518145,0.39846,0.554069,0.421738,0.303519,0.345125,0.291056,0.408358,0.648094,0.322581,0.366569,0.291056,0.354655,0.289589,0.346591,0.547104,0.417155,0.441716,0.434384,0.543438,0.3739,0.609971,0.515396,0.497801,0.618768,0.341276,0.318182,0.318182,0.583761,0.318182,0.568182,0.441899,0.367669,0.367119,0.40011,0.524377,0.564883,0.559201,0.52456,0.509897,0.517229,0.554619,0.514479,0.517045,0.51118,0.559018,0.512463,0.516496,0.580095,0.495784,0.553336,0.527493,0.522361,0.584494,0.495601,0.391496,0.401576,0.403043,0.401576,0.398827,0.394611,0.397727,0.319648,0.329912,0.312683,0.324047,0.324047,0.324047,0.324047,0.40176,0.389113,0.41184,0.378299,0.606305,0.448497,0.392962,0.393145,0.392962,0.390213,0.392962,0.386364,0.385997,0.385997,0.385997,0.397361,0.401943,0.403226,0.392962,0.38728,0.392962,0.38728,0.392962,0.392962,0.392962,0.391496,0.380499,0.392962,0.388746,0.387463,0.404326,0.33871,0.401943,0.511913,0.33926,0.409641,0.390946,0.384348,0.396078,0.282258,0.396628,0.609421,0.507881,0.408358,0.470125,0.419538,0.540872,0.614003,0.633981,0.484971,0.47544,0.370601,0.502016,0.464443,0.468842,0.558101,0.510264,0.379399,0.496518,0.485887,0.344208,0.486987,0.555718,0.483321,0.57533,0.609604,0.470125,0.585777,0.48717,0.444098,0.519978,0.434201,0.494318,0.548204,0.521628,0.548754,0.58596,0.489186,0.629949,0.521261,0.447581,0.500733
center_edge_alternating,0.494135,0.0,0.473607,0.520528,0.520528,0.429252,0.434018,0.434018,0.4364,0.435117,0.4364,0.435484,0.432551,0.438416,0.4364,0.431085,0.435484,0.43585,0.434567,0.440982,0.436034,0.510997,0.532991,0.466276,0.484787,0.515396,0.516862,0.55132,0.546188,0.471224,0.492302,0.455462,0.355022,0.549853,0.573497,0.547654,0.508065,0.475073,0.536657,0.538123,0.553519,0.549304,0.554985,0.423021,0.550403,0.439699,0.476906,0.443915,0.429252,0.497067,0.461144,0.477273,0.622067,0.492302,0.523827,0.47654,0.453079,0.392412,0.453079,0.482405,0.621151,0.620601,0.673754,0.634164,0.499633,0.510997,0.503299,0.510447,0.503849,0.508065,0.512463,0.508431,0.507698,0.501833,0.516862,0.507331,0.502199,0.493035,0.520894,0.504765,0.507515,0.495601,0.495968,0.493218,0.638196,0.63563,0.637097,0.63563,0.638013,0.635264,0.641679,0.478006,0.482405,0.47544,0.470674,0.470674,0.482405,0.470674,0.629216,0.630499,0.622434,0.623167,0.512463,0.475073,0.639663,0.631965,0.639663,0.634897,0.63673,0.645528,0.640029,0.640029,0.640029,0.644062,0.623167,0.649927,0.63673,0.63728,0.639663,0.638746,0.639663,0.639663,0.639663,0.638196,0.641496,0.644428,0.639296,0.634897,0.634531,0.485337,0.624633,0.469758,0.4989,0.622251,0.644795,0.628482,0.566716,0.517962,0.58871,0.510264,0.452713,0.549487,0.504582,0.394795,0.611804,0.547837,0.563783,0.596224,0.554252,0.677969,0.612903,0.392045,0.529142,0.455279,0.466092,0.479472,0.576796,0.615652,0.450696,0.716826,0.483504,0.43695,0.591092,0.545455,0.611804,0.688966,0.595674,0.453812,0.569465,0.787757,0.567082,0.605755,0.40121,0.446848,0.581928,0.566899,0.585044,0.53904,0.520345,0.559384
center_out,0.497067,0.473607,0.0,0.997067,0.997067,0.469391,0.528409,0.528409,0.529142,0.527493,0.530609,0.529142,0.528409,0.530609,0.530609,0.528409,0.529142,0.530609,0.529692,0.530425,0.528409,0.300037,0.304985,0.63563,0.423021,0.575513,0.57478,0.559384,0.52566,0.354106,0.553152,0.434384,0.497434,0.560117,0.485704,0.524927,0.542155,0.344575,0.571848,0.538856,0.54912,0.531891,0.548387,0.437867,0.396994,0.47489,0.385264,0.404326,0.300403,0.404692,0.283724,0.504765,0.514296,0.536657,0.505865,0.48827,0.47654,0.552053,0.47654,0.488636,0.595674,0.510264,0.451063,0.502749,0.476356,0.476173,0.491752,0.473424,0.471957,0.477639,0.47544,0.477089,0.471224,0.474157,0.47324,0.477273,0.473607,0.485521,0.470125,0.504582,0.471957,0.478006,0.512647,0.485154,0.500367,0.503482,0.501283,0.502016,0.504949,0.499817,0.495418,0.489003,0.412023,0.491202,0.485337,0.491202,0.485337,0.491202,0.50055,0.496884,0.496884,0.510997,0.569648,0.45143,0.499633,0.503116,0.5011,0.50165,0.5011,0.495235,0.503299,0.503299,0.503299,0.497434,0.507515,0.494501,0.499633,0.499633,0.5011,0.499633,0.5011,0.499633,0.5011,0.4989,0.495601,0.497067,0.49945,0.498167,0.497067,0.478006,0.495051,0.492669,0.505315,0.482771,0.507148,0.495235,0.539773,0.541422,0.458944,0.550037,0.503482,0.44978,0.533724,0.445198,0.606122,0.36382,0.605022,0.528776,0.530792,0.518145,0.384348,0.601723,0.294172,0.311767,0.602456,0.548387,0.427053,0.462243,0.5614,0.594941,0.521628,0.539773,0.234971,0.273827,0.256048,0.311767,0.352639,0.483321,0.682551,0.4375,0.328996,0.311217,0.503849,0.565982,0.32478,0.472507,0.377383,0.409641,0.559567,0.522727
edge_in,0.497067,0.520528,0.997067,0.0,0.0,0.519978,0.455828,0.455828,0.455095,0.457111,0.453629,0.455828,0.455828,0.453629,0.453629,0.455828,0.455095,0.453629,0.454912,0.454179,0.455828,0.701063,0.692082,0.365836,0.576979,0.421554,0.422287,0.431818,0.459677,0.648094,0.454179,0.565616,0.502566,0.431085,0.514296,0.460411,0.460777,0.673021,0.422287,0.458211,0.43915,0.465176,0.439883,0.559567,0.614736,0.525477,0.614736,0.595674,0.686767,0.583578,0.723607,0.506232,0.493035,0.475806,0.479472,0.48827,0.47654,0.45088,0.47654,0.51063,0.407258,0.479472,0.545638,0.491019,0.506415,0.505499,0.489553,0.509348,0.509348,0.505499,0.506232,0.504216,0.510081,0.507148,0.508431,0.503666,0.507331,0.496518,0.510447,0.478922,0.510814,0.504399,0.472324,0.496151,0.493035,0.490286,0.492485,0.491752,0.48882,0.493952,0.49835,0.487537,0.576246,0.485337,0.491202,0.485337,0.491202,0.485337,0.493218,0.496884,0.496884,0.481672,0.430352,0.566532,0.493768,0.489919,0.492302,0.491386,0.492302,0.496701,0.490103,0.490103,0.490103,0.495968,0.485521,0.4989,0.493768,0.493768,0.492302,0.493768,0.492302,0.493768,0.492302,0.494501,0.497067,0.497067,0.494318,0.495235,0.497067,0.498534,0.498717,0.483871,0.472324,0.51063,0.487353,0.5011,0.456195,0.440249,0.538123,0.462793,0.513013,0.560484,0.458944,0.54857,0.402309,0.629949,0.396078,0.470125,0.470674,0.481488,0.622617,0.398644,0.716459,0.687867,0.405242,0.453812,0.578079,0.53849,0.455828,0.424853,0.473974,0.451796,0.754765,0.71371,0.755315,0.690066,0.653226,0.526576,0.321848,0.565066,0.671371,0.687317,0.478922,0.433284,0.688416,0.525293,0.625183,0.585594,0.437133,0.480205
edge_in_alternating_LHI,0.497067,0.520528,0.997067,0.0,0.0,0.519978,0.455828,0.455828,0.455095,0.457111,0.453629,0.455828,0.455828,0.453629,0.453629,0.455828,0.455095,0.453629,0.454912,0.454179,0.455828,0.701063,0.692082,0.365836,0.576979,0.421554,0.422287,0.431818,0.459677,0.648094,0.454179,0.565616,0.502566,0.431085,0.514296,0.460411,0.460777,0.673021,0.422287,0.458211,0.43915,0.465176,0.439883,0.559567,0.614736,0.525477,0.614736,0.595674,0.686767,0.583578,0.723607,0.506232,0.493035,0.475806,0.479472,0.48827,0.47654,0.45088,0.47654,0.51063,0.407258,0.479472,0.545638,0.491019,0.506415,0.505499,0.489553,0.509348,0.509348,0.505499,0.506232,0.504216,0.510081,0.507148,0.508431,0.503666,0.507331,0.496518,0.510447,0.478922,0.510814,0.504399,0.472324,0.496151,0.493035,0.490286,0.492485,0.491752,0.48882,0.493952,0.49835,0.487537,0.576246,0.485337,0.491202,0.485337,0.491202,0.485337,0.493218,0.496884,0.496884,0.481672,0.430352,0.566532,0.493768,0.489919,0.492302,0.491386,0.492302,0.496701,0.490103,0.490103,0.490103,0.495968,0.485521,0.4989,0.493768,0.493768,0.492302,0.493768,0.492302,0.493768,0.492302,0.494501,0.497067,0.497067,0.494318,0.495235,0.497067,0.498534,0.498717,0.483871,0.472324,0.51063,0.487353,0.5011,0.456195,0.440249,0.538123,0.462793,0.513013,0.560484,0.458944,0.54857,0.402309,0.629949,0.396078,0.470125,0.470674,0.481488,0.622617,0.398644,0.716459,0.687867,0.405242,0.453812,0.578079,0.53849,0.455828,0.424853,0.473974,0.451796,0.754765,0.71371,0.755315,0.690066,0.653226,0.526576,0.321848,0.565066,0.671371,0.687317,0.478922,0.433284,0.688416,0.525293,0.625183,0.585594,0.437133,0.480205
UPB_A07_V01,0.551503,0.429252,0.469391,0.519978,0.519978,0.0,0.027309,0.029142,0.026026,0.026576,0.028959,0.027859,0.025293,0.029142,0.028592,0.027676,0.026393,0.026393,0.026393,0.027676,0.029142,0.493218,0.796554,0.836694,0.786107,0.784457,0.787023,0.783908,0.765396,0.479655,0.473974,0.306268,0.481855,0.781342,0.673021,0.767962,0.719391,0.191532,0.790872,0.684018,0.77511,0.6864,0.777676,0.502383,0.675953,0.439333,0.47379,0.55077,0.11162,0.750733,0.16184,0.437133,0.561034,0.559384,0.771444,0.768512,0.40066,0.078446,0.40066,0.549853,0.76393,0.618402,0.668805,0.632698,0.12555,0.182551,0.1875,0.127016,0.120601,0.122617,0.1886,0.121334,0.130132,0.121334,0.187317,0.120418,0.125,0.196848,0.117669,0.18695,0.127383,0.120235,0.209677,0.133431,0.629399,0.630865,0.629765,0.632515,0.633248,0.633065,0.632881,0.767412,0.764113,0.769245,0.767412,0.769245,0.767045,0.763746,0.633614,0.633431,0.634164,0.62665,0.534091,0.393695,0.629582,0.627383,0.627566,0.627016,0.629582,0.61327,0.627199,0.627199,0.627199,0.627933,0.628482,0.624267,0.628482,0.630499,0.629216,0.629582,0.629216,0.628482,0.629216,0.628299,0.621334,0.633798,0.627566,0.627933,0.635081,0.760997,0.627749,0.115286,0.769245,0.621334,0.635447,0.626283,0.71316,0.694282,0.628666,0.567632,0.495968,0.768145,0.480755,0.245601,0.578079,0.26393,0.43805,0.445015,0.600073,0.599157,0.368768,0.482955,0.509348,0.519611,0.536107,0.477823,0.513196,0.552786,0.527859,0.625916,0.493768,0.532441,0.527859,0.490652,0.481488,0.521811,0.528409,0.504032,0.492852,0.582295,0.58651,0.490286,0.47599,0.450147,0.483321,0.555902,0.280425,0.27676,0.56305,0.604472
greedy_maximin_distance,0.57423,0.434018,0.528409,0.455828,0.455828,0.027309,0.0,0.000367,0.000367,0.000367,0.000367,0.00055,0.000367,0.000367,0.000367,0.000367,0.000367,0.000367,0.000367,0.000367,0.000367,0.504216,0.821298,0.823864,0.797654,0.77511,0.777676,0.771994,0.750916,0.502383,0.452529,0.348974,0.499817,0.769428,0.717925,0.753482,0.728006,0.223607,0.781525,0.692632,0.763196,0.693548,0.765762,0.516312,0.692265,0.454179,0.499633,0.594391,0.131598,0.733688,0.195381,0.447397,0.571298,0.58706,0.755499,0.751466,0.366569,0.077713,0.366569,0.607038,0.762463,0.627749,0.700696,0.64901,0.131415,0.169905,0.165323,0.135081,0.120784,0.128666,0.171554,0.12335,0.128116,0.121518,0.172104,0.120968,0.122984,0.179802,0.116752,0.167339,0.135447,0.1261,0.192632,0.129399,0.645711,0.647177,0.646078,0.649194,0.64956,0.649377,0.649194,0.750367,0.747067,0.752199,0.750367,0.752199,0.75,0.749267,0.649927,0.649743,0.650477,0.644245,0.495418,0.434018,0.645894,0.643695,0.643878,0.643328,0.645894,0.629582,0.646078,0.646078,0.646078,0.644245,0.644795,0.640579,0.644795,0.646811,0.645894,0.645894,0.645894,0.644795,0.645894,0.644611,0.637647,0.65011,0.646078,0.644245,0.651393,0.743952,0.644062,0.095674,0.75,0.637647,0.649194,0.645894,0.723974,0.714443,0.652676,0.619318,0.53629,0.751833,0.496334,0.256965,0.531342,0.243585,0.40121,0.446664,0.629216,0.586144,0.379032,0.466276,0.522544,0.562867,0.567632,0.479472,0.488636,0.514479,0.548387,0.613453,0.518328,0.558468,0.525293,0.483504,0.519245,0.524194,0.557735,0.542155,0.466092,0.584128,0.614736,0.509164,0.476173,0.485704,0.492119,0.582111,0.293622,0.281708,0.570015,0.642962
run36_greedy_maximin_distance_adjacent_swap_0002,0.577163,0.434018,0.528409,0.455828,0.455828,0.029142,0.000367,0.0,0.000733,0.000733,0.000733,0.0011,0.000733,0.000367,0.000733,0.000916,0.000916,0.000733,0.000733,0.000733,0.00055,0.506232,0.822947,0.823864,0.797837,0.777309,0.779875,0.772361,0.751283,0.502933,0.455279,0.345125,0.493952,0.769795,0.718292,0.753849,0.728006,0.223607,0.783724,0.692082,0.763563,0.693548,0.766129,0.518145,0.695565,0.455828,0.500916,0.597141,0.133248,0.734054,0.195565,0.439333,0.573864,0.581928,0.755865,0.751833,0.367302,0.078262,0.367302,0.606305,0.76283,0.628116,0.701063,0.649377,0.131965,0.170271,0.166606,0.13563,0.120968,0.129032,0.171921,0.123717,0.128299,0.121701,0.172471,0.121334,0.123167,0.180169,0.117119,0.168805,0.13618,0.12665,0.192999,0.129765,0.646078,0.647544,0.646444,0.64956,0.650293,0.649743,0.64956,0.750733,0.747434,0.752566,0.750733,0.752566,0.750367,0.749633,0.649927,0.65011,0.650843,0.644611,0.492119,0.432735,0.646261,0.644062,0.644245,0.643695,0.646261,0.629949,0.646444,0.646444,0.646444,0.644611,0.645161,0.640946,0.645161,0.647177,0.646444,0.646444,0.646444,0.645161,0.646444,0.644978,0.638013,0.650477,0.646444,0.644611,0.65176,0.744318,0.644428,0.096408,0.75055,0.638013,0.648644,0.646811,0.724707,0.714809,0.654142,0.619501,0.542705,0.7489,0.498717,0.263013,0.53574,0.244501,0.400293,0.449963,0.628666,0.590543,0.376466,0.464809,0.517045,0.564699,0.574047,0.477823,0.486987,0.51393,0.551136,0.617302,0.52346,0.563233,0.526576,0.485521,0.522544,0.521261,0.560117,0.544172,0.465726,0.588343,0.609971,0.501283,0.47434,0.485887,0.48662,0.583211,0.297837,0.281342,0.575513,0.643878
run36_greedy_maximin_distance_adjacent_swap_0009,0.572947,0.4364,0.529142,0.455095,0.455095,0.026026,0.000367,0.000733,0.0,0.000916,0.000733,0.000916,0.000733,0.000916,0.000367,0.000733,0.000367,0.000367,0.000367,0.000733,0.000733,0.502199,0.822397,0.82478,0.798387,0.77566,0.778226,0.772544,0.751466,0.504216,0.453079,0.346224,0.494868,0.769978,0.720674,0.754032,0.731122,0.22379,0.782075,0.695748,0.763746,0.696848,0.766312,0.518328,0.695748,0.457845,0.502749,0.59934,0.131598,0.735887,0.195381,0.445381,0.570015,0.589443,0.757331,0.752016,0.367669,0.076613,0.367669,0.59934,0.763013,0.628849,0.70033,0.64956,0.129765,0.169905,0.166422,0.133798,0.119501,0.12665,0.172104,0.121518,0.126466,0.120235,0.172104,0.119318,0.121334,0.180352,0.115286,0.168438,0.134164,0.12445,0.193182,0.132148,0.646261,0.647544,0.646628,0.649377,0.65011,0.649927,0.649743,0.750916,0.749084,0.752749,0.750916,0.752749,0.75055,0.749817,0.650477,0.650293,0.651026,0.644062,0.494135,0.431452,0.646444,0.644245,0.644245,0.643878,0.646444,0.630132,0.645894,0.645894,0.645894,0.644795,0.645345,0.641129,0.645345,0.647361,0.646444,0.646444,0.646444,0.645345,0.646444,0.645161,0.638196,0.65066,0.646811,0.644611,0.651943,0.744501,0.644611,0.096591,0.751283,0.638196,0.649743,0.646444,0.721591,0.709494,0.653226,0.614186,0.531891,0.751833,0.493768,0.258431,0.533724,0.239003,0.399927,0.446298,0.621701,0.582111,0.375733,0.464076,0.523644,0.567632,0.561767,0.474523,0.487353,0.51393,0.547654,0.612353,0.519428,0.556085,0.529142,0.486987,0.518878,0.522544,0.562867,0.546188,0.468842,0.589443,0.611254,0.504949,0.477639,0.481488,0.494501,0.57533,0.289589,0.277676,0.571664,0.636547
run36_greedy_maximin_distance_adjacent_swap_0021,0.572947,0.435117,0.527493,0.457111,0.457111,0.026576,0.000367,0.000733,0.000916,0.0,0.000733,0.000916,0.000733,0.000916,0.000916,0.000733,0.000916,0.000733,0.000367,0.000733,0.000916,0.505315,0.820931,0.825696,0.80077,0.773644,0.77621,0.770528,0.74945,0.499817,0.458578,0.352089,0.502383,0.767962,0.711144,0.752016,0.726723,0.221957,0.780059,0.691349,0.76173,0.692265,0.764296,0.516496,0.691899,0.45088,0.504216,0.594575,0.131048,0.733504,0.194831,0.448497,0.567449,0.58596,0.756048,0.752016,0.367669,0.078812,0.367669,0.608871,0.761547,0.628299,0.698864,0.64956,0.131965,0.170455,0.165872,0.134897,0.121334,0.129216,0.172104,0.1239,0.129032,0.122067,0.172654,0.121518,0.1239,0.180352,0.117302,0.167889,0.135264,0.12665,0.193365,0.127749,0.646261,0.647727,0.646628,0.649927,0.65011,0.649927,0.649743,0.7511,0.746151,0.752749,0.750916,0.752749,0.75055,0.749817,0.650477,0.650293,0.651026,0.644795,0.495051,0.43585,0.646444,0.644245,0.644428,0.643878,0.646444,0.630132,0.646628,0.646628,0.646628,0.644795,0.645345,0.641129,0.645345,0.647361,0.646444,0.646628,0.646444,0.645345,0.646444,0.645161,0.638196,0.650843,0.646261,0.644795,0.652309,0.744501,0.644611,0.096408,0.7511,0.638013,0.649743,0.646444,0.72379,0.714993,0.653409,0.618402,0.53574,0.752933,0.50165,0.258248,0.531891,0.244501,0.401576,0.440249,0.632515,0.591276,0.381782,0.467192,0.521078,0.561217,0.563966,0.477456,0.486437,0.511913,0.544355,0.606672,0.515762,0.557368,0.523094,0.480205,0.520711,0.524743,0.557735,0.537023,0.466826,0.577529,0.617669,0.511913,0.471591,0.483321,0.492119,0.584494,0.291972,0.283908,0.567815,0.645161
