n,prefix_name,feature_name,min,max,mean,finite_count,expected_range,pass
16,empty,distance_ij_norm,0.06666666666666667,0.26666666666666666,0.16049382716049382,108,"[0,1]",True
16,empty,relative_position_ij_norm,-0.26666666666666666,0.26666666666666666,0.0,108,"[-1,1]",True
16,empty,is_adjacent,0.0,1.0,0.2777777777777778,108,"[0,1]",True
16,empty,is_within_thermal_radius,0.0,1.0,0.7777777777777778,108,"[0,1]",True
16,empty,left_or_right_relation,-1.0,1.0,0.0,108,"[-1,1]",True
16,empty,edge_type_code,0.75,1.0,0.8194444444444444,108,"[0,1]",True
16,raster_like_early,distance_ij_norm,0.06666666666666667,0.26666666666666666,0.16049382716049382,108,"[0,1]",True
16,raster_like_early,relative_position_ij_norm,-0.26666666666666666,0.26666666666666666,0.0,108,"[-1,1]",True
16,raster_like_early,is_adjacent,0.0,1.0,0.2777777777777778,108,"[0,1]",True
16,raster_like_early,is_within_thermal_radius,0.0,1.0,0.7777777777777778,108,"[0,1]",True
16,raster_like_early,left_or_right_relation,-1.0,1.0,0.0,108,"[-1,1]",True
16,raster_like_early,edge_type_code,0.75,1.0,0.8194444444444444,108,"[0,1]",True
16,odd_even_like_early,distance_ij_norm,0.06666666666666667,0.26666666666666666,0.16049382716049382,108,"[0,1]",True
16,odd_even_like_early,relative_position_ij_norm,-0.26666666666666666,0.26666666666666666,0.0,108,"[-1,1]",True
16,odd_even_like_early,is_adjacent,0.0,1.0,0.2777777777777778,108,"[0,1]",True
16,odd_even_like_early,is_within_thermal_radius,0.0,1.0,0.7777777777777778,108,"[0,1]",True
16,odd_even_like_early,left_or_right_relation,-1.0,1.0,0.0,108,"[-1,1]",True
16,odd_even_like_early,edge_type_code,0.75,1.0,0.8194444444444444,108,"[0,1]",True
16,center_out_like_early,distance_ij_norm,0.06666666666666667,0.26666666666666666,0.16049382716049382,108,"[0,1]",True
16,center_out_like_early,relative_position_ij_norm,-0.26666666666666666,0.26666666666666666,0.0,108,"[-1,1]",True
16,center_out_like_early,is_adjacent,0.0,1.0,0.2777777777777778,108,"[0,1]",True
16,center_out_like_early,is_within_thermal_radius,0.0,1.0,0.7777777777777778,108,"[0,1]",True
16,center_out_like_early,left_or_right_relation,-1.0,1.0,0.0,108,"[-1,1]",True
16,center_out_like_early,edge_type_code,0.75,1.0,0.8194444444444444,108,"[0,1]",True
16,maximin_like_early,distance_ij_norm,0.06666666666666667,0.26666666666666666,0.16049382716049382,108,"[0,1]",True
16,maximin_like_early,relative_position_ij_norm,-0.26666666666666666,0.26666666666666666,0.0,108,"[-1,1]",True
16,maximin_like_early,is_adjacent,0.0,1.0,0.2777777777777778,108,"[0,1]",True
16,maximin_like_early,is_within_thermal_radius,0.0,1.0,0.7777777777777778,108,"[0,1]",True
16,maximin_like_early,left_or_right_relation,-1.0,1.0,0.0,108,"[-1,1]",True
16,maximin_like_early,edge_type_code,0.75,1.0,0.8194444444444444,108,"[0,1]",True
24,empty,distance_ij_norm,0.043478260869565216,0.2608695652173913,0.1459879816189466,246,"[0,1]",True
24,empty,relative_position_ij_norm,-0.2608695652173913,0.2608695652173913,0.0,246,"[-1,1]",True
24,empty,is_adjacent,0.0,1.0,0.18699186991869918,246,"[0,1]",True
24,empty,is_within_thermal_radius,0.0,1.0,0.8536585365853658,246,"[0,1]",True
24,empty,left_or_right_relation,-1.0,1.0,0.0,246,"[-1,1]",True
