n,prefix_name,node_count,edge_count,scanned_count,available_count,legal_action_count,node_feature_min,node_feature_max,edge_feature_min,edge_feature_max,global_feature_min,global_feature_max,all_finite,normalized_bounds_pass,mask_legality_pass,duplicate_edge_count,verdict
16,empty,16,108,0,16,16,0.0,1.0,-1.0,1.0,0.0,1.0,True,True,True,0,PASS
16,raster_like_early,16,108,4,16,12,0.0,1.0,-1.0,1.0,0.06666666666666667,1.0,True,True,True,0,PASS
16,odd_even_like_early,16,108,4,16,12,0.0,1.0,-1.0,1.0,0.13333333333333333,1.0,True,True,True,0,PASS
16,center_out_like_early,16,108,4,16,12,0.0,1.0,-1.0,1.0,-0.5,0.7516072988364303,True,True,True,0,PASS
16,maximin_like_early,16,108,4,16,12,0.0,1.0,-1.0,1.0,0.25,1.0,True,True,True,0,PASS
24,empty,24,246,0,24,24,0.0,1.0,-1.0,1.0,0.0,1.0,True,True,True,0,PASS
24,raster_like_early,24,246,4,24,20,0.0,1.0,-1.0,1.0,0.043478260869565216,1.0,True,True,True,0,PASS
24,odd_even_like_early,24,246,4,24,20,0.0,1.0,-1.0,1.0,0.08695652173913043,1.0,True,True,True,0,PASS
24,center_out_like_early,24,246,4,24,20,0.0,1.0,-1.0,1.0,-0.5,0.8615228201083382,True,True,True,0,PASS
24,maximin_like_early,24,246,4,24,20,0.0,1.0,-1.0,1.0,0.16666666666666666,1.0,True,True,True,0,PASS
32,empty,32,440,0,32,32,0.0,1.0,-1.0,1.0,0.0,1.0,True,True,True,0,PASS
32,raster_like_early,32,440,4,32,28,0.0,1.0,-1.0,1.0,0.03225806451612903,1.0,True,True,True,0,PASS
32,odd_even_like_early,32,440,4,32,28,0.0,1.0,-1.0,1.0,0.06451612903225806,1.0,True,True,True,0,PASS
32,center_out_like_early,32,440,4,32,28,0.0,1.0,-1.0,1.0,-0.5,0.939509123545538,True,True,True,0,PASS
32,maximin_like_early,32,440,4,32,28,0.0,1.0,-1.0,1.0,0.125,1.0,True,True,True,0,PASS
40,empty,40,690,0,40,40,0.0,1.0,-1.0,1.0,0.0,1.0,True,True,True,0,PASS
40,raster_like_early,40,690,4,40,36,0.0,1.0,-1.0,1.0,0.02564102564102564,1.0,True,True,True,0,PASS
40,odd_even_like_early,40,690,4,40,36,0.0,1.0,-1.0,1.0,0.05128205128205128,1.0,True,True,True,0,PASS
40,center_out_like_early,40,690,4,40,36,0.0,1.0,-1.0,1.0,-0.5,1.0,True,True,True,0,PASS
40,maximin_like_early,40,690,4,40,36,0.0,1.0,-1.0,1.0,0.1,1.0,True,True,True,0,PASS
