n,prefix_name,feature_name,value,expected_range,pass
16,empty,log_N_norm,0.7516072988364303,"[0,1]",True
16,empty,step_fraction,0.0,"[0,1]",True
16,empty,remaining_fraction,1.0,"[0,1]",True
16,empty,current_center_of_mass_scanned_norm,0.0,"[0,1]",True
16,empty,left_right_heat_balance_norm,0.0,"[-1,1]",True
16,empty,edge_center_heat_balance_norm,0.0,"[-1,1]",True
16,empty,mean_jump_so_far_norm,0.0,"[0,1]",True
16,empty,max_jump_so_far_norm,0.0,"[0,1]",True
16,empty,last_jump_length_norm,0.0,"[0,1]",True
16,empty,dispersion_score_norm,0.0,"[0,1]",True
16,raster_like_early,log_N_norm,0.7516072988364303,"[0,1]",True
16,raster_like_early,step_fraction,0.25,"[0,1]",True
16,raster_like_early,remaining_fraction,0.75,"[0,1]",True
16,raster_like_early,current_center_of_mass_scanned_norm,0.13333333333333333,"[0,1]",True
16,raster_like_early,left_right_heat_balance_norm,1.0,"[-1,1]",True
16,raster_like_early,edge_center_heat_balance_norm,0.5,"[-1,1]",True
16,raster_like_early,mean_jump_so_far_norm,0.06666666666666667,"[0,1]",True
16,raster_like_early,max_jump_so_far_norm,0.06666666666666667,"[0,1]",True
16,raster_like_early,last_jump_length_norm,0.06666666666666667,"[0,1]",True
16,raster_like_early,dispersion_score_norm,0.1111111111111111,"[0,1]",True
16,odd_even_like_early,log_N_norm,0.7516072988364303,"[0,1]",True
16,odd_even_like_early,step_fraction,0.25,"[0,1]",True
16,odd_even_like_early,remaining_fraction,0.75,"[0,1]",True
16,odd_even_like_early,current_center_of_mass_scanned_norm,0.2,"[0,1]",True
16,odd_even_like_early,left_right_heat_balance_norm,1.0,"[-1,1]",True
16,odd_even_like_early,edge_center_heat_balance_norm,0.25,"[-1,1]",True
16,odd_even_like_early,mean_jump_so_far_norm,0.13333333333333333,"[0,1]",True
16,odd_even_like_early,max_jump_so_far_norm,0.13333333333333333,"[0,1]",True
16,odd_even_like_early,last_jump_length_norm,0.13333333333333333,"[0,1]",True
16,odd_even_like_early,dispersion_score_norm,0.2222222222222222,"[0,1]",True
16,center_out_like_early,log_N_norm,0.7516072988364303,"[0,1]",True
16,center_out_like_early,step_fraction,0.25,"[0,1]",True
16,center_out_like_early,remaining_fraction,0.75,"[0,1]",True
16,center_out_like_early,current_center_of_mass_scanned_norm,0.5333333333333333,"[0,1]",True
16,center_out_like_early,left_right_heat_balance_norm,0.0,"[-1,1]",True
16,center_out_like_early,edge_center_heat_balance_norm,-0.5,"[-1,1]",True
16,center_out_like_early,mean_jump_so_far_norm,0.13333333333333333,"[0,1]",True
16,center_out_like_early,max_jump_so_far_norm,0.2,"[0,1]",True
16,center_out_like_early,last_jump_length_norm,0.2,"[0,1]",True
16,center_out_like_early,dispersion_score_norm,0.1111111111111111,"[0,1]",True
16,maximin_like_early,log_N_norm,0.7516072988364303,"[0,1]",True
16,maximin_like_early,step_fraction,0.25,"[0,1]",True
16,maximin_like_early,remaining_fraction,0.75,"[0,1]",True
16,maximin_like_early,current_center_of_mass_scanned_norm,0.4,"[0,1]",True
16,maximin_like_early,left_right_heat_balance_norm,0.5,"[-1,1]",True
16,maximin_like_early,edge_center_heat_balance_norm,0.25,"[-1,1]",True
16,maximin_like_early,mean_jump_so_far_norm,0.6,"[0,1]",True
16,maximin_like_early,max_jump_so_far_norm,1.0,"[0,1]",True
16,maximin_like_early,last_jump_length_norm,0.26666666666666666,"[0,1]",True
