n,prefix_name,scanned_count,available_count,legal_count,illegal_scanned_available_count,pointer_legal_equals_available_and_not_scanned,pass
16,empty,0,16,16,0,True,True
16,raster_like_early,4,16,12,4,True,True
16,odd_even_like_early,4,16,12,4,True,True
16,center_out_like_early,4,16,12,4,True,True
16,maximin_like_early,4,16,12,4,True,True
24,empty,0,24,24,0,True,True
24,raster_like_early,4,24,20,4,True,True
24,odd_even_like_early,4,24,20,4,True,True
24,center_out_like_early,4,24,20,4,True,True
24,maximin_like_early,4,24,20,4,True,True
32,empty,0,32,32,0,True,True
32,raster_like_early,4,32,28,4,True,True
32,odd_even_like_early,4,32,28,4,True,True
32,center_out_like_early,4,32,28,4,True,True
32,maximin_like_early,4,32,28,4,True,True
40,empty,0,40,40,0,True,True
40,raster_like_early,4,40,36,4,True,True
40,odd_even_like_early,4,40,36,4,True,True
40,center_out_like_early,4,40,36,4,True,True
40,maximin_like_early,4,40,36,4,True,True
