n,prefix_name,feature_name,min,max,mean,finite_count,expected_range,pass
16,empty,x_norm,0.0,1.0,0.5,16,"[0,1]",True
16,empty,distance_to_left_edge_norm,0.0,1.0,0.5,16,"[0,1]",True
16,empty,distance_to_right_edge_norm,0.0,1.0,0.5,16,"[0,1]",True
16,empty,is_edge_track,0.0,1.0,0.25,16,"[0,1]",True
16,empty,is_center_track,0.0,1.0,0.125,16,"[0,1]",True
16,empty,current_scanned_flag,0.0,0.0,0.0,16,"[0,1]",True
16,empty,current_available_flag,1.0,1.0,1.0,16,"[0,1]",True
16,empty,step_fraction,0.0,0.0,0.0,16,"[0,1]",True
16,empty,remaining_fraction,1.0,1.0,1.0,16,"[0,1]",True
16,empty,time_since_left_neighbor_scanned_norm,0.0,0.0,0.0,16,"[0,1]",True
16,empty,time_since_right_neighbor_scanned_norm,0.0,0.0,0.0,16,"[0,1]",True
16,empty,neighbor_scanned_count_norm,0.0,0.0,0.0,16,"[0,1]",True
16,empty,recent_neighbor_scanned_flag,0.0,0.0,0.0,16,"[0,1]",True
16,empty,local_heat_proxy_norm,0.0,0.0,0.0,16,"[0,1]",True
16,raster_like_early,x_norm,0.0,1.0,0.5,16,"[0,1]",True
16,raster_like_early,distance_to_left_edge_norm,0.0,1.0,0.5,16,"[0,1]",True
16,raster_like_early,distance_to_right_edge_norm,0.0,1.0,0.5,16,"[0,1]",True
16,raster_like_early,is_edge_track,0.0,1.0,0.25,16,"[0,1]",True
16,raster_like_early,is_center_track,0.0,1.0,0.125,16,"[0,1]",True
16,raster_like_early,current_scanned_flag,0.0,1.0,0.25,16,"[0,1]",True
16,raster_like_early,current_available_flag,1.0,1.0,1.0,16,"[0,1]",True
16,raster_like_early,step_fraction,0.25,0.25,0.25,16,"[0,1]",True
16,raster_like_early,remaining_fraction,0.75,0.75,0.75,16,"[0,1]",True
16,raster_like_early,time_since_left_neighbor_scanned_norm,0.0,0.25,0.0390625,16,"[0,1]",True
16,raster_like_early,time_since_right_neighbor_scanned_norm,0.0,0.1875,0.0234375,16,"[0,1]",True
16,raster_like_early,neighbor_scanned_count_norm,0.0,1.0,0.21875,16,"[0,1]",True
16,raster_like_early,recent_neighbor_scanned_flag,0.0,1.0,0.25,16,"[0,1]",True
16,raster_like_early,local_heat_proxy_norm,0.0,1.0,0.3155520001097337,16,"[0,1]",True
16,odd_even_like_early,x_norm,0.0,1.0,0.5,16,"[0,1]",True
16,odd_even_like_early,distance_to_left_edge_norm,0.0,1.0,0.5,16,"[0,1]",True
16,odd_even_like_early,distance_to_right_edge_norm,0.0,1.0,0.5,16,"[0,1]",True
16,odd_even_like_early,is_edge_track,0.0,1.0,0.25,16,"[0,1]",True
16,odd_even_like_early,is_center_track,0.0,1.0,0.125,16,"[0,1]",True
16,odd_even_like_early,current_scanned_flag,0.0,1.0,0.25,16,"[0,1]",True
16,odd_even_like_early,current_available_flag,1.0,1.0,1.0,16,"[0,1]",True
16,odd_even_like_early,step_fraction,0.25,0.25,0.25,16,"[0,1]",True
16,odd_even_like_early,remaining_fraction,0.75,0.75,0.75,16,"[0,1]",True
16,odd_even_like_early,time_since_left_neighbor_scanned_norm,0.0,0.25,0.0390625,16,"[0,1]",True
16,odd_even_like_early,time_since_right_neighbor_scanned_norm,0.0,0.1875,0.0234375,16,"[0,1]",True
16,odd_even_like_early,neighbor_scanned_count_norm,0.0,1.0,0.21875,16,"[0,1]",True
16,odd_even_like_early,recent_neighbor_scanned_flag,0.0,1.0,0.1875,16,"[0,1]",True
16,odd_even_like_early,local_heat_proxy_norm,0.0,1.0,0.39081096383954905,16,"[0,1]",True
16,center_out_like_early,x_norm,0.0,1.0,0.5,16,"[0,1]",True
16,center_out_like_early,distance_to_left_edge_norm,0.0,1.0,0.5,16,"[0,1]",True
16,center_out_like_early,distance_to_right_edge_norm,0.0,1.0,0.5,16,"[0,1]",True
16,center_out_like_early,is_edge_track,0.0,1.0,0.25,16,"[0,1]",True
16,center_out_like_early,is_center_track,0.0,1.0,0.125,16,"[0,1]",True
16,center_out_like_early,current_scanned_flag,0.0,1.0,0.25,16,"[0,1]",True
16,center_out_like_early,current_available_flag,1.0,1.0,1.0,16,"[0,1]",True
16,center_out_like_early,step_fraction,0.25,0.25,0.25,16,"[0,1]",True
16,center_out_like_early,remaining_fraction,0.75,0.75,0.75,16,"[0,1]",True
16,center_out_like_early,time_since_left_neighbor_scanned_norm,0.0,0.25,0.0390625,16,"[0,1]",True
16,center_out_like_early,time_since_right_neighbor_scanned_norm,0.0,0.25,0.0390625,16,"[0,1]",True
16,center_out_like_early,neighbor_scanned_count_norm,0.0,1.0,0.25,16,"[0,1]",True
16,center_out_like_early,recent_neighbor_scanned_flag,0.0,1.0,0.25,16,"[0,1]",True
16,center_out_like_early,local_heat_proxy_norm,0.0,1.0,0.3348675979445161,16,"[0,1]",True
16,maximin_like_early,x_norm,0.0,1.0,0.5,16,"[0,1]",True
16,maximin_like_early,distance_to_left_edge_norm,0.0,1.0,0.5,16,"[0,1]",True
16,maximin_like_early,distance_to_right_edge_norm,0.0,1.0,0.5,16,"[0,1]",True
16,maximin_like_early,is_edge_track,0.0,1.0,0.25,16,"[0,1]",True
16,maximin_like_early,is_center_track,0.0,1.0,0.125,16,"[0,1]",True
16,maximin_like_early,current_scanned_flag,0.0,1.0,0.25,16,"[0,1]",True
16,maximin_like_early,current_available_flag,1.0,1.0,1.0,16,"[0,1]",True
16,maximin_like_early,step_fraction,0.25,0.25,0.25,16,"[0,1]",True
16,maximin_like_early,remaining_fraction,0.75,0.75,0.75,16,"[0,1]",True
16,maximin_like_early,time_since_left_neighbor_scanned_norm,0.0,0.25,0.02734375,16,"[0,1]",True
16,maximin_like_early,time_since_right_neighbor_scanned_norm,0.0,0.1875,0.0234375,16,"[0,1]",True
16,maximin_like_early,neighbor_scanned_count_norm,0.0,0.5,0.1875,16,"[0,1]",True
16,maximin_like_early,recent_neighbor_scanned_flag,0.0,1.0,0.25,16,"[0,1]",True
16,maximin_like_early,local_heat_proxy_norm,0.0,1.0,0.30857249207045817,16,"[0,1]",True
24,empty,x_norm,0.0,1.0,0.5,24,"[0,1]",True
24,empty,distance_to_left_edge_norm,0.0,1.0,0.5,24,"[0,1]",True
24,empty,distance_to_right_edge_norm,0.0,1.0,0.5,24,"[0,1]",True
24,empty,is_edge_track,0.0,1.0,0.25,24,"[0,1]",True
24,empty,is_center_track,0.0,1.0,0.08333333333333333,24,"[0,1]",True
24,empty,current_scanned_flag,0.0,0.0,0.0,24,"[0,1]",True
24,empty,current_available_flag,1.0,1.0,1.0,24,"[0,1]",True
24,empty,step_fraction,0.0,0.0,0.0,24,"[0,1]",True
24,empty,remaining_fraction,1.0,1.0,1.0,24,"[0,1]",True
24,empty,time_since_left_neighbor_scanned_norm,0.0,0.0,0.0,24,"[0,1]",True
24,empty,time_since_right_neighbor_scanned_norm,0.0,0.0,0.0,24,"[0,1]",True
24,empty,neighbor_scanned_count_norm,0.0,0.0,0.0,24,"[0,1]",True
24,empty,recent_neighbor_scanned_flag,0.0,0.0,0.0,24,"[0,1]",True
24,empty,local_heat_proxy_norm,0.0,0.0,0.0,24,"[0,1]",True
24,raster_like_early,x_norm,0.0,1.0,0.5,24,"[0,1]",True
24,raster_like_early,distance_to_left_edge_norm,0.0,1.0,0.5,24,"[0,1]",True
24,raster_like_early,distance_to_right_edge_norm,0.0,1.0,0.5,24,"[0,1]",True
24,raster_like_early,is_edge_track,0.0,1.0,0.25,24,"[0,1]",True
24,raster_like_early,is_center_track,0.0,1.0,0.08333333333333333,24,"[0,1]",True
24,raster_like_early,current_scanned_flag,0.0,1.0,0.16666666666666666,24,"[0,1]",True
