relative_path,line_number,hardcode_type,matched_text,suggested_parameter,risk_level,notes
docs\abaqus_teacher_production_run_notes.md,84,32track_name,- `abaqus-models/lded_stripe_tm_32track_multilag_jump_v02_fullrerun_cooling_stabilized`,n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
docs\scan_strategies\windowed_max_dispersion.md,10,fixed_arrays_32,"seq = [s_0, s_1, ..., s_31]",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
docs\scan_strategies\windowed_max_dispersion.md,73,32track_name,D:\Projects\RL-LAM-ScanOpt\abaqus-models\lded_stripe_tm_32track_raster_v03\model_lded_stripe_tm_32track_raster_v03.cae,n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
docs\scan_strategies\windowed_max_dispersion.md,79,32track_name,D:\Projects\RL-LAM-ScanOpt\abaqus-models\lded_stripe_tm_32track_windowed_max_dispersion_v01\model_lded_stripe_tm_32track_windowed_max_dispersion_v01.cae,n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
docs\scan_strategies\windowed_max_dispersion.md,85,32track_name,D:\Projects\RL-LAM-ScanOpt\abaqus-models\lded_stripe_tm_32track_windowed_max_dispersion_v01\activation_map_lded_stripe_tm_32track_windowed_max_dispersion_v01.csv,n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
docs\scan_strategies\windowed_max_dispersion.md,91,32track_name,D:\Projects\RL-LAM-ScanOpt\abaqus-models\lded_stripe_tm_32track_windowed_max_dispersion_v01\job_lded_stripe_tm_32track_windowed_max_dispersion_v01.inp,n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
docs\scan_strategies\windowed_max_dispersion.md,97,32track_name,job_lded_stripe_tm_32track_windowed_max_dispersion_v01,n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
docs\stage2_final_evidence_package_v01\stage2_final_evidence_consolidation_report.md,25,32track_name,1. The full 32-track search space is `32! ≈ 2.63 × 10^35`.,n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
docs\windowed_max_dispersion_strategy.md,14,fixed_arrays_32,"seq = [s_0, s_1, ..., s_31]",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
docs\windowed_max_dispersion_strategy.md,93,32track_name,D:\Projects\RL-LAM-ScanOpt\abaqus-models\lded_stripe_tm_32track_raster_v03\model_lded_stripe_tm_32track_raster_v03.cae,n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
docs\windowed_max_dispersion_strategy.md,99,32track_name,D:\Projects\RL-LAM-ScanOpt\abaqus-models\lded_stripe_tm_32track_windowed_max_dispersion_v01\model_lded_stripe_tm_32track_windowed_max_dispersion_v01.cae,n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
docs\windowed_max_dispersion_strategy.md,105,32track_name,D:\Projects\RL-LAM-ScanOpt\abaqus-models\lded_stripe_tm_32track_windowed_max_dispersion_v01\activation_map_lded_stripe_tm_32track_windowed_max_dispersion_v01.csv,n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
docs\windowed_max_dispersion_strategy.md,111,32track_name,D:\Projects\RL-LAM-ScanOpt\abaqus-models\lded_stripe_tm_32track_windowed_max_dispersion_v01\job_lded_stripe_tm_32track_windowed_max_dispersion_v01.inp,n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
docs\windowed_max_dispersion_strategy.md,117,32track_name,job_lded_stripe_tm_32track_windowed_max_dispersion_v01,n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,2,32track_name,"""""""Build fixed-geometry 32-track masked CAE/INP package v01.",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,4,32track_name,This generator creates masked-track validation cases from the clean 32-track,n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
