n,strategy_id,strategy_name,family,order_json,order_length,is_engineering_baseline,is_learned_or_proxy,policy_source,trained_policy_used,teacher_validated,notes
12,N12_A01,N12_A01_raster_left_to_right,raster,"[0,1,2,3,4,5,6,7,8,9,10,11]",12,True,False,engineering_baseline,False,False,true variable-N order design only; no CAE/INP/JNL generated
12,N12_A02,N12_A02_odd_even_interlaced,odd_even,"[0,2,4,6,8,10,1,3,5,7,9,11]",12,True,False,engineering_baseline,False,False,true variable-N order design only; no CAE/INP/JNL generated
12,N12_A03,N12_A03_greedy_maximin_distance,maximin,"[0,11,5,8,2,1,3,4,6,7,9,10]",12,True,False,engineering_baseline,False,False,true variable-N order design only; no CAE/INP/JNL generated
12,N12_A04,N12_A04_method_c_u2_first_engineering,method_c,"[0,2,4,6,8,10,5,3,1,7,9,11]",12,True,False,engineering_baseline,False,False,true variable-N order design only; no CAE/INP/JNL generated
12,N12_A05,N12_A05_center_out,center_out,"[5,6,4,7,3,8,2,9,1,10,0,11]",12,True,False,engineering_baseline,False,False,true variable-N order design only; no CAE/INP/JNL generated
12,N12_A06,N12_A06_edge_in_alternating,edge_in,"[0,11,1,10,2,9,3,8,4,7,5,6]",12,True,False,engineering_baseline,False,False,true variable-N order design only; no CAE/INP/JNL generated
12,N12_A07,N12_A07_regular_jump_coprime,regular_jump,"[0,5,10,3,8,1,6,11,4,9,2,7]",12,True,False,engineering_baseline,False,False,true variable-N order design only; no CAE/INP/JNL generated
12,N12_A08,N12_A08_block_interleaved_quarters,block_interleaved,"[0,3,6,9,1,4,7,10,2,5,8,11]",12,True,False,engineering_baseline,False,False,true variable-N order design only; no CAE/INP/JNL generated
12,N12_A09,N12_A09_center_edge_alternating,center_edge,"[5,0,6,11,4,1,7,10,3,2,8,9]",12,True,False,engineering_baseline,False,False,true variable-N order design only; no CAE/INP/JNL generated
12,N12_A10,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,graph_pointer_proxy,"[0,11,2,5,4,8,6,1,10,3,7,9]",12,False,True,proxy_policy,False,False,true variable-N order design only; no CAE/INP/JNL generated
12,N12_A11,N12_A11_graph_pointer_policy_diverse_01,graph_pointer_proxy,"[0,5,11,10,1,3,8,2,9,6,4,7]",12,False,True,proxy_policy,False,False,true variable-N order design only; no CAE/INP/JNL generated
12,N12_A12,N12_A12_graph_pointer_policy_diverse_02,graph_pointer_proxy,"[4,7,3,8,2,9,1,10,0,11,5,6]",12,False,True,proxy_policy,False,False,true variable-N order design only; no CAE/INP/JNL generated
12,N12_A13,N12_A13_graph_pointer_policy_anti_odd_even_novelty,graph_pointer_proxy,"[1,10,3,8,5,6,7,4,9,2,11,0]",12,False,True,proxy_policy,False,False,true variable-N order design only; no CAE/INP/JNL generated
12,N12_A14,N12_A14_graph_pointer_policy_u2first_proxy,graph_pointer_proxy,"[0,5,2,6,4,7,8,3,10,1,9,11]",12,False,True,proxy_policy,False,False,true variable-N order design only; no CAE/INP/JNL generated
12,N12_A15,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,graph_pointer_proxy,"[0,5,11,6,4,8,7,2,3,1,9,10]",12,False,True,proxy_policy,False,False,true variable-N order design only; no CAE/INP/JNL generated
16,N16_A01,N16_A01_raster_left_to_right,raster,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",16,True,False,engineering_baseline,False,False,true variable-N order design only; no CAE/INP/JNL generated
16,N16_A02,N16_A02_odd_even_interlaced,odd_even,"[0,2,4,6,8,10,12,14,1,3,5,7,9,11,13,15]",16,True,False,engineering_baseline,False,False,true variable-N order design only; no CAE/INP/JNL generated
16,N16_A03,N16_A03_greedy_maximin_distance,maximin,"[0,15,7,11,3,5,9,13,1,2,4,6,8,10,12,14]",16,True,False,engineering_baseline,False,False,true variable-N order design only; no CAE/INP/JNL generated
16,N16_A04,N16_A04_method_c_u2_first_engineering,method_c,"[0,2,4,6,8,10,12,14,7,5,3,1,9,11,13,15]",16,True,False,engineering_baseline,False,False,true variable-N order design only; no CAE/INP/JNL generated
16,N16_A05,N16_A05_center_out,center_out,"[7,8,6,9,5,10,4,11,3,12,2,13,1,14,0,15]",16,True,False,engineering_baseline,False,False,true variable-N order design only; no CAE/INP/JNL generated
16,N16_A06,N16_A06_edge_in_alternating,edge_in,"[0,15,1,14,2,13,3,12,4,11,5,10,6,9,7,8]",16,True,False,engineering_baseline,False,False,true variable-N order design only; no CAE/INP/JNL generated
16,N16_A07,N16_A07_regular_jump_coprime,regular_jump,"[0,5,10,15,4,9,14,3,8,13,2,7,12,1,6,11]",16,True,False,engineering_baseline,False,False,true variable-N order design only; no CAE/INP/JNL generated
16,N16_A08,N16_A08_block_interleaved_quarters,block_interleaved,"[0,4,8,12,1,5,9,13,2,6,10,14,3,7,11,15]",16,True,False,engineering_baseline,False,False,true variable-N order design only; no CAE/INP/JNL generated
16,N16_A09,N16_A09_center_edge_alternating,center_edge,"[7,0,8,15,6,1,9,14,5,2,10,13,4,3,11,12]",16,True,False,engineering_baseline,False,False,true variable-N order design only; no CAE/INP/JNL generated
16,N16_A10,N16_A10_graph_pointer_policy_zero_shot_or_proxy_best,graph_pointer_proxy,"[0,15,2,7,4,11,6,3,8,5,10,9,12,13,14,1]",16,False,True,proxy_policy,False,False,true variable-N order design only; no CAE/INP/JNL generated
16,N16_A11,N16_A11_graph_pointer_policy_diverse_01,graph_pointer_proxy,"[0,5,15,10,1,14,4,2,9,13,3,12,8,11,7,6]",16,False,True,proxy_policy,False,False,true variable-N order design only; no CAE/INP/JNL generated
16,N16_A12,N16_A12_graph_pointer_policy_diverse_02,graph_pointer_proxy,"[9,5,10,4,11,3,12,2,13,1,14,0,15,7,8,6]",16,False,True,proxy_policy,False,False,true variable-N order design only; no CAE/INP/JNL generated
16,N16_A13,N16_A13_graph_pointer_policy_anti_odd_even_novelty,graph_pointer_proxy,"[1,14,3,12,5,10,7,8,9,6,11,4,13,2,15,0]",16,False,True,proxy_policy,False,False,true variable-N order design only; no CAE/INP/JNL generated
16,N16_A14,N16_A14_graph_pointer_policy_u2first_proxy,graph_pointer_proxy,"[0,7,2,8,4,6,9,5,10,12,14,11,1,3,13,15]",16,False,True,proxy_policy,False,False,true variable-N order design only; no CAE/INP/JNL generated
16,N16_A15,N16_A15_graph_pointer_policy_balanced_dispersion_proxy,graph_pointer_proxy,"[0,7,15,8,6,11,9,3,5,10,4,13,1,2,12,14]",16,False,True,proxy_policy,False,False,true variable-N order design only; no CAE/INP/JNL generated
