n,strategy_name,length_equals_n,all_integers,set_equals_0_to_n_minus_1,no_duplicates,no_missing_tracks,no_out_of_range_tracks,pass,reasons
12,N12_A01_raster_left_to_right,True,True,True,True,True,True,True,none
12,N12_A02_odd_even_interlaced,True,True,True,True,True,True,True,none
12,N12_A03_greedy_maximin_distance,True,True,True,True,True,True,True,none
12,N12_A04_method_c_u2_first_engineering,True,True,True,True,True,True,True,none
12,N12_A05_center_out,True,True,True,True,True,True,True,none
12,N12_A06_edge_in_alternating,True,True,True,True,True,True,True,none
12,N12_A07_regular_jump_coprime,True,True,True,True,True,True,True,none
12,N12_A08_block_interleaved_quarters,True,True,True,True,True,True,True,none
12,N12_A09_center_edge_alternating,True,True,True,True,True,True,True,none
12,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,True,True,True,True,True,True,True,none
12,N12_A11_graph_pointer_policy_diverse_01,True,True,True,True,True,True,True,none
12,N12_A12_graph_pointer_policy_diverse_02,True,True,True,True,True,True,True,none
12,N12_A13_graph_pointer_policy_anti_odd_even_novelty,True,True,True,True,True,True,True,none
12,N12_A14_graph_pointer_policy_u2first_proxy,True,True,True,True,True,True,True,none
12,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,True,True,True,True,True,True,True,none
16,N16_A01_raster_left_to_right,True,True,True,True,True,True,True,none
16,N16_A02_odd_even_interlaced,True,True,True,True,True,True,True,none
16,N16_A03_greedy_maximin_distance,True,True,True,True,True,True,True,none
16,N16_A04_method_c_u2_first_engineering,True,True,True,True,True,True,True,none
16,N16_A05_center_out,True,True,True,True,True,True,True,none
16,N16_A06_edge_in_alternating,True,True,True,True,True,True,True,none
16,N16_A07_regular_jump_coprime,True,True,True,True,True,True,True,none
16,N16_A08_block_interleaved_quarters,True,True,True,True,True,True,True,none
16,N16_A09_center_edge_alternating,True,True,True,True,True,True,True,none
16,N16_A10_graph_pointer_policy_zero_shot_or_proxy_best,True,True,True,True,True,True,True,none
16,N16_A11_graph_pointer_policy_diverse_01,True,True,True,True,True,True,True,none
16,N16_A12_graph_pointer_policy_diverse_02,True,True,True,True,True,True,True,none
16,N16_A13_graph_pointer_policy_anti_odd_even_novelty,True,True,True,True,True,True,True,none
16,N16_A14_graph_pointer_policy_u2first_proxy,True,True,True,True,True,True,True,none
16,N16_A15_graph_pointer_policy_balanced_dispersion_proxy,True,True,True,True,True,True,True,none
24,N24_A01_raster_left_to_right,True,True,True,True,True,True,True,none
24,N24_A02_odd_even_interlaced,True,True,True,True,True,True,True,none
24,N24_A03_greedy_maximin_distance,True,True,True,True,True,True,True,none
24,N24_A04_method_c_u2_first_engineering,True,True,True,True,True,True,True,none
24,N24_A05_center_out,True,True,True,True,True,True,True,none
24,N24_A06_edge_in_alternating,True,True,True,True,True,True,True,none
24,N24_A07_regular_jump_coprime,True,True,True,True,True,True,True,none
24,N24_A08_block_interleaved_quarters,True,True,True,True,True,True,True,none
24,N24_A09_center_edge_alternating,True,True,True,True,True,True,True,none
24,N24_A10_graph_pointer_policy_zero_shot_or_proxy_best,True,True,True,True,True,True,True,none
24,N24_A11_graph_pointer_policy_diverse_01,True,True,True,True,True,True,True,none
24,N24_A12_graph_pointer_policy_diverse_02,True,True,True,True,True,True,True,none
24,N24_A13_graph_pointer_policy_anti_odd_even_novelty,True,True,True,True,True,True,True,none
24,N24_A14_graph_pointer_policy_u2first_proxy,True,True,True,True,True,True,True,none
24,N24_A15_graph_pointer_policy_balanced_dispersion_proxy,True,True,True,True,True,True,True,none
40,N40_A01_raster_left_to_right,True,True,True,True,True,True,True,none
40,N40_A02_odd_even_interlaced,True,True,True,True,True,True,True,none
40,N40_A03_greedy_maximin_distance,True,True,True,True,True,True,True,none
40,N40_A04_method_c_u2_first_engineering,True,True,True,True,True,True,True,none
40,N40_A05_center_out,True,True,True,True,True,True,True,none
40,N40_A06_edge_in_alternating,True,True,True,True,True,True,True,none
40,N40_A07_regular_jump_coprime,True,True,True,True,True,True,True,none
40,N40_A08_block_interleaved_quarters,True,True,True,True,True,True,True,none
40,N40_A09_center_edge_alternating,True,True,True,True,True,True,True,none
40,N40_A10_graph_pointer_policy_zero_shot_or_proxy_best,True,True,True,True,True,True,True,none
40,N40_A11_graph_pointer_policy_diverse_01,True,True,True,True,True,True,True,none
40,N40_A12_graph_pointer_policy_diverse_02,True,True,True,True,True,True,True,none
40,N40_A13_graph_pointer_policy_anti_odd_even_novelty,True,True,True,True,True,True,True,none
40,N40_A14_graph_pointer_policy_u2first_proxy,True,True,True,True,True,True,True,none
40,N40_A15_graph_pointer_policy_balanced_dispersion_proxy,True,True,True,True,True,True,True,none
