n,leaderboard,position,strategy_name,strategy_family,candidate_group,u2_range,peeq_max,surfaceT_proxy,u2_rank_within_n,peeq_rank_within_n,surfaceT_rank_within_n,simple_mean_rank,constrained_rank_within_n
12,top5_u2,1,N12_A08_block_interleaved_quarters,block_interleaved,engineering_baseline,3.6826456380367745e-05,0.14324450492858887,582462656.0,1,2,11,4.666666666666667,1
12,top5_u2,2,N12_A02_odd_even_interlaced,odd_even,engineering_baseline,4.044348497700412e-05,0.14851008355617523,585297728.0,2,4,14,6.666666666666667,2
12,top5_u2,3,N12_A04_method_c_u2_first_engineering,method_c,engineering_baseline,4.4116221033618785e-05,0.1464761346578598,581743296.0,3,3,6,4.0,3
12,top5_u2,4,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,graph_pointer_proxy,proxy_fallback_policy,5.570924804487731e-05,0.15651747584342957,583114560.0,4,6,12,7.333333333333333,4
12,top5_u2,5,N12_A07_regular_jump_coprime,regular_jump,engineering_baseline,6.379491514962865e-05,0.15351411700248718,581880128.0,5,5,8,6.0,5
12,top5_peeq,1,N12_A13_graph_pointer_policy_anti_odd_even_novelty,graph_pointer_proxy,proxy_fallback_policy,7.77201084929402e-05,0.14032196998596191,581967424.0,7,1,9,5.666666666666667,7
12,top5_peeq,2,N12_A08_block_interleaved_quarters,block_interleaved,engineering_baseline,3.6826456380367745e-05,0.14324450492858887,582462656.0,1,2,11,4.666666666666667,1
12,top5_peeq,3,N12_A04_method_c_u2_first_engineering,method_c,engineering_baseline,4.4116221033618785e-05,0.1464761346578598,581743296.0,3,3,6,4.0,3
12,top5_peeq,4,N12_A02_odd_even_interlaced,odd_even,engineering_baseline,4.044348497700412e-05,0.14851008355617523,585297728.0,2,4,14,6.666666666666667,2
12,top5_peeq,5,N12_A07_regular_jump_coprime,regular_jump,engineering_baseline,6.379491514962865e-05,0.15351411700248718,581880128.0,5,5,8,6.0,5
12,top5_surfaceT,1,N12_A09_center_edge_alternating,center_edge,engineering_baseline,0.00010808459228428546,0.1680927276611328,580752832.0,12,13,1,8.666666666666666,12
12,top5_surfaceT,2,N12_A06_edge_in_alternating,edge_in,engineering_baseline,0.00010128901044481609,0.17532625794410706,580798976.0,11,15,2,9.333333333333334,11
12,top5_surfaceT,3,N12_A05_center_out,center_out,engineering_baseline,0.0001583552163992863,0.16032162308692932,580972800.0,15,9,3,9.0,15
12,top5_surfaceT,4,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,graph_pointer_proxy,proxy_fallback_policy,9.216308080794988e-05,0.1593673974275589,581069312.0,9,8,4,7.0,9
12,top5_surfaceT,5,N12_A12_graph_pointer_policy_diverse_02,graph_pointer_proxy,proxy_fallback_policy,0.00013954683527117595,0.16334585845470428,581337984.0,14,11,5,10.0,14
