case_i,case_j,n,strategy_i,strategy_j,order_i,order_j,reward_mean_all_i,reward_mean_all_j,u2_rank_i,u2_rank_j,peeq_rank_i,peeq_rank_j,surfaceT_rank_i,surfaceT_rank_j,preferred_by_reward_mean,preferred_by_u2,reward_margin,u2_rank_margin,peeq_rank_margin,surfaceT_rank_margin
N12_A01_raster_left_to_right,N12_A02_odd_even_interlaced,12,N12_A01_raster_left_to_right,N12_A02_odd_even_interlaced,"[0,1,2,3,4,5,6,7,8,9,10,11]","[0,2,4,6,8,10,1,3,5,7,9,11]",0.09214285714285717,0.8042857142857143,13.0,2.0,14.0,4.0,15.0,14.0,j,j,0.7121428571428571,11.0,10.0,1.0
N12_A01_raster_left_to_right,N12_A03_greedy_maximin_distance,12,N12_A01_raster_left_to_right,N12_A03_greedy_maximin_distance,"[0,1,2,3,4,5,6,7,8,9,10,11]","[0,11,5,8,2,1,3,4,6,7,9,10]",0.09214285714285717,0.4257142857142857,13.0,8.0,14.0,10.0,15.0,13.0,j,j,0.3335714285714285,5.0,4.0,2.0
N12_A01_raster_left_to_right,N12_A04_method_c_u2_first_engineering,12,N12_A01_raster_left_to_right,N12_A04_method_c_u2_first_engineering,"[0,1,2,3,4,5,6,7,8,9,10,11]","[0,2,4,6,8,10,5,3,1,7,9,11]",0.09214285714285717,0.8357142857142857,13.0,3.0,14.0,3.0,15.0,6.0,j,j,0.7435714285714285,10.0,11.0,9.0
N12_A01_raster_left_to_right,N12_A05_center_out,12,N12_A01_raster_left_to_right,N12_A05_center_out,"[0,1,2,3,4,5,6,7,8,9,10,11]","[5,6,4,7,3,8,2,9,1,10,0,11]",0.09214285714285717,0.13285714285714287,13.0,15.0,14.0,9.0,15.0,3.0,j,i,0.0407142857142857,2.0,5.0,12.0
N12_A01_raster_left_to_right,N12_A06_edge_in_alternating,12,N12_A01_raster_left_to_right,N12_A06_edge_in_alternating,"[0,1,2,3,4,5,6,7,8,9,10,11]","[0,11,1,10,2,9,3,8,4,7,5,6]",0.09214285714285717,0.2371428571428571,13.0,11.0,14.0,15.0,15.0,2.0,j,j,0.14499999999999993,2.0,1.0,13.0
N12_A01_raster_left_to_right,N12_A07_regular_jump_coprime,12,N12_A01_raster_left_to_right,N12_A07_regular_jump_coprime,"[0,1,2,3,4,5,6,7,8,9,10,11]","[0,5,10,3,8,1,6,11,4,9,2,7]",0.09214285714285717,0.6928571428571428,13.0,5.0,14.0,5.0,15.0,8.0,j,j,0.6007142857142856,8.0,9.0,7.0
N12_A01_raster_left_to_right,N12_A08_block_interleaved_quarters,12,N12_A01_raster_left_to_right,N12_A08_block_interleaved_quarters,"[0,1,2,3,4,5,6,7,8,9,10,11]","[0,3,6,9,1,4,7,10,2,5,8,11]",0.09214285714285717,0.9042857142857142,13.0,1.0,14.0,2.0,15.0,11.0,j,j,0.812142857142857,12.0,12.0,4.0
N12_A01_raster_left_to_right,N12_A09_center_edge_alternating,12,N12_A01_raster_left_to_right,N12_A09_center_edge_alternating,"[0,1,2,3,4,5,6,7,8,9,10,11]","[5,0,6,11,4,1,7,10,3,2,8,9]",0.09214285714285717,0.2235714285714286,13.0,12.0,14.0,13.0,15.0,1.0,j,j,0.13142857142857142,1.0,1.0,14.0
N12_A01_raster_left_to_right,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,12,N12_A01_raster_left_to_right,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,"[0,1,2,3,4,5,6,7,8,9,10,11]","[0,11,2,5,4,8,6,1,10,3,7,9]",0.09214285714285717,0.69,13.0,4.0,14.0,6.0,15.0,12.0,j,j,0.5978571428571428,9.0,8.0,3.0
N12_A01_raster_left_to_right,N12_A11_graph_pointer_policy_diverse_01,12,N12_A01_raster_left_to_right,N12_A11_graph_pointer_policy_diverse_01,"[0,1,2,3,4,5,6,7,8,9,10,11]","[0,5,11,10,1,3,8,2,9,6,4,7]",0.09214285714285717,0.4985714285714285,13.0,6.0,14.0,12.0,15.0,10.0,j,j,0.40642857142857136,7.0,2.0,5.0
N12_A01_raster_left_to_right,N12_A12_graph_pointer_policy_diverse_02,12,N12_A01_raster_left_to_right,N12_A12_graph_pointer_policy_diverse_02,"[0,1,2,3,4,5,6,7,8,9,10,11]","[4,7,3,8,2,9,1,10,0,11,5,6]",0.09214285714285717,0.1407142857142857,13.0,14.0,14.0,11.0,15.0,5.0,j,i,0.04857142857142854,1.0,3.0,10.0
N12_A01_raster_left_to_right,N12_A13_graph_pointer_policy_anti_odd_even_novelty,12,N12_A01_raster_left_to_right,N12_A13_graph_pointer_policy_anti_odd_even_novelty,"[0,1,2,3,4,5,6,7,8,9,10,11]","[1,10,3,8,5,6,7,4,9,2,11,0]",0.09214285714285717,0.6428571428571428,13.0,7.0,14.0,1.0,15.0,9.0,j,j,0.5507142857142856,6.0,13.0,6.0
