n,strategy_name,job_name,strategy_id,strategy_family,candidate_group,policy_source,trained_policy_used,teacher_validated,u2_range,peeq_max,surfaceT_proxy,u2_rank_within_n,peeq_rank_within_n,surfaceT_rank_within_n,u2_percentile_within_n,peeq_percentile_within_n,surfaceT_percentile_within_n,u2_z_within_n,peeq_z_within_n,surfaceT_z_within_n,simple_mean_rank,constrained_rank_within_n,scan_order_compact,scan_order_json,order_length,scan_order_valid,pareto_overall_u2_peeq,pareto_overall_u2_peeq_surfaceT,pareto_within_n_u2_peeq,pareto_within_n_u2_peeq_surfaceT,u2_score_minmax,peeq_score_minmax,surfaceT_score_minmax,u2_score_rank,peeq_score_rank,surfaceT_score_rank,u2_score_z,peeq_score_z,surfaceT_score_z,u2_score_percentile,peeq_score_percentile,surfaceT_score_percentile,reward_v01_u2_primary,reward_v02_safety_weighted,reward_v03_surfaceT_aware,reward_v04_penalized,lexicographic_rank_within_n,reward_v05_lexicographic,reward_mean_all,reward_std_all,reward_consensus_rank_within_n,reward_uncertainty_flag,feature_n,feature_strategy_name,feature_strategy_family,feature_candidate_group,first_track,last_track,center_track_index,first_track_norm,last_track_norm,mean_jump,median_jump,max_jump,min_jump,std_jump,total_jump,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,jump_entropy,running_center_distance_mean,early_center_bias,late_center_bias,edge_early_count,center_early_count,odd_even_transition_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,max_unvisited_gap_proxy_mean_norm,max_unvisited_gap_proxy_max_norm,is_raster_like,is_center_out_like,is_edge_in_like,is_odd_even_like,is_regular_jump_like,is_block_interleaved_like,target_u2_score_rank,target_peeq_score_rank,target_surfaceT_score_rank,target_reward_v01_u2_primary,target_reward_v02_safety_weighted,target_reward_v04_penalized,target_reward_v05_lexicographic,target_reward_mean_all
12,N12_A01_raster_left_to_right,J2D_N12_N12_A01_raster_left_to_right,N12_A01,raster,engineering_baseline,engineering_baseline,False,True,0.0001314298706347472,0.172713503241539,585930688.0,13.0,14.0,15.0,0.8571428571428571,0.9285714285714286,1.0,1.2457559492548635,1.474268377256342,2.155236200818667,14.0,13.0,"0,1,2,3,4,5,6,7,8,9,10,11","[0,1,2,3,4,5,6,7,8,9,10,11]",12,True,False,False,False,False,0.22155534015444234,0.07464098986078915,0.0,0.1428571428571429,0.0714285714285714,0.0,-1.2457559492548635,-1.474268377256342,-2.155236200818667,0.1428571428571429,0.0714285714285714,0.0,0.11428571428571431,0.10714285714285716,0.09642857142857145,0.0,13,0.1428571428571429,0.09214285714285717,0.048571428571428585,15,False,12,N12_A01_raster_left_to_right,raster,engineering_baseline,0,11,5.5,0.0,1.0,1.0,1,1,1,0.0,11,0.09090909090909091,0.09090909090909091,11,0,-0.0,0.5454545454545455,0.8181818181818182,0.8181818181818182,3,0,11,1.0,1.0,0,0.4583333333333333,0.9166666666666666,True,False,False,False,False,False,0.1428571428571429,0.0714285714285714,0.0,0.11428571428571431,0.10714285714285716,0.0,0.1428571428571429,0.09214285714285717
12,N12_A02_odd_even_interlaced,J2D_N12_N12_A02_odd_even_interlaced,N12_A02,odd_even,engineering_baseline,engineering_baseline,False,True,4.044348497700412e-05,0.14851008355617523,585297728.0,2.0,4.0,14.0,0.07142857142857142,0.21428571428571427,0.9285714285714286,-1.3077854263280582,-0.9674438845427945,1.766918795431002,6.666666666666667,2.0,"0,2,4,6,8,10,1,3,5,7,9,11","[0,2,4,6,8,10,1,3,5,7,9,11]",12,True,False,False,False,False,0.9702372623889743,0.7660825559427491,0.12224364679125876,0.9285714285714286,0.7857142857142857,0.0714285714285714,1.3077854263280582,0.9674438845427945,-1.766918795431002,0.9285714285714286,0.7857142857142857,0.0714285714285714,0.8142857142857143,0.8,0.7214285714285714,0.7571428571428571,2,0.9285714285714286,0.8042857142857143,0.07021831844254006,3,False,12,N12_A02_odd_even_interlaced,odd_even,engineering_baseline,0,11,5.5,0.0,1.0,2.6363636363636362,2,9,2,2.012358511016241,29,0.23966942148760328,0.8181818181818182,0,1,0.4394969869215134,0.5454545454545455,0.6363636363636364,0.6363636363636364,2,1,1,0.09090909090909091,0.8,2,0.2847222222222222,0.9166666666666666,False,False,False,True,False,False,0.9285714285714286,0.7857142857142857,0.0714285714285714,0.8142857142857143,0.8,0.7571428571428571,0.9285714285714286,0.8042857142857143
12,N12_A03_greedy_maximin_distance,J2D_N12_N12_A03_greedy_maximin_distance,N12_A03,maximin,engineering_baseline,engineering_baseline,False,True,8.175894481610158e-05,0.16098161041736603,585035712.0,8.0,10.0,13.0,0.5,0.6428571428571429,0.8571428571428571,-0.14826320344051122,0.29072047636946324,1.6061734508751777,10.333333333333334,8.0,"0,11,5,8,2,1,3,4,6,7,9,10","[0,11,5,8,2,1,3,4,6,7,9,10]",12,True,False,False,False,False,0.6302727977415459,0.40979686671224447,0.1728468308118264,0.5,0.3571428571428571,0.1428571428571429,0.14826320344051122,-0.29072047636946324,-1.6061734508751777,0.5,0.3571428571428571,0.1428571428571429,0.43571428571428567,0.42142857142857143,0.3928571428571429,0.37857142857142856,8,0.5,0.4257142857142857,0.042281853105567827,9,False,12,N12_A03_greedy_maximin_distance,maximin,engineering_baseline,0,10,5.5,0.0,0.9090909090909091,3.272727272727273,2,11,1,3.0178532132177875,36,0.2975206611570248,1.0,4,3,2.1180782093497097,0.5454545454545455,0.6969696969696969,0.5757575757575758,2,1,6,0.5454545454545454,0.6,4,0.2986111111111111,0.9166666666666666,False,False,False,False,False,False,0.5,0.3571428571428571,0.1428571428571429,0.43571428571428567,0.42142857142857143,0.37857142857142856,0.5,0.4257142857142857
12,N12_A04_method_c_u2_first_engineering,J2D_N12_N12_A04_method_c_u2_first_engineering,N12_A04,method_c,engineering_baseline,engineering_baseline,False,True,4.4116221033618785e-05,0.1464761346578598,581743296.0,3.0,3.0,6.0,0.14285714285714285,0.14285714285714285,0.35714285714285715,-1.204709747320001,-1.172634639793502,-0.41370527539004304,4.0,3.0,"0,2,4,6,8,10,5,3,1,7,9,11","[0,2,4,6,8,10,5,3,1,7,9,11]",12,True,False,True,False,True,0.9400161356693162,0.8241882628992064,0.8087115593790171,0.8571428571428572,0.8571428571428572,0.6428571428571428,1.204709747320001,1.172634639793502,0.41370527539004304,0.8571428571428572,0.8571428571428572,0.6428571428571428,0.8357142857142857,0.8357142857142859,0.8142857142857143,0.8357142857142857,3,0.8571428571428572,0.8357142857142857,0.01355261854357879,2,False,12,N12_A04_method_c_u2_first_engineering,method_c,engineering_baseline,0,11,5.5,0.0,1.0,2.6363636363636362,2,6,2,1.3666633071248098,29,0.23966942148760328,0.5454545454545454,0,1,0.8658566174572235,0.5454545454545455,0.6363636363636364,0.6363636363636364,2,1,1,0.09090909090909091,0.8,2,0.2847222222222222,0.9166666666666666,False,False,False,False,False,False,0.8571428571428572,0.8571428571428572,0.6428571428571428,0.8357142857142857,0.8357142857142859,0.8357142857142857,0.8571428571428572,0.8357142857142857
12,N12_A05_center_out,J2D_N12_N12_A05_center_out,N12_A05,center_out,engineering_baseline,engineering_baseline,False,True,0.0001583552163992863,0.16032162308692932,580972800.0,15.0,9.0,3.0,1.0,0.5714285714285714,0.14285714285714285,2.0014182823016733,0.22413901067955966,-0.8864002443953107,9.0,15.0,"5,6,4,7,3,8,2,9,1,10,0,11","[5,6,4,7,3,8,2,9,1,10,0,11]",12,True,False,True,False,True,0.0,0.42865133766237085,0.9575175516661723,0.0,0.4285714285714286,0.8571428571428572,-2.0014182823016733,-0.22413901067955966,0.8864002443953107,0.0,0.4285714285714286,0.8571428571428572,0.17142857142857146,0.2142857142857143,0.2785714285714286,0.0,15,0.0,0.13285714285714287,0.11371284995504229,14,True,12,N12_A05_center_out,center_out,engineering_baseline,5,11,5.5,0.45454545454545453,1.0,6.0,6,11,1,3.1622776601683795,66,0.5454545454545454,1.0,1,6,3.459431618637298,0.5454545454545455,0.15151515151515152,0.9393939393939394,0,3,6,0.5454545454545454,0.0,10,0.25,0.5,False,True,False,False,False,False,0.0,0.4285714285714286,0.8571428571428572,0.17142857142857146,0.2142857142857143,0.0,0.0,0.13285714285714287
12,N12_A06_edge_in_alternating,J2D_N12_N12_A06_edge_in_alternating,N12_A06,edge_in,engineering_baseline,engineering_baseline,False,True,0.00010128901044481609,0.17532625794410706,580798976.0,11.0,15.0,2.0,0.7142857142857143,1.0,0.07142857142857142,0.39984990480370336,1.7378507667395782,-0.9930402922247241,9.333333333333334,11.0,"0,11,1,10,2,9,3,8,4,7,5,6","[0,11,1,10,2,9,3,8,4,7,5,6]",12,True,False,True,False,True,0.46956955658550814,0.0,0.9910882033026798,0.2857142857142857,0.0,0.9285714285714286,-0.39984990480370336,-1.7378507667395782,0.9930402922247241,0.2857142857142857,0.0,0.9285714285714286,0.2928571428571428,0.26428571428571423,0.34285714285714286,0.0,11,0.2857142857142857,0.2371428571428571,0.12133609924334898,11,True,12,N12_A06_edge_in_alternating,edge_in,engineering_baseline,0,6,5.5,0.0,0.5454545454545454,6.0,6,11,1,3.1622776601683795,66,0.5454545454545454,1.0,1,6,3.459431618637298,0.5454545454545455,0.9393939393939394,0.15151515151515152,3,0,6,0.5454545454545454,0.0,10,0.4583333333333333,0.9166666666666666,False,False,True,False,False,False,0.2857142857142857,0.0,0.9285714285714286,0.2928571428571428,0.26428571428571423,0.0,0.2857142857142857,0.2371428571428571
12,N12_A07_regular_jump_coprime,J2D_N12_N12_A07_regular_jump_coprime,N12_A07,regular_jump,engineering_baseline,engineering_baseline,False,True,6.379491514962865e-05,0.15351411700248718,581880128.0,5.0,5.0,8.0,0.2857142857142857,0.2857142857142857,0.5,-0.6524253667567976,-0.4626222525937535,-0.3297596118188774,6.0,5.0,"0,5,10,3,8,1,6,11,4,9,2,7","[0,5,10,3,8,1,6,11,4,9,2,7]",12,True,False,False,False,False,0.778089904273995,0.6231276856052834,0.7822851774943143,0.7142857142857143,0.7142857142857143,0.5,0.6524253667567976,0.4626222525937535,0.3297596118188774,0.7142857142857143,0.7142857142857143,0.5,0.692857142857143,0.6928571428571428,0.6714285714285715,0.692857142857143,5,0.7142857142857143,0.6928571428571428,0.013552618543578756,4,False,12,N12_A07_regular_jump_coprime,regular_jump,engineering_baseline,0,7,5.5,0.0,0.6363636363636364,5.7272727272727275,5,7,5,0.9620913858416693,63,0.5206611570247934,0.6363636363636364,0,4,0.9456603046006402,0.5454545454545455,0.6363636363636364,0.5151515151515151,2,1,11,1.0,0.2,8,0.23611111111111108,0.9166666666666666,False,False,False,False,True,False,0.7142857142857143,0.7142857142857143,0.5,0.692857142857143,0.6928571428571428,0.692857142857143,0.7142857142857143,0.6928571428571428
12,N12_A08_block_interleaved_quarters,J2D_N12_N12_A08_block_interleaved_quarters,N12_A08,block_interleaved,engineering_baseline,engineering_baseline,False,True,3.6826456380367745e-05,0.14324450492858887,582462656.0,1.0,2.0,11.0,0.0,0.07142857142857142,0.7142857142857143,-1.4092976702908073,-1.4986509646819686,0.02761804478764693,4.666666666666667,1.0,"0,3,6,9,1,4,7,10,2,5,8,11","[0,3,6,9,1,4,7,10,2,5,8,11]",12,True,True,True,True,True,1.0,0.9165092303513944,0.6697814693958272,1.0,0.9285714285714286,0.2857142857142857,1.4092976702908073,1.4986509646819686,-0.02761804478764693,1.0,0.9285714285714286,0.2857142857142857,0.9142857142857143,0.9071428571428571,0.8392857142857144,0.8607142857142857,1,1.0,0.9042857142857142,0.05548487567410984,1,False,12,N12_A08_block_interleaved_quarters,block_interleaved,engineering_baseline,0,11,5.5,0.0,1.0,3.909090909090909,3,8,3,1.928473039599675,43,0.35537190082644626,0.7272727272727273,0,2,0.6840384356390417,0.5454545454545455,0.5151515151515151,0.5151515151515151,1,2,9,0.8181818181818182,0.6,4,0.25,0.9166666666666666,False,False,False,False,False,True,1.0,0.9285714285714286,0.2857142857142857,0.9142857142857143,0.9071428571428571,0.8607142857142857,1.0,0.9042857142857142
12,N12_A09_center_edge_alternating,J2D_N12_N12_A09_center_edge_alternating,N12_A09,center_edge,engineering_baseline,engineering_baseline,False,True,0.00010808459228428546,0.1680927276611328,580752832.0,12.0,13.0,1.0,0.7857142857142857,0.8571428571428571,0.0,0.590568541144746,1.0081109275913842,-1.021349377086656,8.666666666666666,12.0,"5,0,6,11,4,1,7,10,3,2,8,9","[5,0,6,11,4,1,7,10,3,2,8,9]",12,True,False,True,False,True,0.4136520779704749,0.20664697683962097,1.0,0.2142857142857143,0.1428571428571429,1.0,-0.590568541144746,-1.0081109275913842,1.021349377086656,0.2142857142857143,0.1428571428571429,1.0,0.2785714285714286,0.27142857142857146,0.3535714285714286,0.0,12,0.2142857142857143,0.2235714285714286,0.12023785950000465,12,True,12,N12_A09_center_edge_alternating,center_edge,engineering_baseline,5,9,5.5,0.45454545454545453,0.8181818181818182,4.545454545454546,5,7,1,2.1046976186891317,50,0.4132231404958678,0.6363636363636364,2,5,2.299896391167891,0.5454545454545455,0.393939393939394,0.5757575757575758,1,2,8,0.7272727272727273,0.5,5,0.2708333333333333,0.5,False,False,False,False,False,False,0.2142857142857143,0.1428571428571429,1.0,0.2785714285714286,0.27142857142857146,0.0,0.2142857142857143,0.2235714285714286
12,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,J2D_N12_N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,N12_A10,graph_pointer_proxy,proxy_fallback_policy,proxy_policy,False,True,5.570924804487731e-05,0.15651747584342957,583114560.0,4.0,6.0,12.0,0.21428571428571427,0.35714285714285715,0.7857142857142857,-0.8793503660510762,-0.15963456722355535,0.42755748778853214,7.333333333333333,4.0,"0,11,2,5,4,8,6,1,10,3,7,9","[0,11,2,5,4,8,6,1,10,3,7,9]",12,True,False,False,False,False,0.8446228558444103,0.5373279445983097,0.5438791654306339,0.7857142857142857,0.6428571428571428,0.2142857142857143,0.8793503660510762,0.15963456722355535,-0.42755748778853214,0.7857142857142857,0.6428571428571428,0.2142857142857143,0.7,0.6857142857142857,0.6357142857142857,0.6428571428571428,4,0.7857142857142857,0.69,0.05375682206350509,5,False,12,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,graph_pointer_proxy,proxy_fallback_policy,0,9,5.5,0.0,0.8181818181818182,5.181818181818182,4,11,1,3.1857119032609513,57,0.47107438016528924,1.0,1,4,2.9139770731827523,0.5454545454545455,0.8787878787878788,0.45454545454545453,3,0,7,0.6363636363636364,0.2,8,0.3333333333333333,0.9166666666666666,False,False,False,False,False,False,0.7857142857142857,0.6428571428571428,0.2142857142857143,0.7,0.6857142857142857,0.6428571428571428,0.7857142857142857,0.69
