diagnostic_type,item_a,item_b,value,n,rank,strategy_name
reward_variant_spearman,reward_v01_u2_primary,reward_v02_safety_weighted,0.9927889626234415,,,
reward_variant_spearman,reward_v01_u2_primary,reward_v03_surfaceT_aware,0.9816458950831499,,,
reward_variant_spearman,reward_v01_u2_primary,reward_v04_penalized,0.9762773964257003,,,
reward_variant_spearman,reward_v01_u2_primary,reward_v05_lexicographic,0.9713494296657577,,,
reward_variant_spearman,reward_v01_u2_primary,reward_mean_all,0.9987912134680874,,,
reward_variant_spearman,reward_v02_safety_weighted,reward_v03_surfaceT_aware,0.9878289382276934,,,
reward_variant_spearman,reward_v02_safety_weighted,reward_v04_penalized,0.9798293902771309,,,
reward_variant_spearman,reward_v02_safety_weighted,reward_v05_lexicographic,0.943379814095712,,,
reward_variant_spearman,reward_v02_safety_weighted,reward_mean_all,0.9921499430349848,,,
reward_variant_spearman,reward_v03_surfaceT_aware,reward_v04_penalized,0.9618897383652428,,,
reward_variant_spearman,reward_v03_surfaceT_aware,reward_v05_lexicographic,0.9213267794804876,,,
reward_variant_spearman,reward_v03_surfaceT_aware,reward_mean_all,0.9807430460999805,,,
reward_variant_spearman,reward_v04_penalized,reward_v05_lexicographic,0.940321483445068,,,
reward_variant_spearman,reward_v04_penalized,reward_mean_all,0.9809200316248529,,,
reward_variant_spearman,reward_v05_lexicographic,reward_mean_all,0.9712245547715004,,,
raw_metric_vs_reward_spearman,u2_range,reward_mean_all,-0.5221390170838479,,,
raw_metric_vs_reward_spearman,peeq_max,reward_mean_all,-0.682801451056431,,,
raw_metric_vs_reward_spearman,surfaceT_proxy,reward_mean_all,-0.16666435125692722,,,
raw_metric_vs_reward_spearman,u2_rank_within_n,reward_mean_all,-0.9712245547715004,,,
raw_metric_vs_reward_spearman,peeq_rank_within_n,reward_mean_all,-0.7198422359504825,,,
raw_metric_vs_reward_spearman,surfaceT_rank_within_n,reward_mean_all,-0.1915718158494244,,,
top_reward_mean_all_per_n,,,0.9042857142857142,12,1,N12_A08_block_interleaved_quarters
top_reward_mean_all_per_n,,,0.8357142857142857,12,2,N12_A04_method_c_u2_first_engineering
top_reward_mean_all_per_n,,,0.8042857142857143,12,3,N12_A02_odd_even_interlaced
top_reward_mean_all_per_n,,,0.6928571428571428,12,4,N12_A07_regular_jump_coprime
top_reward_mean_all_per_n,,,0.69,12,5,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best
top_reward_variant_per_n,reward_v01_u2_primary,,0.9142857142857143,12,,N12_A08_block_interleaved_quarters
top_reward_variant_per_n,reward_v02_safety_weighted,,0.9071428571428571,12,,N12_A08_block_interleaved_quarters
top_reward_variant_per_n,reward_v03_surfaceT_aware,,0.8392857142857144,12,,N12_A08_block_interleaved_quarters
top_reward_variant_per_n,reward_v04_penalized,,0.8607142857142857,12,,N12_A08_block_interleaved_quarters
top_reward_variant_per_n,reward_v05_lexicographic,,1.0,12,,N12_A08_block_interleaved_quarters
top_reward_mean_all_per_n,,,0.8614285714285714,16,1,N16_A03_greedy_maximin_distance
top_reward_mean_all_per_n,,,0.85,16,2,N16_A04_method_c_u2_first_engineering
top_reward_mean_all_per_n,,,0.8071428571428572,16,3,N16_A13_graph_pointer_policy_anti_odd_even_novelty
top_reward_mean_all_per_n,,,0.79,16,4,N16_A02_odd_even_interlaced
top_reward_mean_all_per_n,,,0.62,16,5,N16_A10_graph_pointer_policy_zero_shot_or_proxy_best
top_reward_variant_per_n,reward_v01_u2_primary,,0.8714285714285714,16,,N16_A03_greedy_maximin_distance
top_reward_variant_per_n,reward_v02_safety_weighted,,0.8571428571428572,16,,N16_A04_method_c_u2_first_engineering
top_reward_variant_per_n,reward_v03_surfaceT_aware,,0.8321428571428572,16,,N16_A04_method_c_u2_first_engineering
top_reward_variant_per_n,reward_v04_penalized,,0.8535714285714286,16,,N16_A04_method_c_u2_first_engineering
top_reward_variant_per_n,reward_v05_lexicographic,,1.0,16,,N16_A03_greedy_maximin_distance
top_reward_mean_all_per_n,,,0.9785714285714286,24,1,N24_A04_method_c_u2_first_engineering
top_reward_mean_all_per_n,,,0.8571428571428573,24,2,N24_A10_graph_pointer_policy_zero_shot_or_proxy_best
top_reward_mean_all_per_n,,,0.8257142857142858,24,3,N24_A02_odd_even_interlaced
top_reward_mean_all_per_n,,,0.7428571428571429,24,4,N24_A13_graph_pointer_policy_anti_odd_even_novelty
top_reward_mean_all_per_n,,,0.647142857142857,24,5,N24_A11_graph_pointer_policy_diverse_01
top_reward_variant_per_n,reward_v01_u2_primary,,0.9785714285714285,24,,N24_A04_method_c_u2_first_engineering
top_reward_variant_per_n,reward_v02_safety_weighted,,0.9714285714285714,24,,N24_A04_method_c_u2_first_engineering
top_reward_variant_per_n,reward_v03_surfaceT_aware,,0.967857142857143,24,,N24_A04_method_c_u2_first_engineering
top_reward_variant_per_n,reward_v04_penalized,,0.975,24,,N24_A04_method_c_u2_first_engineering
top_reward_variant_per_n,reward_v05_lexicographic,,1.0,24,,N24_A04_method_c_u2_first_engineering
top_reward_mean_all_per_n,,,0.9928571428571429,40,1,N40_A04_method_c_u2_first_engineering
top_reward_mean_all_per_n,,,0.85,40,2,N40_A02_odd_even_interlaced
